NormDeltaOmega,Omega,RewardStd,NormDeltaVar,Wins,ConfortViolation,ReturnsStd,RewardMean,OmegaBefore,TimestepsStd,Traj,DeltaOmega,ITERATIONS,TimestepsMean,ReturnsMean
0.10000000148933363,7.899999998510666,1.3528390411681104,0.31622776791152263,0.0,0,90.61592098416682,6.425481525970514,8.0,13.451421337539019,250,-0.10000000148933363,0,23.792,152.87505646589048
0.09954527840370009,7.800454720106966,1.2874515007081693,0.29771226754545504,0.0,0,109.43460859181909,6.541042832654045,7.899999998510666,16.023444823133385,250,-0.09954527840370009,1,27.096,177.236096593594
0.0998467654168671,7.700607954690099,1.2211815635157923,0.2807845286130019,0.0,0,118.3514971843989,6.636583619423963,7.800454720106966,17.17696876634524,250,-0.0998467654168671,2,30.912,205.15007284363352
0.09881565422214678,7.601792300467952,1.132263634976341,0.27235026230089887,0.0,0,133.81257150377635,6.755088114366321,7.700607954690099,19.161929339187118,250,-0.09881565422214678,3,37.092,250.55972833807556
0.09936061726624423,7.502431683201708,1.1064345593266336,0.2564879051511479,0.0,0,138.34702421388184,6.839848040715614,7.601792300467952,19.596066544079708,250,-0.09936061726624423,4,39.776,272.06179566750427
0.09970489862172105,7.402726784579987,1.0746399905285149,0.23251521119190435,0.0,0,144.07932360112676,6.929113060633825,7.502431683201708,20.162033627588265,250,-0.09970489862172105,5,43.22,299.4762664805939
0.10024369418125101,7.302483090398736,1.0570413818466187,0.2315731845772668,0.0,0,144.83223626506316,7.010930051859277,7.402726784579987,20.038491360379403,250,-0.10024369418125101,6,45.692,320.34341592955417
0.10088719917881406,7.201595891219922,1.0244010021468608,0.2241933640766895,0.0,0,155.34698353977865,7.096456515329161,7.302483090398736,21.281062003574917,250,-0.10088719917881406,7,49.78,353.26160533308564
0.10123914128267852,7.1003567499372435,0.9975178749486614,0.2148724320829691,0.4,0,169.2838180053603,7.184085862208898,7.201595891219922,22.862392175798227,250,-0.10123914128267852,8,53.532,384.5784843757668
0.1021323427091394,6.998224407228104,0.9934309418436071,0.1999782811609935,0.0,0,171.54388461337504,7.2618173460352375,7.1003567499372435,22.97755739847036,250,-0.1021323427091394,9,55.316,401.6946883132851
0.10314640236305817,6.895078004865046,0.9912596910027094,0.20475294553973564,0.4,0,193.33099091957453,7.332606738370564,6.998224407228104,25.63301777005587,250,-0.10314640236305817,10,56.42,413.70567217886713
0.10412610080290463,6.790951904062141,0.9809690447757128,0.21824813174443866,0.0,0,184.10593336340492,7.407812647584159,6.895078004865046,24.209418332541574,250,-0.10412610080290463,11,58.992,437.0016837062847
0.10503070331406761,6.685921200748074,0.9464615988534657,0.23439471786845903,0.4,0,203.76014682853543,7.494493260922245,6.790951904062141,26.49373329676284,250,-0.10503070331406761,12,64.564,483.8744628981839
0.10606002517676938,6.579861175571304,0.9529215006349213,0.2431738618907466,0.0,0,192.00912203888106,7.559348628467898,6.685921200748074,24.750064565572348,250,-0.10606002517676938,13,65.048,491.72050958457993
0.10710923117417792,6.472751944397126,0.919677114022615,0.2510020221405796,0.0,0,218.31050006997387,7.639942719667695,6.579861175571304,27.89346274667238,250,-0.10710923117417792,14,71.356,545.1557527046081
0.108179647714433,6.364572296682693,0.8909012961295254,0.26187273311214476,0.4,0,236.7628158609412,7.718202502701991,6.472751944397126,29.967490652371946,250,-0.108179647714433,15,77.248,596.2157069287234
0.10906663317423515,6.255505663508458,0.8496611565832313,0.27147164348182135,0.8,0,268.2015080612208,7.798536978681231,6.364572296682693,33.67991662697519,250,-0.10906663317423515,16,86.404,673.8247891059732
0.10999834326187763,6.145507320246581,0.807035633253692,0.276244391842684,4.3999999999999995,0,334.67644183177725,7.877353497056941,6.255505663508458,41.53111296365654,250,-0.10999834326187763,17,94.216,742.1727370787168
0.11088304339181398,6.034624276854767,0.7334432135238439,0.2698386842104453,6.4,0,343.68623042608283,7.9587568487744464,6.145507320246581,42.27839561762012,250,-0.11088304339181398,18,114.292,909.6222377601289
0.11206358606163924,5.922560690793127,0.6529884869741671,0.2792930963439154,16.0,0,405.7949217335811,8.048441180971619,6.034624276854767,49.37226363050412,250,-0.11206358606163924,19,132.672,1067.8027883618665
0.11326960392049124,5.809291086872636,0.503369307443598,0.29301912592654517,40.8,0,357.2255057939153,8.157540191838468,5.922560690793127,42.82940597299944,250,-0.11326960392049124,20,162.272,1323.740362010012
0.11454502066496008,5.694746066207676,0.49735195733668525,0.26761657383393134,41.6,0,325.1672458635961,8.221098557810825,5.809291086872636,38.74780427327464,250,-0.11454502066496008,21,167.108,1373.811337798651
0.11554311164007114,5.579202954567605,0.5317105944699448,0.252537020933817,37.2,0,355.99160000139216,8.278347607998988,5.694746066207676,42.1896990271322,250,-0.11554311164007114,22,159.036,1316.5552901857272
0.1162141903086038,5.462988764259001,0.48790476858529347,0.24646079808076898,45.6,0,324.54366690524745,8.352245154857831,5.579202954567605,38.10870955569081,250,-0.1162141903086038,23,167.484,1398.8674275162089
0.11741608364893796,5.345572680610063,0.45999540712390186,0.24039910830544503,50.8,0,317.91993068505263,8.420493057279511,5.462988764259001,37.01121992045115,250,-0.11741608364893796,24,174.16,1466.5130708557997
0.1183467315148734,5.22722594909519,0.44578880282929495,0.2359820361658186,54.0,0,302.6766087035841,8.487964872664724,5.345572680610063,34.95744819062169,250,-0.1183467315148734,25,176.396,1497.2430516785666
0.11843082881387179,5.108795120281318,0.39936581376889163,0.23123639697917706,63.2,0,297.69047873412836,8.554667643314405,5.22722594909519,34.10874374702182,250,-0.11843082881387179,26,180.24,1541.893296030988
