DeltaOmega,TimestepsMean,OmegaBefore,WeightMedian,WeightMean,Epsilon,RewardMean,LossReg,RewardStd,NormDeltaOmega,ReturnsStd,TimestepsStd,Wins,Primal,WeightMin,Traj,DualBefore,ConfortViolation,Eta,Omega,ReturnsMean,NormDeltaVar,DualAfter,DualReg,ITERATIONS,WeightMax
[[0.10487853]],500.0,[[0.8]],0.026519859245635075,0.010701977126051709,1.0901,2.34916,0.0,2.4288777849863097,0.10487853023082783,61.660821702001535,0.0,0.0,6.853670963144882,0.010701977126051709,100,7.596284014186908,0,2.20394088693529,[[0.90487853]],1174.7272727272727,12.376452126207116,6.853668528933278,0.0,0,1.0
[[0.04472491]],500.0,[[0.90487853]],0.018914496811411094,0.007014447840123674,1.0901,2.5574,0.0,2.645105903361905,0.04472490736447943,58.78201227280433,0.0,0.0,7.085952474504442,0.007014447840123674,100,7.471996597395331,0,2.016217128003404,[[0.94960344]],1279.7373737373737,9.76393552694423,7.0859522548647185,0.0,1,1.0
[[0.01905812]],500.0,[[0.94960344]],0.014707974098493112,0.005122017647691271,1.0901,2.73764,0.0,2.806529392399089,0.019058116858512664,76.05228065560618,0.0,0.0,7.316727218901144,0.005122017647691271,100,7.553184063881677,0,1.896019684566106,[[0.96866155]],1369.010101010101,7.070687785899388,7.316727213008819,0.0,2,1.0
[[0.00688554]],500.0,[[0.96866155]],0.012675019206650165,0.004252905988367963,1.0901,2.82076,0.0,2.8761142227665437,0.006885537760265681,74.34948372401485,0.0,0.0,7.4149009873073854,0.004252905988367963,100,7.595108501990477,0,1.8314505885422612,[[0.97554709]],1409.8181818181818,3.645423647136255,7.414900801473763,0.0,3,1.0
[[0.0027602]],500.0,[[0.97554709]],0.011670129856541936,0.003835699807367998,1.0901,2.87204,0.0,2.910853180495368,0.002760202191793293,73.07350804360077,0.0,0.0,7.472180998680973,0.003835699807367998,100,7.62967370378523,0,1.7974608910948884,[[0.97830729]],1435.858585858586,1.7514067741608486,7.4721800618837655,0.0,4,1.0
[[-0.00033836]],500.0,[[0.97830729]],0.011810411734783971,0.003893420379763107,1.0901,2.86024,0.0,2.904504629433391,0.00033836100444639694,67.65072316585218,0.0,0.0,7.458680837636532,0.003893420379763107,100,7.6184081670494885,0,1.8022995506025923,[[0.97796893]],1430.1616161616162,0.22604918033249533,7.458679823972282,0.0,5,1.0
[[-0.00045936]],500.0,[[0.97796893]],0.011990922340504997,0.003967945859786211,1.0901,2.8502,0.0,2.8982408388538037,0.0004593573076160373,76.29530907144631,0.0,0.0,7.447656366481753,0.003967945859786211,100,7.611215948342657,0,1.8084795771683264,[[0.97750958]],1425.5555555555557,0.3015122119528826,7.447655480351915,0.0,6,1.0
[[0.00171234]],500.0,[[0.97750958]],0.011267391950797036,0.0036709566212966907,1.0901,2.89204,0.0,2.922140420719032,0.0017123425466825104,69.829445172657,0.0,0.0,7.491943895863505,0.0036709566212966907,100,7.640776228363959,0,1.7833885587817995,[[0.97922192]],1445.8989898989898,1.156302450881313,7.49194262621249,0.0,7,1.0
[[-0.00033926]],500.0,[[0.97922192]],0.011426864210230054,0.003736016909012918,1.0901,2.8812,0.0,2.9167047433705044,0.00033925842521986826,83.07589988879094,0.0,0.0,7.480632477763275,0.003736016909012918,100,7.6323500305721055,0,1.7889935003671995,[[0.97888266]],1441.6969696969697,0.23631943736220506,7.480631211527278,0.0,8,1.0
[[0.00060622]],500.0,[[0.97888266]],0.011116433732499586,0.0036095815178760087,1.0901,2.89836,0.0,2.924993899207313,0.0006062172597838256,73.26016886137921,0.0,0.0,7.496978934894216,0.0036095815178760087,100,7.642426991895139,0,1.7780422125199156,[[0.97948888]],1448.2424242424242,0.42494708542355397,7.496977517771764,0.0,9,1.0
