DeltaOmega,TimestepsMean,OmegaBefore,WeightMedian,WeightMean,Epsilon,RewardMean,LossReg,RewardStd,NormDeltaOmega,ReturnsStd,TimestepsStd,Wins,Primal,WeightMin,Traj,DualBefore,ConfortViolation,Eta,Omega,ReturnsMean,NormDeltaVar,DualAfter,DualReg,ITERATIONS,WeightMax
[[-0.0006996]],500.0,[[0.97948888]],0.011414093892076682,0.0037307985637948446,1.0901,2.8804,0.0,2.9149709844181984,0.0006995962446969539,93.07082327500513,0.0,0.0,7.478005518449305,0.0037307985637948446,100,7.629209460904658,0,1.788546264737167,[[0.97878928]],1440.060606060606,0.489340806783261,7.478004168604519,0.0,10,1.0
[[0.00017068]],500.0,[[0.97878928]],0.011478567240452865,0.003757159249428039,1.0901,2.87888,0.0,2.917870789736927,0.0001706785022966839,78.84377711445921,0.0,0.0,7.480796969050413,0.003757159249428039,100,7.633644269231023,0,1.7908014005754884,[[0.97895996]],1438.888888888889,0.11791023566065917,7.480795780138779,0.0,11,1.0
[[-0.00062372]],500.0,[[0.97895996]],0.011703834634467117,0.003849552272027282,1.0901,2.86524,0.0,2.9090616601234154,0.0006237193406561925,87.63034659944152,0.0,0.0,7.46517101279794,0.003849552272027282,100,7.622481922623362,0,1.798626357617019,[[0.97833624]],1432.5252525252524,0.4264403726845245,7.465169901055287,0.0,12,1.0
[[5.42973755e-06]],500.0,[[0.97833624]],0.011724354602939177,0.003857990745193003,1.0901,2.86436,0.0,2.909240758411033,5.429737549023095e-06,83.4498628166759,0.0,0.0,7.4649998039531384,0.003857990745193003,100,7.62277401609537,0,1.7993350064370472,[[0.97834167]],1433.171717171717,0.003660260997627063,7.464998724336348,0.0,13,1.0
[[0.00038924]],500.0,[[0.97834167]],0.011543403943939098,0.003783705852650411,1.0901,2.877,0.0,2.915515563326665,0.0003892361770819752,72.94118932603094,0.0,0.0,7.478286414599195,0.003783705852650411,100,7.632775276465447,0,1.7930622016848228,[[0.97873091]],1438.8686868686868,0.2647555310741936,7.478285325169795,0.0,14,1.0
[[0.00108266]],500.0,[[0.97873091]],0.011132202801530659,0.003615983057115568,1.0901,2.89456,0.0,2.928330993313426,0.0010826551701395015,74.56119294046218,0.0,0.0,7.497136883957987,0.003615983057115568,100,7.642372211056742,0,1.778602568120515,[[0.97981356]],1446.888888888889,0.7621367325650539,7.49713541945405,0.0,15,1.0
[[-0.00094613]],500.0,[[0.97981356]],0.01161115487287247,0.0038114855032907466,1.0901,2.8666,0.0,2.914619090035609,0.000946127168141242,78.44923857083405,0.0,0.0,7.4696813279862795,0.0038114855032907466,100,7.62434996668901,0,1.795417146398997,[[0.97886743]],1434.141414141414,0.6681473679286256,7.469680037088699,0.0,16,1.0
[[-0.00012087]],500.0,[[0.97886743]],0.011457901412525402,0.0037487057417689533,1.0901,2.87824,0.0,2.9144972984032766,0.0001208705644445418,84.73084678135875,0.0,0.0,7.4765841764471475,0.0037487057417689533,100,7.628724756784949,0,1.7900793193023534,[[0.97874656]],1439.4343434343434,0.08324039612433864,7.476582868292169,0.0,17,1.0
[[-0.00054611]],500.0,[[0.97874656]],0.011828561712221854,0.0039009009679792915,1.0901,2.85764,0.0,2.9068287927568077,0.0005461129334483061,69.64198680311407,0.0,0.0,7.458971384386332,0.0039009009679792915,100,7.618741395892412,0,1.8029232736471272,[[0.97820045]],1427.5353535353536,0.3704118458693486,7.45897034800763,0.0,18,1.0
[[0.0012656]],500.0,[[0.97820045]],0.011371324460077614,0.0037133322925374337,1.0901,2.88664,0.0,2.9256297630424806,0.001265598658794831,80.99966682595505,0.0,0.0,7.4927224501138205,0.0037133322925374337,100,7.643674755859108,0,1.7870463968689316,[[0.97946605]],1443.2323232323233,0.8728945315213821,7.492721314314377,0.0,19,1.0
