WeightMin,Traj,Wins,WeightMean,NormDeltaOmega,RewardMean,ITERATIONS,ReturnsMean,DualBefore,DualAfter,Primal,NormDeltaVar,DeltaOmega,TimestepsMean,TimestepsStd,WeightMax,Eta,OmegaBefore,ConfortViolation,ReturnsStd,Epsilon,LossReg,Omega,RewardStd,DualReg,WeightMedian
0.0267946421611279,100,0.0,0.0267946421611279,0.621298989263907,2.34192,0,1170.8686868686868,7.1906341979075465,5.89729347921723,5.897294108298502,41.592392898963,[[-0.62129899]],500.0,0.0,1.0,2.762771835649267,[[0.8]],0,54.77680082276343,0.7101,0.0,[[0.17870101]],2.418505884549384,0.0,0.05526349778336819
0.003473390368430121,100,0.0,0.003473390368430121,0.175064976149424,5.31428,1,2659.191919191919,9.936232002101786,9.910615106541071,9.910615653298679,58.40065410711236,[[-0.17506498]],500.0,0.0,1.0,1.7659657085959544,[[0.17870101]],0,124.33253527793897,0.7101,0.0,[[0.00363603]],4.437416825316279,0.0,0.010779605728882435
0.0,100,0.0,0.0,0.003636032237303734,9.85264,2,4926.404040404041,10.693793276549487,10.002077531224879,9.999999999997504,203.6557385072944,[[-0.00363603]],500.0,0.0,1.0,0.0029944769865707906,[[0.00363603]],0,33.026441562193675,0.7101,0.0,[[2.34936531e-09]],1.1564277021932672,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,3,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,4,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,5,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,6,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,7,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,8,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,9,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,10,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,11,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,12,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,13,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,14,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,15,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,16,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,17,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,18,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
0.0,100,0.0,0.0,0.0,9.98,19,4990.0,10.708098088311147,10.002106204317913,9.999999999997792,0.0,[[0.]],500.0,0.0,1.0,0.0029744531489382577,[[2.34936531e-09]],0,0.0,0.7101,0.0,[[2.34936531e-09]],0.4467661580737735,0.0,1.0
