ReturnsStd,TimestepsStd,RewardMean,WeightMean,Eta,ITERATIONS,OmegaBefore,Traj,Wins,Omega,RewardStd,WeightMax,DualBefore,DualAfter,ReturnsMean,ConfortViolation,WeightMin,TimestepsMean,Epsilon,NormDeltaVar,NormDeltaOmega,WeightMedian,Primal,LossReg,DeltaOmega,DualReg
64.35517708364732,0.0,2.36288,0.007153436032171486,2.024224922377629,0,[[0.8]],100,0.0,[[0.92977247]],2.4443563785994873,1.0,7.781188637583735,7.221395634667333,1181.1313131313132,0,0.007153436032171486,500.0,1.2501,17.09864398455409,0.12977246602588377,0.01921373331111912,7.221392676360735,0.0,[[0.12977247]],0.0
66.7501466924296,0.0,2.64316,0.0029536658823426515,1.7168241983429007,1,[[0.92977247]],100,0.0,[[0.97437058]],2.725381663987633,1.0,7.655411649191182,7.488553574762253,1321.5353535353536,0,0.0029536658823426515,500.0,1.2501,15.069303465631897,0.04459811121369117,0.009468672449081107,7.488550411910859,0.0,[[0.04459811]],0.0
75.51758350089408,0.0,2.84516,0.0013820968720661235,1.5187981355453615,2,[[0.97437058]],100,0.0,[[0.98797172]],2.891509047954026,1.0,7.767474116461143,7.706813492780972,1421.939393939394,0,0.0013820968720661235,500.0,1.2501,11.004895667493315,0.013601140970424419,0.005157399659717331,7.70681393961167,0.0,[[0.01360114]],0.0
87.0434746136027,0.0,2.94164,0.0008226877968708866,1.4078689614829818,3,[[0.98797172]],100,0.0,[[0.99234101]],2.9626397199794647,1.0,7.8318626615516544,7.8008600347318335,1471.171717171717,0,0.0008226877968708866,500.0,1.2501,6.511325476284547,0.004369287804976918,0.0034055561426636943,7.80085916756303,0.0,[[0.00436929]],0.0
82.03195417621586,0.0,2.96992,0.0006899928387720236,1.3738472952505003,4,[[0.99234101]],100,0.0,[[0.99333105]],2.9805327029911957,1.0,7.850317042491421,7.825656576661837,1485.030303030303,0,0.0006899928387720236,500.0,1.2501,1.9916405489369708,0.0009900402435125688,0.0029585278829082646,7.825656393008421,0.0,[[0.00099004]],0.0
83.44981880107868,0.0,2.93524,0.000839525086054498,1.4118960886758172,5,[[0.99333105]],100,0.0,[[0.99230319]],2.962344703507679,1.0,7.829092722940765,7.797388400698957,1467.919191919192,0,0.000839525086054498,500.0,1.2501,2.0625442638084905,0.001027855003678635,0.0034612019709021296,7.797387409881345,0.0,[[-0.00102786]],0.0
84.74339812735148,0.0,2.94124,0.0008137990883387334,1.4057190470921117,6,[[0.99230319]],100,0.0,[[0.99246432]],2.965061089151453,1.0,7.832479215446375,7.802004126622193,1469.6969696969697,0,0.0008137990883387334,500.0,1.2501,0.30456087056381875,0.00016113005273787895,0.0033760880071498837,7.802003331629795,0.0,[[0.00016113]],0.0
79.70008059373781,0.0,2.90984,0.000978505593496554,1.4431088838644412,7,[[0.99246432]],100,0.0,[[0.99119959]],2.9429018288757103,1.0,7.811125021550248,7.772443342979668,1454.4242424242425,0,0.000978505593496554,500.0,1.2501,2.2346408079222044,0.001264733909822402,0.003912466662979917,7.772446894290331,0.0,[[-0.00126473]],0.0
86.18912488501108,0.0,2.96388,0.0007293011463061895,1.384385058175985,8,[[0.99119959]],100,0.0,[[0.99294863]],2.972752150045476,1.0,7.844406794589126,7.817834942579527,1482.020202020202,0,0.0007293011463061895,500.0,1.2501,3.190574880358753,0.0017490463990669225,0.003092612571365394,7.817834614522862,0.0,[[0.00174905]],0.0
71.52443585228302,0.0,2.95776,0.0007354616595562817,1.3859990524344468,9,[[0.99294863]],100,0.0,[[0.99304153]],2.975549660550131,1.0,7.84329258180258,7.8165702779877675,1478.5050505050506,0,0.0007354616595562817,500.0,1.2501,0.19079616938132915,9.289908599918739e-05,0.0031134939769417993,7.816569933529111,0.0,[[9.2899086e-05]],0.0
70.28574035619623,0.0,2.9718,0.002917633540543491,1.370571199430984,10,[[0.99304153]],100,0.0,[[0.9933931]],2.981007339809817,1.0,7.850253793549693,7.826242111547233,1487.5555555555557,0,0.002917633540543491,500.0,1.2501,0.745703437217685,0.00035157119818962634,0.012553737902044487,7.826241960808174,0.0,[[0.00035157]],0.0
76.20324666686562,0.0,2.95176,0.0007746877817075032,1.396053265149723,11,[[0.9933931]],100,0.0,[[0.99269493]],2.968944745595647,1.0,7.838434676143374,7.809747520275119,1476.5454545454545,0,0.0007746877817075032,500.0,1.2501,1.445116837955851,0.0006981771716085827,0.003245647608096255,7.809746973339598,0.0,[[-0.00069818]],0.0
68.0659456846275,0.0,2.93284,0.0008443108204768829,1.4130301437729467,12,[[0.99269493]],100,0.0,[[0.99232734]],2.9631013371803534,1.0,7.8286715434188325,7.7967718597268245,1465.4343434343434,0,0.0008443108204768829,500.0,1.2501,0.7066375827963327,0.0003675866049971388,0.003476977530278302,7.796770836729399,0.0,[[-0.00036759]],0.0
80.89218350690659,0.0,2.95148,0.0007729767152333338,1.3956224507901929,13,[[0.99232734]],100,0.0,[[0.99270106]],2.9688593448663076,1.0,7.837827854099041,7.809277496988444,1476.1010101010102,0,0.0007729767152333338,500.0,1.2501,0.7187175353085138,0.00037371607199243595,0.003239911365299308,7.809276959375231,0.0,[[0.00037372]],0.0
83.97262223834088,0.0,2.95932,0.0007413257946497022,1.3875263456486162,14,[[0.99270106]],100,0.0,[[0.99295086]],2.973930923474854,1.0,7.843937631653293,7.8167968776774135,1479.8181818181818,0,0.0007413257946497022,500.0,1.2501,0.5010771537660759,0.00024980213319558686,0.0031333383155042684,7.816796503340449,0.0,[[0.0002498]],0.0
76.21043367544827,0.0,2.94052,0.000825659342620433,1.4085839666551956,15,[[0.99295086]],100,0.0,[[0.99230642]],2.961807240453031,1.0,7.830592612909494,7.799499158027626,1470.989898989899,0,0.000825659342620433,500.0,1.2501,1.2589974527205925,0.0006444401711566128,0.0034153932798459134,7.79949826589021,0.0,[[-0.00064444]],0.0
70.31054180236407,0.0,2.92964,0.0008725326252480609,1.4196256551222595,16,[[0.99230642]],100,0.0,[[0.99201665]],2.9569189150871216,1.0,7.824460232578037,7.791114948542977,1465.6767676767677,0,0.0008725326252480609,500.0,1.2501,0.5323314336279736,0.0002897639880150571,0.0035696475648233222,7.791113654983155,0.0,[[-0.00028976]],0.0
87.1387439540413,0.0,2.9314,0.0008698584876300777,1.4190073157275953,17,[[0.99201665]],100,0.0,[[0.99203892]],2.9579340831059775,1.0,7.826518503863097,7.793188516984516,1466.3636363636363,0,0.0008698584876300777,500.0,1.2501,0.04022257487226,2.2267440547230066e-05,0.0035608926756862296,7.79318725469976,0.0,[[2.22674405e-05]],0.0
72.6367506229955,0.0,2.97196,0.0006882669603350256,1.3733747571183514,18,[[0.99203892]],100,0.0,[[0.9932618]],2.9782702628203506,1.0,7.849405778883127,7.824831689934756,1485.6767676767677,0,0.0006882669603350256,500.0,1.2501,2.400054284181607,0.0012228798831123155,0.002952606270219951,7.824831508173381,0.0,[[0.00122288]],0.0
86.28276915725135,0.0,2.97312,0.0006780259349018574,1.3705529803548133,19,[[0.9932618]],100,0.0,[[0.99337279]],2.9807243189533654,1.0,7.851018268603622,7.826946501124565,1487.030303030303,0,0.0006780259349018574,500.0,1.2501,0.23886897930950113,0.00011099106580825246,0.0029174071632815848,7.8269463491775655,0.0,[[0.00011099]],0.0
