DualReg,NormDeltaOmega,RewardMean,TimestepsMean,Traj,ConfortViolation,DualAfter,LossReg,Wins,Primal,Omega,WeightMax,WeightMean,TimestepsStd,DeltaOmega,ReturnsStd,RewardStd,NormDeltaVar,WeightMin,Epsilon,OmegaBefore,DualBefore,Eta,ITERATIONS,ReturnsMean,WeightMedian
0.0,0.07285125607039933,2.33016,500.0,100,0,6.46426498244349,0.0,0.0,6.464263296073152,[[0.87285126]],1.0,0.01518868569226618,0.0,[[0.07285126]],50.28762085994826,2.407379150528641,7.715902636074464,0.01518868569226618,0.9401,[[0.8]],7.399233978082496,2.388228237315743,0,1164.060606060606,0.03509264928489946
0.0,0.0410662604283748,2.46976,500.0,100,0,6.6457310235563565,0.0,0.0,6.64573046585357,[[0.91391752]],1.0,0.012747049021789688,0.0,[[0.04106626]],62.605913931008324,2.5572730676249655,6.228954716089284,0.012747049021789688,0.9401,[[0.87285126]],7.31966362205239,2.292287001658983,1,1234.5454545454545,0.030501958425742947
0.0,0.02248563460185582,2.5886,500.0,100,0,6.816296395591191,0.0,0.0,6.816295547553479,[[0.93640315]],1.0,0.011249758082769044,0.0,[[0.02248563]],70.44867069384883,2.6802145511133992,4.672111449311998,0.011249758082769044,0.9401,[[0.91391752]],7.337867757245365,2.2284576178236497,2,1293.0707070707072,0.02760034728761973
0.0,0.010925016307452684,2.67664,500.0,100,0,6.9319618032218955,0.0,0.0,6.931961574802916,[[0.94732817]],1.0,0.010232139866966708,0.0,[[0.01092502]],71.04463145951598,2.755546826022015,2.858322327008061,0.010232139866966708,0.9401,[[0.93640315]],7.3683702453985465,2.182347558117579,3,1337.5353535353536,0.025584278526889107
0.0,0.0036227544408033996,2.70844,500.0,100,0,6.970357205481514,0.0,0.0,6.970357004336026,[[0.95095092]],1.0,0.00980680644145258,0.0,[[0.00362275]],75.10228103779465,2.78124302541148,1.0725188920180244,0.00980680644145258,0.9401,[[0.94732817]],7.37461285168969,2.1623124255579693,4,1355.030303030303,0.024729884209856785
0.0,0.002125700969354938,2.72956,500.0,100,0,7.000280140336663,0.0,0.0,7.000280142527812,[[0.95307662]],1.0,0.00963251134210429,0.0,[[0.0021257]],66.00656362968591,2.7993681798577335,0.6648320132000833,0.00963251134210429,0.9401,[[0.95095092]],7.391741029866158,2.153960205848703,5,1364.888888888889,0.024377637978737578
0.0,0.0020141691519945937,2.75388,500.0,100,0,7.032030434112173,0.0,0.0,7.032030443657134,[[0.95509079]],1.0,0.009417209562839259,0.0,[[0.00201417]],64.27004043995343,2.817726911111153,0.6569178610326816,0.009417209562839259,0.9401,[[0.95307662]],7.408881831385665,2.1435232615298383,6,1377.7373737373737,0.023940752006216395
0.0,0.00040915933292184903,2.75748,500.0,100,0,7.035494015360803,0.0,0.0,7.03549402662002,[[0.95549995]],1.0,0.009351814688250608,0.0,[[0.00040916]],72.1559263425846,2.820309211700022,0.13686964973602755,0.009351814688250608,0.9401,[[0.95509079]],7.407789139909898,2.1403262665746268,7,1378.6868686868686,0.02380766012333651
0.0,0.0005645824435503988,2.7608,500.0,100,0,7.039873284537691,0.0,0.0,7.039873295194378,[[0.95606453]],1.0,0.009292644500680272,0.0,[[0.00056458]],75.50361202643124,2.8240225494850426,0.19084434606973844,0.009292644500680272,0.9401,[[0.95549995]],7.407744506378119,2.1374225449666193,8,1381.4949494949494,0.023687076272479266
0.0,0.0017612544152365572,2.73264,500.0,100,0,7.003440958749638,0.0,0.0,7.003440971911165,[[0.95430328]],1.0,0.00948993085531032,0.0,[[-0.00176125]],74.31709019403735,2.8051165092380743,0.5878363884501709,0.00948993085531032,0.9401,[[0.95606453]],7.3834973709382075,2.1470635689916167,9,1367.79797979798,0.02408853779100322
0.0,0.0010311431015380679,2.7488,500.0,100,0,7.02514917207279,0.0,0.0,7.025149184342185,[[0.95533442]],1.0,0.00938932180308548,0.0,[[0.00103114]],79.4665409431956,2.8163981536707485,0.3414763616722212,0.00938932180308548,0.9401,[[0.95430328]],7.398980800151249,2.1421614542826743,10,1375.090909090909,0.023884017417325154
0.0,0.0003113889580617091,2.75148,500.0,100,0,7.029817253195077,0.0,0.0,7.0298172652488455,[[0.95564581]],1.0,0.00937574862469247,0.0,[[0.00031139]],73.83573348474769,2.8193896164950316,0.10459819931231351,0.00937574862469247,0.9401,[[0.95533442]],7.402587398381106,2.141497816251749,11,1375.5959595959596,0.02385639208491168
0.0,0.0007674049315202769,2.7442,500.0,100,0,7.02609573169299,0.0,0.0,7.026095744408699,[[0.95641322]],1.0,0.009402406469459714,0.0,[[0.0007674]],71.34144285923739,2.822028766685414,0.2607981577027516,0.009402406469459714,0.9401,[[0.95564581]],7.398330233572917,2.1428006884398876,12,1372.5454545454545,0.023910640926827563
0.0,0.0008922621312995593,2.74352,500.0,100,0,7.022767106307784,0.0,0.0,7.022767118524569,[[0.95552095]],1.0,0.009451072560562386,0.0,[[-0.00089226]],73.25084266008975,2.8170583965548177,0.30282258035121856,0.009451072560562386,0.9401,[[0.95641322]],7.399674035767919,2.145173756397313,13,1372.3636363636363,0.024009597413135558
0.0,0.00019567757709082478,2.7464,500.0,100,0,7.022524649013415,0.0,0.0,7.022524661578762,[[0.95532528]],1.0,0.009399065963576788,0.0,[[-0.00019568]],74.14690206205144,2.8156148600261366,0.06563541432710451,0.009399065963576788,0.9401,[[0.95552095]],7.396662305330265,2.1426375407735754,14,1372.7878787878788,0.023903844668860183
0.0,0.001035683317486713,2.75968,500.0,100,0,7.039513101527701,0.0,0.0,7.039513111464188,[[0.95636096]],1.0,0.009280800016688477,0.0,[[0.00103568]],74.96118507215378,2.8252869407548675,0.35056048386893934,0.009280800016688477,0.9401,[[0.95532528]],7.405922595038997,2.1368400178570317,15,1379.4949494949494,0.02366291979262978
0.0,0.0008982808916827567,2.78148,500.0,100,0,7.061587184948079,0.0,0.0,7.061587056140918,[[0.95725924]],1.0,0.009067694868098148,0.0,[[0.00089828]],68.10766487625632,2.835222920618412,0.31054257997615764,0.009067694868098148,0.9401,[[0.95636096]],7.415574995910943,2.126285543321218,16,1390.5050505050506,0.02322723521920577
0.0,0.001962910478537694,2.80328,500.0,100,0,7.096296417371814,0.0,0.0,7.096296410943496,[[0.95922215]],1.0,0.008962668372212748,0.0,[[0.00196291]],72.65102063218431,2.855678770730349,0.7008922234421107,0.008962668372212748,0.9401,[[0.95725924]],7.443727285019003,2.12103144734871,17,1402.3030303030303,0.023011761376800846
0.0,0.0004745766073587232,2.78616,500.0,100,0,7.0742102818241115,0.0,0.0,7.074226551977705,[[0.95874757]],1.0,0.009023415116567476,0.0,[[-0.00047458]],75.06045857565482,2.8464209903666746,0.172368148119304,0.009023415116567476,0.9401,[[0.95922215]],7.4237079592783815,2.124074678484996,18,1392.2626262626263,0.023136451447364592
0.0,0.00017483182533728492,2.78808,500.0,100,0,7.075692571803641,0.0,0.0,7.07569415303487,[[0.95857274]],1.0,0.00902329837220762,0.0,[[-0.00017483]],67.04159645731411,2.8460586630637117,0.06302162387673604,0.00902329837220762,0.9401,[[0.95874757]],7.425732027531607,2.1240688412638087,19,1394.1010101010102,0.02313621197672752
