ConfortViolation,WeightMedian,Epsilon,DualAfter,WeightMean,TimestepsMean,WeightMin,DualBefore,Eta,ITERATIONS,DeltaOmega,ReturnsMean,RewardStd,ReturnsStd,OmegaBefore,DualReg,RewardMean,LossReg,Primal,Wins,Omega,NormDeltaVar,WeightMax,NormDeltaOmega,TimestepsStd,Traj
0,0.00906680855333899,1.5801,7.759506592525937,0.0027978089625293368,500.0,0.0027978089625293368,8.043219884975693,1.7009930808291092,0,[[0.16070382]],1165.2323232323233,2.4074244574648653,56.55476085539283,[[0.8]],0.0,2.33104,0.0,7.759508738101052,0.0,[[0.96070382]],25.860633669642393,1.0,0.16070381507158893,0.0,100
0,3.548401972885932e-05,1.5801,8.062742759033277,2.738678264574554e-06,500.0,2.738678264574554e-06,8.070513844604688,0.7807598816964593,1,[[0.03900206]],1397.030303030303,2.855058141334428,72.89586519504678,[[0.96070382]],0.0,2.79564,0.0,8.06274257088902,0.0,[[0.99970587]],70.49515878935816,1.0,0.03900205648537547,0.0,100
0,0.0,1.5801,8.001080190515093,0.0,500.0,0.0,8.204386741433293,0.005423968502250932,2,[[0.00029412]],1502.7676767676767,3.005718557949163,80.74286762544645,[[0.99970587]],0.0,3.00748,0.0,7.999999999999686,0.0,[[0.99999999]],154.05696464197328,1.0,0.00029412234431824835,0.0,100
0,0.0,1.5801,8.001247493435942,0.0,500.0,0.0,8.172357198500936,0.007475098739019676,3,[[0.]],1477.878787878788,2.9759507426031098,74.81577005575639,[[0.99999999]],0.0,2.95576,0.0,7.999999999999909,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001049111341974,0.0,500.0,0.0,8.197095744542919,0.005469715604497254,4,[[0.]],1497.171717171717,2.9983707786729785,74.98956700553474,[[0.99999999]],0.0,2.99644,0.0,8.000000000000437,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001078188612794,0.0,500.0,0.0,8.203914386248696,0.005426929842278716,5,[[0.]],1503.858585858586,3.0050007164059043,78.68425716287173,[[0.99999999]],0.0,3.00712,0.0,8.000000000000622,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001056278776932,0.0,500.0,0.0,8.198769118151132,0.005459211663553407,6,[[0.]],1499.3737373737374,2.999359931718766,80.69228066400969,[[0.99999999]],0.0,3.0,0.0,8.00000000000035,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001039835619892,0.0,500.0,0.0,8.194936960715467,0.005483296130047123,7,[[0.]],1496.2424242424242,2.9975858862758216,73.89660957888638,[[0.99999999]],0.0,2.99112,0.0,8.00000000000043,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001218820569212,0.0,500.0,0.0,8.16745381350024,0.007526213952541881,8,[[0.]],1473.939393939394,2.9709133709349387,70.55420126969341,[[0.99999999]],0.0,2.94868,0.0,7.999999999999756,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001077217223585,0.0,500.0,0.0,8.203682454308373,0.005428567173177254,9,[[0.]],1503.171717171717,3.0039601592564433,77.42367246951983,[[0.99999999]],0.0,3.00796,0.0,7.999999999999751,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
