ConfortViolation,WeightMedian,Epsilon,DualAfter,WeightMean,TimestepsMean,WeightMin,DualBefore,Eta,ITERATIONS,DeltaOmega,ReturnsMean,RewardStd,ReturnsStd,OmegaBefore,DualReg,RewardMean,LossReg,Primal,Wins,Omega,NormDeltaVar,WeightMax,NormDeltaOmega,TimestepsStd,Traj
0,0.0,1.5801,8.001063947329724,0.0,500.0,0.0,8.200577114051448,0.00544707608237228,10,[[0.]],1497.878787878788,3.003810688841759,83.03574412607601,[[0.99999999]],0.0,2.99884,0.0,7.999999999999824,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001370716772213,0.0,500.0,0.0,8.19374383129408,0.007274361189809907,11,[[0.]],1494.080808080808,2.9958740950847713,78.83029679175576,[[0.99999999]],0.0,2.99008,0.0,7.99999999999969,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001075472351808,0.0,500.0,0.0,8.203277947753344,0.005430672624617592,12,[[0.]],1502.6666666666667,3.0050313433307148,80.03181185685419,[[0.99999999]],0.0,3.00516,0.0,7.99999999999984,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001306675193403,0.0,500.0,0.0,8.182571728796223,0.007374499047771849,13,[[0.]],1485.090909090909,2.9872041325627547,80.2316206221612,[[0.99999999]],0.0,2.96948,0.0,8.000000000000142,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.00106299964948,0.0,500.0,0.0,8.20034866534041,0.005448910106990668,14,[[0.]],1500.1818181818182,3.002105850498946,76.48969873686148,[[0.99999999]],0.0,3.00068,0.0,8.00000000000043,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001084210938973,0.0,500.0,0.0,8.205334003434562,0.005418189788318857,15,[[0.]],1506.1010101010102,3.0066459250134527,81.04039333884707,[[0.99999999]],0.0,3.00896,0.0,7.999999999999678,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001372585288063,0.0,500.0,0.0,8.194068492275703,0.007271863492707459,16,[[0.]],1495.8181818181818,2.995345291347894,85.46537648961944,[[0.99999999]],0.0,2.99184,0.0,7.9999999999997256,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.001079267410779,0.0,500.0,0.0,8.204161706922786,0.005425837979350545,17,[[0.]],1504.7070707070707,3.0036080958740277,83.20077366157055,[[0.99999999]],0.0,3.00992,0.0,7.999999999999659,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.00134519580245,0.0,500.0,0.0,8.189267743661105,0.007314149801437475,18,[[0.]],1490.4242424242425,2.990877221418492,77.16977098397409,[[0.99999999]],0.0,2.98408,0.0,8.000000000000282,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
0,0.0,1.5801,8.0010663886506,0.0,500.0,0.0,8.201142695716042,0.005443994857620663,19,[[0.]],1500.3636363636363,3.002664647009386,73.47609444890037,[[0.99999999]],0.0,3.00224,0.0,8.000000000000222,0.0,[[0.99999999]],0.0,1.0,0.0,0.0,100
