DualReg,DualBefore,ReturnsMean,ReturnsStd,Omega,Wins,ITERATIONS,RewardStd,LossReg,Primal,RewardMean,DualAfter,TimestepsMean,DeltaOmega,WeightMin,OmegaBefore,ConfortViolation,WeightMean,Eta,TimestepsStd,NormDeltaOmega,NormDeltaVar,WeightMax,WeightMedian,Traj,Epsilon
0.0,7.726902843716142,1174.4444444444443,60.10600437614444,[[0.92071988]],0.0,0,2.4383805773504674,0.0,7.0888968392992835,2.3504,7.088896824545124,500.0,[[0.12071988]],0.008516121486537128,[[0.8]],0,0.008516121486537128,2.098286128413332,0.0,0.12071988420829771,15.226773360243062,1.0,0.022089886202610428,100,1.1901
0.0,7.616630415053299,1318.3030303030303,69.9450656804287,[[0.96798631]],0.0,1,2.7194538248699867,0.0,7.385641171040495,2.63788,7.385639453146524,500.0,[[0.04726643]],0.004140688081373349,[[0.92071988]],0,0.004140688081373349,1.822524960865631,0.0,0.0472664296106855,13.669799252884772,1.0,0.012406749482140957,100,1.1901
0.0,7.694270575048905,1407.3131313131314,78.88780505987333,[[0.98217668]],0.0,2,2.868222250523832,0.0,7.582027904026824,2.81404,7.582027337697707,500.0,[[0.01419037]],0.002457525361172737,[[0.96798631]],0,0.002457525361172737,1.6642810900109695,0.0,0.01419036647869465,8.574415306610746,1.0,0.00817331819397432,100,1.1901
0.0,7.735675781288345,1444.969696969697,68.58062490258736,[[0.98640005]],0.0,3,2.9237748288129164,0.0,7.657465769069855,2.88748,7.657464958969108,500.0,[[0.00422337]],0.0018694523521498392,[[0.98217668]],0,0.0018694523521498392,1.5918219191719971,0.0,0.00422337355474578,3.92475225640041,1.0,0.006567068107478541,100,1.1901
0.0,7.7467089648336325,1453.3535353535353,80.09177981898007,[[0.98721226]],0.0,4,2.9353749849721074,0.0,7.6752790685319665,2.90676,7.675278422296948,500.0,[[0.00081221]],0.0017404335648208318,[[0.98640005]],0,0.0017404335648208318,1.5739056462428962,0.0,0.0008122050307723949,0.8914558670452308,1.0,0.006201917148132438,100,1.1901
0.0,7.769484277012015,1471.1313131313132,77.28063074389776,[[0.98868719]],0.0,5,2.9581737544640614,0.0,7.709080422371559,2.94128,7.709080045087374,500.0,[[0.00147493]],0.0015208333192064754,[[0.98721226]],0,0.0015208333192064754,1.5411890024456798,0.0,0.001474931623616338,1.7720605945313466,1.0,0.005567564986512636,100,1.1901
0.0,7.76776459075527,1467.8383838383838,66.52996698089464,[[0.98846093]],0.0,6,2.9553095713308952,0.0,7.705231858192515,2.93624,7.705231433300396,500.0,[[-0.00022626]],0.0015600579156932921,[[0.98868719]],0,0.0015600579156932921,1.5472613294836701,0.0,0.00022625655590635674,0.28616472354447353,1.0,0.005682148467928015,100,1.1901
0.0,7.76659928872983,1467.6565656565656,67.72794085193841,[[0.98844588]],0.0,7,2.9550781826543946,0.0,7.703475924763482,2.93312,7.703475487221353,500.0,[[-1.50490768e-05]],0.0015731796092346418,[[0.98846093]],0,0.0015731796092346418,1.5492691257562001,0.0,1.5049076834028341e-05,0.018836573702685655,1.0,0.00572035059259509,100,1.1901
0.0,7.740226501961556,1448.040404040404,80.15993094514042,[[0.98688734]],0.0,8,2.930138392636088,0.0,7.666138198366496,2.897,7.666137481919106,500.0,[[-0.00155854]],0.0017950741155421154,[[0.98844588]],0,0.0017950741155421154,1.5816005529862975,0.0,0.001558541860303131,1.8302041250985397,1.0,0.006357200482019787,100,1.1901
0.0,7.7725061885829225,1471.050505050505,82.61990047373804,[[0.98911598]],0.0,9,2.96558487074641,0.0,7.713209826715167,2.93912,7.713209478981396,500.0,[[0.00222864]],0.0015036754955455262,[[0.98688734]],0,0.0015036754955455262,1.5384987375444703,0.0,0.0022286403544924394,2.6934043274015878,1.0,0.005517258061239128,100,1.1901
0.0,7.784628231909424,1482.4848484848485,87.49953692649339,[[0.98957565]],0.0,10,2.971849491747521,0.0,7.731490809033787,2.96728,7.731490575981278,500.0,[[0.00045966]],0.0013706130486202547,[[0.98911598]],0,0.0013706130486202547,1.5168758908187332,0.0,0.0004596646135864857,0.6230764928896235,1.0,0.005123088870657974,100,1.1901
0.0,7.764874722814361,1464.989898989899,76.28726874595178,[[0.98842047]],0.0,11,2.954163698917174,0.0,7.701864068402209,2.9322,7.701863632942292,500.0,[[-0.00115518]],0.0015735763324467786,[[0.98957565]],0,0.0015735763324467786,1.549329649425127,0.0,0.0011551776347642484,1.5180324750210303,1.0,0.005721504606351511,100,1.1901
0.0,7.753921321004684,1457.8383838383838,76.90092104776171,[[0.98746622]],0.0,12,2.9402021348199856,0.0,7.68406294102277,2.91508,7.684062340050444,500.0,[[-0.00095425]],0.001703074255229888,[[0.98842047]],0,0.001703074255229888,1.5685486481663844,0.0,0.0009542475954521512,1.1450602690455582,1.0,0.006095184654041229,100,1.1901
0.0,7.760967164866431,1462.9292929292928,82.09052068520906,[[0.98817176]],0.0,13,2.950260125751626,0.0,7.69615974910552,2.92648,7.6961592708357,500.0,[[0.00070553]],0.0016097469581285643,[[0.98746622]],0,0.0016097469581285643,1.554804137082959,0.0,0.0007055333606952319,0.8378741718897729,1.0,0.005826477725269519,100,1.1901
0.0,7.776816013903363,1473.7171717171718,76.49018427870804,[[0.98909727]],0.0,14,2.965640338544106,0.0,7.718315541067666,2.94768,7.718315206514573,500.0,[[0.00092551]],0.0014796474836120382,[[0.98817176]],0,0.0014796474836120382,1.5346953002583736,0.0,0.0009255141310289261,1.1773311581584593,1.0,0.005446614123786395,100,1.1901
0.0,7.764444541035318,1465.959595959596,80.6173051066893,[[0.98829425]],0.0,15,2.9527366192059867,0.0,7.700341457891434,2.93024,7.700340997092294,500.0,[[-0.00080303]],0.0015926730701338533,[[0.98909727]],0,0.0015926730701338533,1.552230660677661,0.0,0.0008030250384725157,1.0268513700002728,1.0,0.00577698592525216,100,1.1901
0.0,7.761290626528722,1463.2323232323233,85.1407424557463,[[0.98826936]],0.0,16,2.9520069376612246,0.0,7.696543929111643,2.9248,7.696543454098293,500.0,[[-2.48890105e-05]],0.0016104156354369977,[[0.98829425]],0,0.0016104156354369977,1.554904540433557,0.0,2.488901049169101e-05,0.03070209945104807,1.0,0.00582841386640612,100,1.1901
