DualBefore,Primal,RewardStd,Wins,ConfortViolation,DualAfter,Traj,Eta,Omega,ReturnsMean,Epsilon,LossReg,DeltaOmega,TimestepsMean,WeightMin,DualReg,OmegaBefore,NormDeltaVar,NormDeltaOmega,ReturnsStd,ITERATIONS,WeightMax,TimestepsStd,RewardMean,WeightMean,WeightMedian
6.677613749143113,6.532559353833062,1.3696143608529436,0.0,0,6.513844968979146,2156,13.680566542823563,7.966565850620847,148.9893199534544,0.001,0.0,-0.03343414937915323,23.19953596287703,0.5951133730989763,0.0001,8.0,0.05848140850020761,0.03343414937915323,82.92184627628234,0,1.0,12.304870473583884,6.422063105532253,0.5951133730989763,0.9731749372310678
6.704225501237122,6.558458062040539,1.3752258111884457,0.0,0,6.539635609421171,2157,13.720004011424585,7.932834324455704,149.5009031416077,0.001,0.0,-0.03373152616514297,23.187847866419293,0.5952484567240953,0.0001,7.966565850620847,0.0798995668138865,0.03373152616514297,84.72885031192807,1,1.0,12.525093951152789,6.447399618020109,0.5952484567240953,0.9739353075371759
6.7280070080589525,6.579091793960277,1.389820196907604,0.0,0,6.559953539456254,2188,13.83461044018267,7.900392080929741,147.78869326091058,0.001,0.0,-0.03244224352596259,22.854595336076816,0.5958630484047673,0.0001,7.932834324455704,0.05596593451083545,0.03244224352596259,78.55484045439331,2,1.0,11.572869296641318,6.4664706125212845,0.5958630484047673,0.9726802563068553
6.7559615284049075,6.608829092517972,1.3866976177651396,0.0,0,6.5897847484658705,2162,13.800623943801119,7.866590586569477,150.27810548371255,0.001,0.0,-0.03380149436026425,23.132808884775567,0.5940485881118344,0.0001,7.900392080929741,0.36079766827387105,0.03380149436026425,84.49452184419955,3,1.0,12.402976233897093,6.49661788115228,0.5940485881118344,0.9728536189161568
6.785036480251651,6.642265008040092,1.3733159840748843,0.0,0,6.623548594091116,2099,13.681436344564494,7.832757087937699,155.64351113400858,0.001,0.0,-0.03383349863177809,23.82983794089609,0.5902351776231466,0.0001,7.866590586569477,0.1066773416916144,0.03383349863177809,88.06182593927007,4,1.0,12.865296321866355,6.5315963711301945,0.5902351776231466,0.972793711109225
6.809691405905202,6.667158435799306,1.3753516179453738,0.0,0,6.648414818522055,2089,13.691372397689303,7.799840941034114,156.95895680538231,0.001,0.0,-0.032916146903584576,23.94013409961686,0.5892761499885629,0.0001,7.832757087937699,0.06482035598928364,0.032916146903584576,88.1888640483883,5,1.0,12.851523098801511,6.556320234036881,0.5892761499885629,0.972549257640714
6.837094144708084,6.696930814529143,1.3693944241544769,0.0,0,6.678343796952293,2053,13.63406541554892,7.7668925129947075,160.26664734124705,0.001,0.0,-0.032948428039406785,24.332846003898634,0.5883033858484433,0.0001,7.799840941034114,0.0867777641836848,0.032948428039406785,89.8824465370823,6,1.0,13.038734955860928,6.586809899665304,0.5883033858484433,0.9749493662171993
6.863413290011615,6.722310906911131,1.375882186794209,0.0,0,6.703595993815991,2057,13.680882990033405,7.733304093663512,160.74845735622327,0.001,0.0,-0.033588419331195496,24.313229571984436,0.5874149493589186,0.0001,7.7668925129947075,0.49197301696843876,0.033588419331195496,89.05116001109447,7,1.0,12.869939792798327,6.611531373269023,0.5874149493589186,0.9736761713657083
6.889689088202504,6.749887068871784,1.3742655839037317,0.0,0,6.731230072982601,2036,13.659697011416524,7.70115496638386,163.11131308694678,0.001,0.0,-0.032149127279652134,24.567076167076166,0.5845042476864248,0.0001,7.733304093663512,0.008605315907765271,0.032149127279652134,93.23323995955506,8,1.0,13.432762656334779,6.639346420848612,0.5845042476864248,0.9714109546804547
6.914125189263977,6.775852583968633,1.370978967270055,0.0,0,6.757288712506893,2011,13.625566636534003,7.669497135657133,165.77256541126872,0.001,0.0,-0.031657830726726566,24.86915422885572,0.5842356446563644,0.0001,7.70115496638386,0.05293961288240467,0.031657830726726566,96.96693035967164,9,1.0,13.9199307262635,6.665727086049031,0.5842356446563644,0.9739862619157107
6.9384730179911545,6.801054714512846,1.3704135186814612,0.0,0,6.7825223444883855,1995,13.613999899139039,7.638179036241284,167.75105238332372,0.001,0.0,-0.03131809941584951,25.070712136409227,0.5799513415879145,0.0001,7.669497135657133,0.1095627395674008,0.03131809941584951,99.5591336892183,10,1.0,14.247472977800047,6.691045127216336,0.5799513415879145,0.968919365084666
6.963837886418584,6.828922766855918,1.3633734277393235,0.0,0,6.810569200753347,1959,13.548172253334346,7.6062532794963165,171.52982525416007,0.001,0.0,-0.03192575674496734,25.526046986721145,0.5797384607414381,0.0001,7.638179036241284,0.02768670287571042,0.03192575674496734,102.08439695209219,11,1.0,14.560889231123932,6.719742914747736,0.5797384607414381,0.9728324900328916
6.986447432182927,6.849226425524242,1.3748487758521333,0.0,0,6.830629363427623,1980,13.637732625949978,7.575184403609387,170.05485616520323,0.001,0.0,-0.031068875886929526,25.23597776654876,0.5802166156798031,0.0001,7.6062532794963165,0.5190338554784988,0.031068875886929526,100.63609682156523,12,1.0,14.308497360202912,6.738831916056418,0.5802166156798031,0.9719543883038679
7.009297688825949,6.873480439367413,1.3717934510661802,0.0,0,6.854969988593754,1958,13.605940713700617,7.544917189333972,172.77576121055355,0.001,0.0,-0.030267214275414567,25.545222278998466,0.5803958640129211,0.0001,7.575184403609387,0.4275921677833911,0.030267214275414567,104.98335282181405,13,1.0,14.882219379783939,6.76347204100723,0.5803958640129211,0.9749904291691232
