DualBefore,OmegaBefore,WeightMin,LossReg,Primal,WeightMean,WeightMedian,Eta,Wins,ReturnsStd,NormDeltaVar,DualReg,DualAfter,NormDeltaOmega,Epsilon,ReturnsMean,RewardStd,WeightMax,TimestepsMean,TimestepsStd,Traj,ITERATIONS,Omega,ConfortViolation,RewardMean,DeltaOmega
8.479460060453187,[[0.8]],0.0005405707013651325,0.0,8.415209315833035,0.0005405707013651325,0.002433783838109724,1.3292772437290477,0.0,72.22326111429322,42.26531182158877,0.0,8.415208270088591,0.18719290546444756,2.0,1172.1052631578948,2.4180622903473763,1.0,500.0,0.0,20,0,[[0.98719291]],0,2.3426,[[0.18719291]]
8.610245302184664,[[0.98719291]],0.0,0.0,8.000000000000048,0.0,0.0,0.003106828259614183,0.0,73.19158633510622,184.51522342619361,0.0,8.001879216926453,0.01280706264422915,2.0,1493.7894736842106,2.9863630053963637,1.0,500.0,0.0,20,1,[[0.99999997]],0,2.994,[[0.01280706]]
8.57680608272287,[[0.99999997]],0.0,0.0,8.00000000000006,0.0,0.0,0.003161644404006884,0.0,94.59345874675019,0.0,0.0,8.001805980564939,0.0,2.0,1469.157894736842,2.96098010125026,1.0,500.0,0.0,20,2,[[0.99999997]],0,2.9322,[[0.]]
8.627659268303285,[[0.99999997]],0.0,0.0,7.999999999999974,0.0,0.0,0.0030794529777520762,0.0,82.43725054250845,0.0,0.0,8.001916858301833,0.0,2.0,1496.3157894736842,3.0118310111956816,1.0,500.0,0.0,20,3,[[0.99999997]],0,3.0086,[[0.]]
8.61861069540652,[[0.99999997]],0.0,0.0,8.000000000000046,0.0,0.0,0.0030935557061717357,0.0,75.94136825698087,0.0,0.0,8.001897294911235,0.0,2.0,1501.4736842105262,2.9959934846391105,1.0,500.0,0.0,20,4,[[0.99999997]],0,3.0048,[[0.]]
8.593631783259058,[[0.99999997]],0.0,0.0,8.00000000000004,0.0,0.0,0.003133810698724009,0.0,51.98465573737085,0.0,0.0,8.001843253180557,0.0,2.0,1476.7368421052631,2.9789278004006743,1.0,500.0,0.0,20,5,[[0.99999997]],0,2.9554,[[0.]]
8.594051040220371,[[0.99999997]],0.0,0.0,7.999999999999936,0.0,0.0,0.0031331002485752847,0.0,89.52469134328697,0.0,0.0,8.00184412068056,0.0,2.0,1478.5263157894738,2.97749938035258,1.0,500.0,0.0,20,6,[[0.99999997]],0,2.9588,[[0.]]
8.654490954209235,[[0.99999997]],0.0,0.0,8.000000000000005,0.0,0.0,0.003038182527643065,0.0,64.93158555991144,0.0,0.0,8.00197317440467,0.0,2.0,1528.3157894736842,3.0316212890135206,1.0,500.0,0.0,20,7,[[0.99999997]],0,3.0606,[[0.]]
8.607428273470346,[[0.99999997]],0.0,0.0,8.000000000000107,0.0,0.0,0.003111361624276074,0.0,87.94344695027506,0.0,0.0,8.001873157413108,0.0,2.0,1494.9473684210527,2.9851367204870196,1.0,500.0,0.0,20,8,[[0.99999997]],0,2.9874,[[0.]]
8.635137781472455,[[0.99999997]],0.0,0.0,7.999999999999936,0.0,0.0,0.003067762945056863,0.0,84.65658180026679,0.0,0.0,8.001932606633481,0.0,2.0,1512.0,3.0145082783100796,1.0,500.0,0.0,20,9,[[0.99999997]],0,3.0272,[[0.]]
8.624899415712717,[[0.99999997]],0.0,0.0,7.999999999999901,0.0,0.0,0.003083771441653103,0.0,63.82889176401792,0.0,0.0,8.001910975264561,0.0,2.0,1502.6315789473683,3.0093162013985837,1.0,500.0,0.0,20,10,[[0.99999997]],0,3.004,[[0.]]
8.630040135845096,[[0.99999997]],0.0,0.0,8.000000000000085,0.0,0.0,0.0030756864479303684,0.0,81.90082510179352,0.0,0.0,8.001921822326066,0.0,2.0,1499.7894736842106,3.0105963263114504,1.0,500.0,0.0,20,11,[[0.99999997]],0,3.0176,[[0.]]
8.64097890704251,[[0.99999997]],0.0,0.0,8.000000000000027,0.0,0.0,0.0030587697962487547,0.0,73.38812693150872,0.0,0.0,8.001944944601732,0.0,2.0,1517.157894736842,3.0203790424382166,1.0,500.0,0.0,20,12,[[0.99999997]],0,3.0362,[[0.]]
8.648363802479281,[[0.99999997]],0.0,0.0,7.999999999999982,0.0,0.0,0.003047401246066155,0.0,87.14314647658377,0.0,0.0,8.001960284859424,0.0,2.0,1527.578947368421,3.0220628716160096,1.0,500.0,0.0,20,13,[[0.99999997]],0,3.056,[[0.]]
8.619758548720208,[[0.99999997]],0.0,0.0,8.000000000000117,0.0,0.0,0.0030918460002537468,0.0,84.64218315340803,0.0,0.0,8.001899955812842,0.0,2.0,1505.2631578947369,3.0038622538325557,1.0,500.0,0.0,20,14,[[0.99999997]],0,2.9966,[[0.]]
8.639402882104312,[[0.99999997]],0.0,0.0,8.00000000000012,0.0,0.0,0.003061246506017006,0.0,75.48021699687102,0.0,0.0,8.001941725002949,0.0,2.0,1516.0,3.022314020746355,1.0,500.0,0.0,20,15,[[0.99999997]],0,3.0286,[[0.]]
8.60134384863082,[[0.99999997]],0.0,0.0,8.000000000000075,0.0,0.0,0.0031212564666269847,0.0,88.72566577554106,0.0,0.0,8.001860109411874,0.0,2.0,1484.421052631579,2.9856659960551517,1.0,500.0,0.0,20,16,[[0.99999997]],0,2.9684,[[0.]]
8.619772182903066,[[0.99999997]],0.0,0.0,8.000000000000117,0.0,0.0,0.0030917918462239086,0.0,72.67977043490792,0.0,0.0,8.001899922534902,0.0,2.0,1502.421052631579,3.0017328262188823,1.0,500.0,0.0,20,17,[[0.99999997]],0,2.9998,[[0.]]
