NormDeltaOmega,DualBefore,ITERATIONS,TimestepsStd,Primal,DualReg,LossReg,DeltaOmega,RewardStd,Traj,DualAfter,ReturnsStd,WeightMin,TimestepsMean,OmegaBefore,WeightMedian,Epsilon,ReturnsMean,ConfortViolation,WeightMean,WeightMax,Omega,NormDeltaVar,Eta,Wins,RewardMean
0.3119533554820604,6.409204071248595,0,0.0,2.5331967299745717,0.0,0.0,[[-0.31195336]],2.356148416377881,20,2.533195200389761,47.78043039870898,0.6692325450338532,500.0,[[0.8]],0.7252064234562022,0.0050001,1149.3684210526317,0,0.6692325450338532,1.0,[[0.48804664]],20.487384215982765,24.898930367321228,0.0,2.2908
0.019899548465760364,7.73122574335733,1,0.0,2.8690604880412973,0.0,0.0,[[-0.01989955]],2.9027600038583965,20,2.869060487513365,60.93727759388351,0.7215184542612015,500.0,[[0.48804664]],0.7701901406022493,0.0050001,1290.7368421052631,0,0.7215184542612015,1.0,[[0.4681471]],1.1394552345320461,30.637506134794688,0.0,2.5706
0.015829886142749272,7.832543817994889,2,0.0,2.9820219667019394,0.0,0.0,[[-0.01582989]],3.0127960700983394,20,2.98202196609373,79.04387084401637,0.7293732427695746,500.0,[[0.4681471]],0.7768905909342647,0.0050001,1335.4736842105262,0,0.7293732427695746,1.0,[[0.45231721]],0.9104020444466254,31.688721920653876,0.0,2.6728
0.006089784539114018,7.93091935943545,3,0.0,3.037739249247012,0.0,0.0,[[-0.00608978]],3.089926756413491,20,3.037739248922037,67.6711946230998,0.734862520912978,500.0,[[0.45231721]],0.7815645969326197,0.0050001,1365.3684210526317,0,0.734862520912978,1.0,[[0.44622743]],0.35161141722154365,32.45996090325952,0.0,2.7208
0.011319307489065622,7.992570613991235,4,0.0,3.11051811437186,0.0,0.0,[[-0.01131931]],3.159390093040111,20,3.110518170603531,85.11878615342613,0.7393928471330966,500.0,[[0.44622743]],0.7854168169394887,0.0050001,1397.0526315789473,0,0.7393928471330966,1.0,[[0.43490812]],0.6561173148715822,33.120708716324636,0.0,2.7868
0.008650023344697666,8.040914971456525,5,0.0,3.1515643211550173,0.0,0.0,[[-0.00865002]],3.2147874330972495,20,3.151564393310328,83.58504551530143,0.742949401627405,500.0,[[0.43490812]],0.7884377135104492,0.0050001,1414.5263157894738,0,0.742949401627405,1.0,[[0.42625809]],0.5040153864940393,33.65560406424715,0.0,2.8224
0.009117857426409748,8.089194204712973,6,0.0,3.218984084195362,0.0,0.0,[[-0.00911786]],3.2664857201585926,20,3.2189840756398995,92.40918278889772,0.7461025983671827,500.0,[[0.42625809]],0.7911135844313242,0.0050001,1439.2631578947369,0,0.7461025983671827,1.0,[[0.41714024]],0.5341358277288153,34.142259408526236,0.0,2.8848
0.00039530528530923315,8.117662562481376,7,0.0,3.2080395498757373,0.0,0.0,[[0.00039531]],3.2861474038758516,20,3.2080395426210533,88.68469467304986,0.7474655511020498,500.0,[[0.41714024]],0.7922695151023278,0.0050001,1438.842105263158,0,0.7474655511020498,1.0,[[0.41753554]],0.023223660626251252,34.35634383023896,0.0,2.8718
0.008423556018333556,8.144049216472954,8,0.0,3.259125280939462,0.0,0.0,[[-0.00842356]],3.3225146561001053,20,3.2591252753933997,98.81929000737826,0.7495593594065832,500.0,[[0.41753554]],0.7940444692265309,0.0050001,1455.8947368421052,0,0.7495593594065832,1.0,[[0.40911199]],0.49627254596359727,34.689728798805795,0.0,2.9194
0.003670885326217732,8.130729311337214,9,0.0,3.2489264560055746,0.0,0.0,[[0.00367089]],3.3041911264332153,20,3.2489264495580636,94.00536319939043,0.7484556625944493,500.0,[[0.40911199]],0.7931089719014861,0.0050001,1460.2105263157894,0,0.7484556625944493,1.0,[[0.41278287]],0.21663816908205558,34.51330743357003,0.0,2.911
0.0012843394474079117,8.103675992037221,10,0.0,3.211549927105895,0.0,0.0,[[-0.00128434]],3.2922218880263827,20,3.2115499200346713,67.5495919189824,0.7477283385137947,500.0,[[0.41278287]],0.7924923386278704,0.0050001,1440.0,0,0.7477283385137947,1.0,[[0.41149853]],0.075728879795812,34.39788471298181,0.0,2.8748
0.0042314575061431214,8.145819227989861,11,0.0,3.2686252262453332,0.0,0.0,[[-0.00423146]],3.327893243480025,20,3.268625220911594,102.64167291792639,0.7498469667173868,500.0,[[0.41149853]],0.7942882009392686,0.0050001,1465.0526315789473,0,0.7498469667173868,1.0,[[0.40726707]],0.2500106422890829,34.735955269267684,0.0,2.9284
0.009199041402494612,8.09851605283651,12,0.0,3.2014309581379274,0.0,0.0,[[0.00919904]],3.276415352179879,20,3.2014309502683513,84.30770708354136,0.7468041019353443,500.0,[[0.40726707]],0.7917085876854189,0.0050001,1430.0,0,0.7468041019353443,1.0,[[0.41646612]],0.5425355402685694,34.25216188800716,0.0,2.8662
0.013867588754660876,8.039356971927297,13,0.0,3.134669359146635,0.0,0.0,[[0.01386759]],3.2030292599350387,20,3.134669428049847,97.3659743647077,0.7422820880314438,500.0,[[0.41646612]],0.7878711258221458,0.0050001,1407.157894736842,0,0.7422820880314438,1.0,[[0.4303337]],0.8115469709327048,33.55412669971027,0.0,2.8066
0.0024693086503987383,8.015806725154185,14,0.0,3.1271304345491617,0.0,0.0,[[0.00246931]],3.1796474710256795,20,3.1271304967708016,78.03529281810735,0.7407319299541023,500.0,[[0.4303337]],0.7865545588941295,0.0050001,1404.421052631579,0,0.7407319299541023,1.0,[[0.43280301]],0.14380977820607654,33.32039534780055,0.0,2.8014
0.008068940062876118,8.060626115281584,15,0.0,3.1820636848387416,0.0,0.0,[[-0.00806894]],3.228184852204099,20,3.1820637605538753,76.1641324328721,0.7437717636954182,500.0,[[0.43280301]],0.7891358063069156,0.0050001,1425.157894736842,0,0.7437717636954182,1.0,[[0.42473407]],0.4705823273328331,33.781380234136265,0.0,2.8516
0.00813951685728398,8.022537599902073,16,0.0,3.127170022498779,0.0,0.0,[[0.00813952]],3.183896826217835,20,3.1271700859653997,78.39865451951911,0.7410341033929484,500.0,[[0.42473407]],0.7868112414451528,0.0050001,1403.578947368421,0,0.7410341033929484,1.0,[[0.43287359]],0.47501335262888844,33.36573910978473,0.0,2.801
0.0022679107240172747,8.017548054878649,17,0.0,3.117787219193105,0.0,0.0,[[-0.00226791]],3.190285096978011,20,3.1177872844896592,85.01692841042595,0.7414302463551468,500.0,[[0.43287359]],0.7871477151115193,0.0050001,1385.2631578947369,0,0.7414302463551468,1.0,[[0.43060568]],0.13176039049984078,33.42534295993401,0.0,2.791
0.0022015575911907836,8.038235361486466,18,0.0,3.1417040485978394,0.0,0.0,[[-0.00220156]],3.2077882972540444,20,3.141704118828441,70.67964479512932,0.7425415832469524,500.0,[[0.43060568]],0.788091464310207,0.0050001,1405.578947368421,0,0.7425415832469524,1.0,[[0.42840412]],0.1278075268451846,33.5935257723483,0.0,2.8132
0.4284040477867785,8.044514479132495,19,0.0,3.1346481504881347,0.0,0.0,[[-0.42840405]],3.2046402356582866,20,3.1346482198291072,64.14474628879822,0.7424111251827854,500.0,[[0.42840412]],0.787980693739939,0.0050001,1396.6315789473683,0,0.7424111251827854,1.0,[[7.42497609e-08]],8.068329295527754,33.57370853062585,0.0,2.8064
