RewardStd,DualAfter,WeightMean,WeightMin,ConfortViolation,TimestepsMean,ITERATIONS,WeightMax,Wins,DualReg,LossReg,Traj,Epsilon,ReturnsStd,WeightMedian,ReturnsMean,NormDeltaVar,TimestepsStd,OmegaBefore,Primal,NormDeltaOmega,Omega,DeltaOmega,RewardMean,Eta,DualBefore
2.4314207833281345,4.209944431416696,0.11840460737143031,0.11840460737143031,0,500.0,0,1.0,0.0,0.0,0.0,100,0.2201,53.728365615445334,0.18142406001674155,1172.989898989899,30.937600336233476,0.0,[[0.8]],4.209944433653297,0.48553734747477184,[[0.31446265]],[[-0.48553735]],2.34588,4.686809478417839,6.739259912706781
3.858507194032428,6.312677000028968,0.2086229457113586,0.2086229457113586,0,500.0,1,1.0,0.0,0.0,0.0,100,0.2201,103.16405261951645,0.2854234548105296,1792.080808080808,11.057780334148614,0.0,[[0.31446265]],6.312676451766204,0.1398643547895774,[[0.1745983]],[[-0.13986435]],3.58344,6.380697649048149,8.818103470740546
4.450200324659553,8.263077520468174,0.18536785530566974,0.18536785530566974,0,500.0,2,1.0,0.0,0.0,0.0,100,0.2201,117.76801248564874,0.2596734453251393,2709.373737373737,14.932056622198576,0.0,[[0.1745983]],8.263077530224777,0.10537141279020693,[[0.06922688]],[[-0.10537141]],5.42052,5.933263760718657,9.475041441066436
3.895665291371937,9.849178802795848,0.03479447344615844,0.03479447344615844,0,500.0,3,1.0,0.0,0.0,0.0,100,0.2201,128.56504072635647,1.0,3883.3333333333335,35.995244832147115,0.0,[[0.06922688]],9.84918199187008,0.06327627630225395,[[0.00595061]],[[-0.06327628]],7.76876,2.9776999628453176,9.931029537655418
1.4742979015110886,10.001315951260214,0.0,0.0,0,500.0,4,1.0,0.0,0.0,0.0,100,0.2201,40.49622816336908,1.0,4879.070707070707,213.62540885295658,0.0,[[0.00595061]],10.000000000002235,0.005950606725360913,[[1.91782902e-09]],[[-0.00595061]],9.75676,0.006821447662758213,10.192918751872227
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,5,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,6,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,7,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,8,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,9,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,10,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,11,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,12,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,13,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,14,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,15,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
0.4467661580737735,10.001466299667534,0.0,0.0,0,500.0,16,1.0,0.0,0.0,0.0,100,0.2201,0.0,1.0,4990.0,0.0,0.0,[[1.91782902e-09]],9.999999999997792,0.0,[[1.91782902e-09]],[[0.]],9.98,0.006723123024919971,10.218098088311146
