ITERATIONS,DeltaOmega,Epsilon,LossReg,Traj,WeightMedian,DualBefore,DualReg,OmegaBefore,NormDeltaVar,WeightMin,WeightMax,Omega,TimestepsStd,ReturnsStd,Eta,NormDeltaOmega,ConfortViolation,DualAfter,Primal,RewardStd,ReturnsMean,RewardMean,TimestepsMean,Wins,WeightMean
0,[[-0.415892]],0.0901,0.0,100,0.3120792882876181,6.601731899829888,0.0,[[0.8]],26.549174865242893,0.23325511904019167,1.0,[[0.384108]],0.0,57.66571034485377,6.869913077519639,0.4158920045012185,0,3.4841273828781025,3.48412738677164,2.428735387480489,1171.7171717171718,2.34276,500.0,0.0,0.23325511904019167
1,[[-0.1010971]],0.0901,0.0,100,0.4221074816149806,8.355414150628683,0.0,[[0.384108]],6.5346770373071275,0.34023486276519543,1.0,[[0.28301089]],0.0,82.81369667084168,9.27541284585367,0.10109710496197649,0,4.666514933012127,4.666514522004112,3.4716611445243326,1539.8181818181818,3.08324,500.0,0.0,0.34023486276519543
2,[[-0.08775262]],0.0901,0.0,100,0.45290710335127576,8.859859153346244,0.0,[[0.28301089]],6.951756790956869,0.37154499484158027,1.0,[[0.19525827]],0.0,113.9763998934882,10.100139800611965,0.08775262015652066,0,5.7385680617298895,5.738568210632393,4.059795865607039,1977.1919191919192,3.95464,500.0,0.0,0.37154499484158027
3,[[-0.07047883]],0.0901,0.0,100,0.4552028531690463,9.248107467429762,0.0,[[0.19525827]],7.596142857929905,0.3739006493506633,1.0,[[0.12477944]],0.0,122.12986242349609,10.165027593480493,0.07047883290334395,0,6.9252058713484566,6.925206243864209,4.407620128640851,2531.3535353535353,5.06004,500.0,0.0,0.3739006493506633
4,[[-0.05862299]],0.0901,0.0,100,1.0,9.566013467449947,0.0,[[0.12477944]],9.990834128170036,0.3357404725294767,1.0,[[0.06615644]],0.0,142.92394607552583,9.162402311093228,0.058622994216553856,0,8.19029388294753,8.190294173397728,4.389540335661583,3208.242424242424,6.41696,500.0,0.0,0.3357404725294767
5,[[-0.04212428]],0.0901,0.0,100,1.0,9.814182482932129,0.0,[[0.06615644]],15.096429933093631,0.2293826565273675,1.0,[[0.02403216]],0.0,114.8705059598658,6.791800239692982,0.04212428396574114,0,9.304543971839246,9.304543975304778,3.8466921686040854,3928.282828282828,7.8544,500.0,0.0,0.2293826565273675
6,[[-0.02324474]],0.0901,0.0,100,1.0,9.989268502581027,0.0,[[0.02403216]],49.1703081046797,0.012310246086446857,1.0,[[0.00078742]],0.0,79.36891167449531,2.2741106823701154,0.02324473713059027,0,9.980748029909847,9.980747860554985,2.6651738807064724,4568.989898989899,9.13816,500.0,0.0,0.012310246086446857
7,[[-0.00078742]],0.0901,0.0,100,1.0,10.085088123597034,0.0,[[0.00078742]],183.76901369869597,0.0,1.0,[[2.04107489e-09]],0.0,15.209827184265002,0.009626583230254147,0.0007874201229802968,0,10.000819101497985,10.000000000000213,0.6661764030645335,4976.545454545455,9.953,500.0,0.0,0.0
8,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
9,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
10,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
11,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
12,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
13,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
14,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
15,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
16,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
17,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
18,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
19,[[0.]],0.0901,0.0,100,1.0,10.088098088311146,0.0,[[2.04107489e-09]],0.0,0.0,1.0,[[2.04107489e-09]],0.0,0.0,0.009608731834721234,0.0,0,10.000846510031513,9.999999999997792,0.4467661580737735,4990.0,9.98,500.0,0.0,0.0
