ConfortViolation,RewardStd,TimestepsMean,ITERATIONS,DeltaOmega,ReturnsStd,Traj,WeightMedian,DualReg,LossReg,DualAfter,Eta,NormDeltaVar,WeightMin,Omega,Wins,WeightMean,NormDeltaOmega,Epsilon,RewardMean,DualBefore,Primal,OmegaBefore,ReturnsMean,WeightMax,TimestepsStd
0,2.4185159866331256,500.0,0,[[-0.59197043]],63.78952867816753,100,0.07294102947012894,0.0,0.0,5.524399170535504,3.0556463997668466,38.90197411925741,0.03790660245869278,[[0.20802957]],0.0,0.03790660245869278,0.5919704308436939,0.5801,2.33832,7.093699038957122,5.52439957275732,[[0.8]],1169.3131313131314,1.0,0.0
0,4.371068495642684,500.0,1,[[-0.17791017]],122.66366560521577,100,0.07438667060882169,0.0,0.0,9.295278402687261,3.078724709112771,30.50227985845122,0.03884802113130808,[[0.0301194]],0.0,0.03884802113130808,0.17791016707336169,0.5801,4.84508,9.676143176116865,9.295278405935266,[[0.20802957]],2422.222222222222,1.0,0.0
0,2.9027397483067614,500.0,2,[[-0.0301194]],95.493537009852,100,1.0,0.0,0.0,10.002033225134287,0.004461613397781856,234.16469336865907,0.0,[[2.3625319e-09]],0.0,0.0,0.030119399720412582,0.5801,8.95244,10.455817220419341,9.99999999999827,[[0.0301194]],4476.545454545455,1.0,0.0
0,0.4467661580737735,500.0,3,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,4,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,5,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,6,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,7,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,8,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,9,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
