WeightMin,TimestepsStd,NormDeltaVar,WeightMean,OmegaBefore,Eta,ReturnsMean,WeightMax,Wins,DualAfter,Primal,NormDeltaOmega,LossReg,TimestepsMean,RewardMean,Epsilon,DualReg,WeightMedian,Traj,Omega,DualBefore,ReturnsStd,DeltaOmega,RewardStd,ConfortViolation,ITERATIONS
0.0009298057890001068,0.0,36.82813970764177,0.0009298057890001068,[[0.8]],1.43255499099334,1161.3131313131314,1.0,0.0,8.264713967546538,8.26471750656331,0.18137160463639568,0.0,500.0,2.32424,1.9001,0.0,0.003755898061705047,100,[[0.9813716]],8.375947055446785,57.26928178045735,[[0.1813716]],2.40439356645288,0,0
5.2114565195788114e-12,0.0,134.89138401441858,5.2114565195788114e-12,[[0.9813716]],0.38490907413342385,1457.0707070707072,1.0,0.0,8.218812590691762,8.218811425910063,0.018626890280626918,0.0,500.0,2.91356,1.9001,0.0,9.409516214184153e-10,100,[[0.99999849]],8.463367950459217,66.98609120296217,[[0.01862689]],2.939178137915427,0,1
0.0,0.0,74.82570245493699,0.0,[[0.99999849]],0.0042977996149008504,1508.2828282828282,1.0,0.0,8.00225440105525,7.999999999999681,1.4970880629627814e-06,0.0,500.0,3.01884,1.9001,0.0,0.0,100,[[0.99999999]],8.529755277475079,85.70893196314748,[[1.49708806e-06]],3.008967439903596,0,2
0.0,0.0,0.0,0.0,[[0.99999999]],0.004338808625846918,1494.5656565656566,1.0,0.0,8.002201446723015,8.00000000000018,0.0,0.0,500.0,2.98944,1.9001,0.0,0.0,100,[[0.99999999]],8.51270975449717,85.58959646212102,[[0.]],2.994215838312262,0,3
0.0,0.0,0.0,0.0,[[0.99999999]],0.004303606163898351,1507.171717171717,1.0,0.0,8.00224687498591,7.999999999999704,0.0,0.0,500.0,3.01408,1.9001,0.0,0.0,100,[[0.99999999]],8.5273132018974,77.69456390692777,[[0.]],3.0072116243457163,0,4
0.0,0.0,0.0,0.0,[[0.99999999]],0.004352557939668204,1490.8080808080808,1.0,0.0,8.00218382220365,7.999999999999708,0.0,0.0,500.0,2.98112,1.9001,0.0,0.0,100,[[0.99999999]],8.507102160507795,79.19948943408494,[[0.]],2.9885052360000977,0,5
0.0,0.0,0.0,0.0,[[0.99999999]],0.004294087371369051,1510.909090909091,1.0,0.0,8.00225924556316,7.999999999999385,0.0,0.0,500.0,3.02088,1.9001,0.0,0.0,100,[[0.99999999]],8.531323308485296,74.6954883373918,[[0.]],3.0107879409882052,0,6
0.0,0.0,0.0,0.0,[[0.99999999]],0.004343121234200657,1491.8181818181818,1.0,0.0,8.002195934925092,7.999999999999798,0.0,0.0,500.0,2.98564,1.9001,0.0,0.0,100,[[0.99999999]],8.510945659085106,78.56700976209315,[[0.]],2.993211283955745,0,7
0.0,0.0,0.0,0.0,[[0.99999999]],0.004317649763449281,1499.5555555555557,1.0,0.0,8.00222878273963,7.999999999999662,0.0,0.0,500.0,3.00028,1.9001,0.0,0.0,100,[[0.99999999]],8.521449139295445,68.7778185734446,[[0.]],3.004609778590225,0,8
0.0,0.0,0.0,0.0,[[0.99999999]],0.004314970393703488,1502.6060606060605,1.0,0.0,8.002232218146133,8.000000000000133,0.0,0.0,500.0,3.00336,1.9001,0.0,0.0,100,[[0.99999999]],8.522563190874662,82.55048264844535,[[0.]],3.004794287534506,0,9
0.0,0.0,0.0,0.0,[[0.99999999]],0.004317039759547404,1502.2626262626263,1.0,0.0,8.002229501339094,8.000000000000306,0.0,0.0,500.0,3.00364,1.9001,0.0,0.0,100,[[0.99999999]],8.521699451965306,80.41892659516729,[[0.]],3.002849771533701,0,10
0.0,0.0,0.0,0.0,[[0.99999999]],0.00433884544532226,1493.111111111111,1.0,0.0,8.002201465404667,8.00000000000018,0.0,0.0,500.0,2.9864,1.9001,0.0,0.0,100,[[0.99999999]],8.512696708923107,71.5605117801723,[[0.]],2.9962334755489266,0,11
0.0,0.0,0.0,0.0,[[0.99999999]],0.004334723447032434,1496.20202020202,1.0,0.0,8.002206697017572,8.000000000000147,0.0,0.0,500.0,2.99204,1.9001,0.0,0.0,100,[[0.99999999]],8.514386364727942,81.67464151513525,[[0.]],2.9958532404642257,0,12
0.0,0.0,0.0,0.0,[[0.99999999]],0.004348601582620347,1492.080808080808,1.0,0.0,8.002188873742208,8.000000000000085,0.0,0.0,500.0,2.98404,1.9001,0.0,0.0,100,[[0.99999999]],8.50870988036322,87.57607679971645,[[0.]],2.989780138806197,0,13
0.0,0.0,0.0,0.0,[[0.99999999]],0.004284684952519363,1513.3535353535353,1.0,0.0,8.002271531372292,7.999999999999613,0.0,0.0,500.0,3.02648,1.9001,0.0,0.0,100,[[0.99999999]],8.535312363890776,82.12472814170991,[[0.]],3.0151515400722397,0,14
0.0,0.0,0.0,0.0,[[0.99999999]],0.004297880335618946,1507.2929292929293,1.0,0.0,8.00225444339712,7.999999999999681,0.0,0.0,500.0,3.013,1.9001,0.0,0.0,100,[[0.99999999]],8.52973063965956,77.73683298495222,[[0.]],3.012877528211195,0,15
0.0,0.0,0.0,0.0,[[0.99999999]],0.004358343106584471,1488.4040404040404,1.0,0.0,8.002176478612471,7.999999999999495,0.0,0.0,500.0,2.97532,1.9001,0.0,0.0,100,[[0.99999999]],8.504759592154493,74.15025956647855,[[0.]],2.9876865460754076,0,16
0.0,0.0,0.0,0.0,[[0.99999999]],0.004386050862801769,1479.3535353535353,1.0,0.0,8.002141272707433,7.999999999999577,0.0,0.0,500.0,2.95988,1.9001,0.0,0.0,100,[[0.99999999]],8.49367047965063,81.24029864460687,[[0.]],2.975820959936938,0,17
0.0,0.0,0.0,0.0,[[0.99999999]],0.004292071367259715,1510.7272727272727,1.0,0.0,8.002261914025022,7.999999999999955,0.0,0.0,500.0,3.02064,1.9001,0.0,0.0,100,[[0.99999999]],8.532178946645534,77.07556546371802,[[0.]],3.012702107809533,0,18
0.0,0.0,0.0,0.0,[[0.99999999]],0.004316272774867748,1501.8181818181818,1.0,0.0,8.002230482586588,8.000000000000396,0.0,0.0,500.0,3.0046,1.9001,0.0,0.0,100,[[0.99999999]],8.522018139518588,77.75646566202563,[[0.]],3.002848454384603,0,19
