OmegaBefore,ReturnsStd,DeltaOmega,ITERATIONS,NormDeltaVar,RewardMean,Traj,ConfortViolation,Omega,NormDeltaOmega,Wins,RewardStd,ReturnsMean,TimestepsStd,TimestepsMean
8.0,80.46154447266731,-0.10000000148930699,0,0.31622776528715646,6.423649674923046,250,0,7.899999998510693,0.10000000148930699,0.0,1.3720479532006082,148.5918642803199,11.919504016526863,23.132
7.899999998510693,114.34588468739554,-0.09998398197694769,1,0.29848790129482744,6.5451944823872985,250,0,7.800016016533745,0.09998398197694769,0.0,1.2737135175763081,181.27570638419863,16.766263268838408,27.696
7.800016016533745,123.9056184585927,-0.09942029165394128,2,0.2900788514735425,6.651325362517886,250,0,7.700595724879804,0.09942029165394128,0.0,1.184487775092518,219.1478680442393,17.966003896248047,32.948
7.700595724879804,124.62539292504025,-0.0996219444027453,3,0.25405349077491196,6.73315973716929,250,0,7.600973780477059,0.0996219444027453,0.0,1.1777659397494102,229.76234287116486,17.87592302511957,34.124
7.600973780477059,140.7792820248634,-0.09899766118941233,4,0.24313565325736047,6.837096832712618,250,0,7.501976119287646,0.09899766118941233,0.0,1.1135886898732406,268.4791184269591,19.92717180133699,39.268
7.501976119287646,137.6689050714113,-0.0994775173431579,5,0.25402653415329396,6.929327143975779,250,0,7.4024986019444885,0.0994775173431579,0.0,1.084381441023663,294.0252093731802,19.263368760421944,42.432
7.4024986019444885,153.89583553445922,-0.09977074973618105,6,0.23530698462883626,7.011839925587566,250,0,7.3027278522083074,0.09977074973618105,0.0,1.0569663305869499,320.60936875756585,21.294877881781808,45.724
7.3027278522083074,162.48553000803508,-0.10044108498838078,7,0.2272035880010197,7.098169978716841,250,0,7.202286767219927,0.10044108498838078,0.0,1.0331180663331354,347.5831875178063,22.210965219908836,48.968
7.202286767219927,165.5998885653139,-0.10095270797632327,8,0.22685957137303478,7.181750395111313,250,0,7.101334059243603,0.10095270797632327,0.0,1.006354489871342,379.1676938602969,22.419865833675278,52.796
7.101334059243603,153.6416472603247,-0.10201469545542174,9,0.20743765300613454,7.248432903375835,250,0,6.999319363788182,0.10201469545542174,0.0,1.0243120611966767,376.1356802219788,20.585828523525596,51.892
6.999319363788182,173.45430427238378,-0.10305263417345589,10,0.19657614918641078,7.3241830253344595,250,0,6.896266729614726,0.10305263417345589,0.0,1.0136017488596691,396.1797082063915,22.992075504399338,54.092
6.896266729614726,187.24590961313532,-0.10401915842107101,11,0.2032028834262319,7.409881868246791,250,0,6.792247571193655,0.10401915842107101,0.0,0.9848705993331488,434.01160078695113,24.62155186010825,58.572
6.792247571193655,198.72349098476985,-0.10505085290872529,12,0.2248013854529505,7.484835051002967,250,0,6.6871967182849295,0.10505085290872529,0.0,0.9663624230372319,464.299287883816,25.87058128454017,62.032
6.6871967182849295,207.32009952920293,-0.10609088819883539,13,0.23961561504861706,7.563349375466041,250,0,6.581105830086094,0.10609088819883539,0.4,0.950309798643343,493.2513928703934,26.732178063150787,65.216
6.581105830086094,219.75909744165776,-0.1071443305683788,14,0.24845019377585376,7.643595719093998,250,0,6.473961499517715,0.1071443305683788,0.0,0.9184264220473131,546.7311145953555,28.087598971788243,71.528
6.473961499517715,193.53883122680142,-0.10821320062162876,15,0.2555341948855347,7.7100174072066965,250,0,6.3657482988960865,0.10821320062162876,0.0,0.9299700354347584,547.2878756331602,24.504851438031615,70.984
6.3657482988960865,231.11995865778897,-0.1092994468875439,16,0.2621285633911605,7.787193168846654,250,0,6.256448852008543,0.1092994468875439,0.4,0.8994543749217333,600.4860396361032,29.00226639419754,77.112
6.256448852008543,265.27840932919247,-0.11037346242104373,17,0.2723096754518242,7.865029787579371,250,0,6.146075389587499,0.11037346242104373,0.0,0.8601953988825278,679.4441932894068,33.033520187833446,86.388
6.146075389587499,298.96013132484296,-0.11137292770196883,18,0.2692265986661527,7.941994686551499,250,0,6.03470246188553,0.11137292770196883,2.0,0.8194227155931708,755.8237503297331,36.83460025573781,95.168
6.03470246188553,333.5059793301463,-0.11232034972854255,19,0.26778285797728024,8.031120970855914,250,0,5.9223821121569875,0.11232034972854255,6.800000000000001,0.7249071373504764,952.2339512724438,40.665137107847066,118.568
5.9223821121569875,363.0836511954576,-0.11346932857571801,20,0.2790315985305845,8.109683366193776,250,0,5.8089127835812695,0.11346932857571801,13.600000000000001,0.6615685307581832,1094.5477445684414,43.75914734087034,134.968
5.8089127835812695,368.00044180204856,-0.11468148211474194,21,0.2780753354688655,8.203014535323678,250,0,5.694231301466528,0.11468148211474194,24.8,0.5893110395507005,1241.9692127061462,43.81297506447149,151.404
5.694231301466528,318.70837077672815,-0.11588457187871892,22,0.28629605177368145,8.29130630408165,250,0,5.578346729587809,0.11588457187871892,42.0,0.49676284003561194,1399.108190975954,37.617741346338164,168.744
5.578346729587809,280.9304520229476,-0.11692846201047402,23,0.26575983665102293,8.359470859037232,250,0,5.461418267577335,0.11692846201047402,51.2,0.45264268030619687,1468.0568343806826,32.85636230625661,175.616
5.461418267577335,306.88797534463754,-0.11689137871843869,24,0.24098646393785703,8.413308658125494,250,0,5.344526888858896,0.11689137871843869,41.6,0.5069314557406428,1418.382880056061,35.71747829844655,168.588
5.344526888858896,319.88350045179766,-0.11695439245881101,25,0.23140749475847155,8.477852336299286,250,0,5.227572496400085,0.11695439245881101,47.199999999999996,0.48366597282990803,1445.5416461577186,36.9355375756195,170.508
