DualReg,RewardStd,LossReg,TimestepsMean,WeightMax,Omega,TimestepsStd,WeightMin,ReturnsMean,NormDeltaVar,WeightMedian,Epsilon,ReturnsStd,ITERATIONS,OmegaBefore,NormDeltaOmega,Wins,DeltaOmega,DualAfter,Traj,WeightMean,DualBefore,ConfortViolation,RewardMean,Eta,Primal
0.0,2.417084947121222,0.0,500.0,1.0,[[0.97348616]],0.0,0.0016068113192645726,1168.4242424242425,31.67032225776156,0.005817975740076236,1.7501,59.29026201561791,0,[[0.8]],0.1734861644396274,0.0,[[0.17348616]],8.059688879001415,100,0.0016068113192645726,8.23907736067564,0,2.33672,1.5543630041728023,8.059688995089468
0.0,2.889829060411705,0.0,500.0,1.0,[[0.99999799]],0.0,4.794940202997394e-10,1424.6262626262626,135.88533605326404,3.504503970910973e-08,1.7501,73.91540152770419,1,[[0.97348616]],0.026511821166987026,0.0,[[0.02651182]],8.156352360222854,100,4.794940202997394e-10,8.268757390561705,0,2.85004,0.4660203652460775,8.156352149889123
0.0,3.0048224256351657,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1500.0,74.82573159229159,0.0,1.7501,76.12854625930773,2,[[0.99999799]],2.0036930599154346e-06,0.0,[[2.00369306e-06]],8.001730188457154,100,0.0,8.370969435794791,0,2.99852,0.004730861011629338,7.999999999999816
0.0,3.0032761926935727,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1500.5454545454545,0.0,0.0,1.7501,80.06856565851277,3,[[0.99999999]],0.0,0.0,[[0.]],8.001733337257718,100,0.0,8.371856087027274,0,3.00348,0.004728120829572257,8.000000000000313
0.0,2.9988727898328738,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1497.3939393939395,0.0,0.0,1.7501,86.93964215138263,4,[[0.99999999]],0.0,0.0,[[0.]],8.001713664083887,100,0.0,8.366371764957599,0,2.99352,0.004745914784066027,8.00000000000041
0.0,2.9942024083885848,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1491.5151515151515,0.0,0.0,1.7501,79.70201620155669,5,[[0.99999999]],0.0,0.0,[[0.]],8.001690583997448,100,0.0,8.359972097620567,0,2.98124,0.00476699158798146,8.000000000000423
0.0,2.994634912238886,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1499.3939393939395,0.0,0.0,1.7501,94.38432267760075,6,[[0.99999999]],0.0,0.0,[[0.]],8.001712279456221,100,0.0,8.36599833675373,0,2.99868,0.004747354555163631,8.000000000000373
0.0,2.987889227130082,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1490.4444444444443,0.0,0.0,1.7501,76.06140823486741,7,[[0.99999999]],0.0,0.0,[[0.]],8.00167899169595,100,0.0,8.356782654468578,0,2.98108,0.004777883120704467,7.999999999999881
0.0,3.0077034226133397,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1505.6969696969697,0.0,0.0,1.7501,78.07241582037399,8,[[0.99999999]],0.0,0.0,[[0.]],8.001749987256888,100,0.0,8.376517455358659,0,3.01096,0.0047131672985331755,7.9999999999997184
0.0,2.983971038733453,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1484.9292929292928,0.0,0.0,1.7501,81.84553726506486,9,[[0.99999999]],0.0,0.0,[[0.]],8.00165576318471,100,0.0,8.3503971412394,0,2.9678,0.0047994565244561145,7.999999999999456
0.0,2.9963015826848944,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1494.7878787878788,0.0,0.0,1.7501,90.99486862292004,10,[[0.99999999]],0.0,0.0,[[0.]],8.001705053357355,100,0.0,8.36398202250496,0,2.99016,0.004753789098009942,7.99999999999939
0.0,3.0044151574640945,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1503.6161616161617,0.0,0.0,1.7501,74.21055318112532,11,[[0.99999999]],0.0,0.0,[[0.]],8.00173956903583,100,0.0,8.373600037959676,0,3.00704,0.0047225305584180826,7.999999999999683
0.0,3.011616706289165,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1510.8080808080808,0.0,0.0,1.7501,83.97061496216867,12,[[0.99999999]],0.0,0.0,[[0.]],8.00176761020951,100,0.0,8.381475916564288,0,3.02012,0.004697500188831199,8.00000000000031
0.0,2.9982108731708648,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1501.090909090909,0.0,0.0,1.7501,77.61873809341374,13,[[0.99999999]],0.0,0.0,[[0.]],8.001724275722857,100,0.0,8.369335723020113,0,3.0034,0.0047364277307344145,7.999999999999947
0.0,2.995629092928562,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1494.020202020202,0.0,0.0,1.7501,87.73720860442599,14,[[0.99999999]],0.0,0.0,[[0.]],8.00170217189832,100,0.0,8.363182969929305,0,2.98876,0.0047564232580446664,7.999999999999589
0.0,2.996938123885777,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1494.5858585858587,0.0,0.0,1.7501,70.4767330473718,15,[[0.99999999]],0.0,0.0,[[0.]],8.00170475629515,100,0.0,8.363897602627418,0,2.98896,0.004754026731441484,7.9999999999995275
0.0,3.0076150296206463,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1501.3939393939395,0.0,0.0,1.7501,88.58047966347026,16,[[0.99999999]],0.0,0.0,[[0.]],8.001740949212065,100,0.0,8.373977258171816,0,3.00344,0.0047211749453122745,8.00000000000037
0.0,3.00887941931876,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1503.8181818181818,0.0,0.0,1.7501,83.25066974418783,17,[[0.99999999]],0.0,0.0,[[0.]],8.001749974477223,100,0.0,8.37651000624749,0,3.0092,0.004713132879595226,7.9999999999997184
0.0,2.9993580497166388,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1500.888888888889,0.0,0.0,1.7501,82.89763541471669,18,[[0.99999999]],0.0,0.0,[[0.]],8.001726261107544,100,0.0,8.369887350712862,0,3.00336,0.004734602095327474,7.999999999999565
0.0,3.016955922780444,0.0,500.0,1.0,[[0.99999999]],0.0,0.0,1513.090909090909,0.0,0.0,1.7501,90.85598448839445,19,[[0.99999999]],0.0,0.0,[[0.]],8.001784222572976,100,0.0,8.386165267800399,0,3.0264,0.0046827939226484015,7.999999999999734
