Primal,WeightMedian,WeightMean,NormDeltaOmega,WeightMax,Omega,ConfortViolation,OmegaBefore,LossReg,DualBefore,TimestepsStd,Wins,TimestepsMean,RewardStd,Epsilon,Traj,DualAfter,RewardMean,WeightMin,ReturnsStd,NormDeltaVar,ITERATIONS,Eta,DualReg,ReturnsMean,DeltaOmega
8.286004358683387,0.0034775431670233687,0.0008444825151927861,0.18258009364223626,1.0,[[0.98258009]],0,[[0.8]],0.0,8.386744266515164,0.0,0.0,500.0,2.4120273136098604,1.9101,100,8.28600341409764,2.33628,0.0008444825151927861,58.323319792945924,37.80391290994717,0,1.4130707437465873,0.0,1167.919191919192,[[0.18258009]]
8.183097177758935,4.31822534971009e-11,1.106959236028063e-13,0.017417168691281515,1.0,[[0.99999726]],0,[[0.98258009]],0.0,8.45797382832397,0.0,0.0,500.0,2.9257444591078015,1.9101,100,8.183097470850214,2.8956,1.106959236028063e-13,69.10791922450612,125.36905209623774,1,0.33521063153789477,0.0,1448.7878787878788,[[0.01741717]]
7.99999999999983,0.0,0.0,2.730393638961104e-06,1.0,[[0.99999999]],0,[[0.99999726]],0.0,8.522630548763964,0.0,0.0,500.0,2.99402894601906,1.9101,100,8.002232025060291,2.98948,0.0,79.34322280704012,84.72452315453887,2,0.004314721471794784,0.0,1495.1919191919192,[[2.73039364e-06]]
7.999999999999745,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.536688064091384,0.0,0.0,500.0,3.005800406148086,1.9101,100,8.00227534292487,3.01428,0.0,78.3414391210865,0.0,3,0.0042813358958088,0.0,1507.5151515151515,[[0.]]
7.9999999999994715,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.544753734586733,0.0,0.0,500.0,3.0164811178590196,1.9101,100,8.002300073033402,3.02284,0.0,82.07014452021653,0.0,4,0.004262550018567832,0.0,1511.919191919192,[[0.]]
7.9999999999996785,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.526143550846745,0.0,0.0,500.0,2.9969819803262086,1.9101,100,8.00224290214949,2.99564,0.0,69.11777491723264,0.0,5,0.004306306675988323,0.0,1498.3838383838383,[[0.]]
7.999999999999394,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.5257299929525,0.0,0.0,500.0,2.9989742790494223,1.9101,100,8.002241694834282,2.99144,0.0,74.4921273219917,0.0,6,0.004307307113944183,0.0,1497.3535353535353,[[0.]]
7.999999999999632,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.51362846217922,0.0,0.0,500.0,2.9870230453747753,1.9101,100,8.002204011399943,2.97292,0.0,75.35924911313285,0.0,7,0.004336511976185617,0.0,1486.4646464646464,[[0.]]
7.999999999999699,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.53082917743724,0.0,0.0,500.0,3.0018116940274586,1.9101,100,8.00225738377602,3.00256,0.0,91.08121079846399,0.0,8,0.004295163636237474,0.0,1501.030303030303,[[0.]]
7.999999999999795,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.527581921489059,0.0,0.0,500.0,2.9974388203264466,1.9101,100,8.002247322777107,2.99928,0.0,74.71843825867022,0.0,9,0.004302871045133612,0.0,1499.2323232323233,[[0.]]
8.000000000000492,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.525336808267472,0.0,0.0,500.0,2.997775281504603,1.9101,100,8.002240452172964,2.99204,0.0,76.64891930703014,0.0,10,0.004308242462042054,0.0,1496.6464646464647,[[0.]]
7.99999999999985,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.521735676170639,0.0,0.0,500.0,2.9955567712196673,1.9101,100,8.00222931797362,2.98452,0.0,83.64901578044196,0.0,11,0.004316883142345716,0.0,1491.5353535353536,[[0.]]
7.999999999999741,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.540613100807033,0.0,0.0,500.0,3.010748504940258,1.9101,100,8.002287391719404,3.0188,0.0,75.94010065748256,0.0,12,0.0042721610312594655,0.0,1509.8989898989898,[[0.]]
8.000000000000563,0.0,0.0,0.0,1.0,[[0.99999999]],0,[[0.99999999]],0.0,8.522482935009776,0.0,0.0,500.0,2.9919788223849446,1.9101,100,8.002231508859508,2.99208,0.0,78.94764428214584,0.0,13,0.004315067049550165,0.0,1495.4343434343434,[[0.]]
