NormDeltaOmega,ReturnsMean,WeightMax,TimestepsMean,DeltaOmega,RewardStd,Traj,ITERATIONS,DualReg,NormDeltaVar,Wins,DualAfter,Eta,LossReg,ReturnsStd,OmegaBefore,DualBefore,Primal,WeightMedian,Epsilon,Omega,TimestepsStd,ConfortViolation,WeightMean,WeightMin,RewardMean
0.0002940967255762317,146.07138212735964,1.0,22.766689450899978,-0.0002940967255762317,1.3812818841297894,4393,0,0.0,0.007969772916589454,0.0,6.475958912926885,28.79989411391292,0.0,80.85728566762732,8.0,6.676087413285709,6.4759589979373615,0.9849139113575118,0.001,7.999705903274424,11.997465840849546,0,0.7797387460178987,0.7797387460178987,6.416249240456679
8.716229326388714e-05,145.56623411540417,1.0,22.690962761126247,-8.716229326388714e-05,1.3836886662391898,4408,1,0.0,0.09478793674392982,0.0,6.475158857761426,28.854549090830005,0.0,81.87647492454788,7.999705903274424,6.676130430373324,6.475158944551836,0.9868393733187594,0.001,7.99961874098116,12.144998936348967,0,0.7815853033145673,0.7815853033145673,6.415340753344144
7.365337049680676e-05,147.78932267212477,1.0,23.02464302164901,7.365337049680676e-05,1.3743506834599564,4346,2,0.0,0.04080042619146839,0.0,6.478104816851723,28.6431668301639,0.0,83.24438813716957,7.99961874098116,6.67597342556215,6.478104907157166,0.9859518368474699,0.001,7.999692394351657,12.352719283542088,0,0.7795610684951922,0.7795610684951922,6.418706764094959
7.193916903780462e-05,148.36964136006608,1.0,23.112627197039778,7.193916903780462e-05,1.3715299228099478,4328,3,0.0,0.01340101443950321,0.0,6.478788584031521,28.579257897322826,0.0,80.73976996290318,7.999692394351657,6.6756960372911935,6.478788673239064,0.9869000934591793,0.001,7.9997643335206945,11.986252441210398,0,0.7799345552737806,0.7799345552737806,6.4195174697026
6.402917682546416e-05,149.34199477447717,1.0,23.25977653631285,-6.402917682546416e-05,1.3673291205723235,4300,4,0.0,0.006187482063399015,0.0,6.479817189499473,28.484370631064888,0.0,83.52751377958309,7.9997643335206945,6.67537510246606,6.479817282789244,0.9867229653686002,0.001,7.999700304343869,12.399822877721018,0,0.7791857243924539,0.7791857243924539,6.420734838820679
0.0005156178000929046,150.7470410413282,1.0,23.464788732394368,-0.0005156178000929046,1.3620238945219565,4264,5,0.0,0.004822310764050226,0.0,6.483282507610677,28.363643231531153,0.0,82.64655975096755,7.999700304343869,6.677047144008242,6.483282602695764,0.9862803840233134,0.001,7.999184686543776,12.271476510733665,0,0.7780228611695452,0.7780228611695452,6.424439423320446
6.236958162819661e-05,150.1377757233799,1.0,23.370967741935484,-6.236958162819661e-05,1.3648820539110342,4282,6,0.0,0.006171561035050353,0.0,6.483075691050885,28.42790780695837,0.0,83.7163575761433,7.999184686543776,6.677704778037316,6.483075780218384,0.9865567532886276,0.001,7.999122316962148,12.42411537571155,0,0.7786298927163396,0.7786298927163396,6.424104463497363
0.00019322592456472165,149.05162060681047,1.0,23.21254355400697,-0.00019322592456472165,1.3689463902664494,4309,7,0.0,0.007165285176893019,0.0,6.480410071786345,28.520569401698015,0.0,84.01905484877159,7.999122316962148,6.67645979760105,6.480410162791024,0.9861554953172805,0.001,7.998929091037583,12.470942045602703,0,0.7789321996396207,0.7789321996396207,6.4212553757989905
0.0005075486036787424,150.75202637964546,1.0,23.465007045561297,-0.0005075486036787424,1.3618021455027007,4262,8,0.0,0.05411129603469896,0.0,6.483579026264829,28.358499844808943,0.0,83.65059442533534,7.998929091037583,6.677254003613713,6.4835791206309406,0.9871931948993803,0.001,7.9984215424339045,12.419333762947897,0,0.778701593678326,0.778701593678326,6.424746037557581
4.8964077560498254e-05,153.15805557049111,1.0,23.824272770624702,-4.8964077560498254e-05,1.352299640550125,4198,9,0.0,0.005149132980566072,0.0,6.487031174721038,28.143302050710535,0.0,87.85834124886316,7.9984215424339045,6.677608955398007,6.48703127569568,0.9862680149578463,0.001,7.998372578356344,13.047266416833226,0,0.7765644361423281,0.7765644361423281,6.428625722018936
0.0003663296024276619,155.59188657197595,1.0,24.17948717948718,-0.0003663296024276619,1.3433713812742416,4138,10,0.0,0.1561220025197369,0.0,6.492813980648296,27.939946421735748,0.0,89.22177615870504,7.998372578356344,6.680367469681735,6.492814082447506,0.983284514352274,0.001,7.998006248753916,13.242544255292007,0,0.772823124314445,0.772823124314445,6.434811361801504
0.00026127733335989944,151.28529076456363,1.0,23.543462897526503,-0.00026127733335989944,1.3600815371454404,4249,11,0.0,0.004747009777905202,0.0,6.484585214388778,28.319602487111773,0.0,84.24289953494882,7.998006248753916,6.677739814994408,6.484585313559356,0.9864889687084691,0.001,7.997744971420556,12.505671091361927,0,0.777868236678067,0.777868236678067,6.425829576346758
0.0007575878530001745,157.07851129612604,1.0,24.403564453125,-0.0007575878530001745,1.3372292494883407,4100,12,0.0,0.008708122114420467,0.0,6.494536304155491,27.801334141234403,0.0,91.53310635409474,7.997744971420556,6.6802076055857125,6.494536417832887,0.9867084651098197,0.001,7.996987383567556,13.59215065985876,0,0.7745871125656187,0.7745871125656187,6.436809556959012
0.0005603488374568144,155.7877623442275,1.0,24.208333333333332,-0.0005603488374568144,1.3424168365567084,4132,13,0.0,0.02065339675844022,0.0,6.493354910148605,27.918404078870736,0.0,89.41047167716933,7.996987383567556,6.680631270590035,6.493355015291198,0.9842236396980891,0.001,7.996427034730099,13.27535997604359,0,0.7733976876505442,0.7733976876505442,6.435395167099423
