ConfortViolation,TimestepsMean,NormDeltaOmega,Omega,RewardMean,RewardStd,Wins,DeltaOmega,ReturnsStd,ReturnsMean,Traj,TimestepsStd,NormDeltaVar,OmegaBefore,ITERATIONS,Theta
0,500.0,0.011318786355633548,0.7886812136443665,2.3104,2.3902409585646383,0.0,-0.011318786355633548,53.819698995813795,1155.2,20,0.0,0.9899999094325516,0.8,0,0.1891420821768265
0,500.0,0.011560025270449414,0.7771211883739171,2.3478,2.4277222163995615,0.0,-0.011560025270449414,52.70474361952632,1173.9,20,0.0,0.8882603539440233,0.7886812136443665,1,0.17978975260269048
0,500.0,0.002903834489053514,0.7800250228629706,2.3508,2.4267136955149864,0.0,0.002903834489053514,46.66519045284183,1175.4,20,0.0,0.6582672009854704,0.7771211883739171,2,0.17309470729833742
0,500.0,0.0010813970831362596,0.7789436257798343,2.3102,2.3664690912834674,0.0,-0.0010813970831362596,45.687963403942625,1155.1,20,0.0,0.7269283343685693,0.7800250228629706,3,0.1659320831635221
0,500.0,0.005020009630241962,0.7839636354100763,2.3672,2.4513596553749513,0.0,0.005020009630241962,73.4917682465186,1183.6,20,0.0,0.4407265572783956,0.7789436257798343,4,0.16170625438530697
0,500.0,1.306456280381063e-06,0.7839649418663567,2.3402,2.4117761007191363,0.0,1.306456280381063e-06,51.476110964213284,1170.1,20,0.0,0.5875862566903542,0.7839636354100763,5,0.15620792121016863
0,500.0,0.0030162534919316863,0.7869811953582884,2.377,2.466388250053101,0.0,0.0030162534919316863,54.09944546850735,1188.5,20,0.0,0.5277636414453859,0.7839649418663567,6,0.1514001249905271
0,500.0,0.0024661185045080636,0.7894473138627964,2.3624,2.428469938047412,0.0,0.0024661185045080636,60.937344871597425,1181.2,20,0.0,0.596043954256313,0.7869811953582884,7,0.14611722654014356
0,500.0,0.002618298080475201,0.7920656119432716,2.3866,2.4528637222642433,0.0,0.002618298080475201,75.50701954123205,1193.3,20,0.0,0.5355539979582993,0.7894473138627964,8,0.14150163846205824
0,500.0,0.003868367228535785,0.7959339791718074,2.3182,2.394315927357958,0.0,0.003868367228535785,41.76350081111496,1159.1,20,0.0,0.6288781643763137,0.7920656119432716,9,0.1362378781514928
0,500.0,0.005198867978801203,0.8011328471506086,2.3602,2.4405441934126086,0.0,0.005198867978801203,47.34754481491094,1180.1,20,0.0,0.5987247457768134,0.7959339791718074,10,0.13138070510523853
0,500.0,0.005689412563537388,0.806822259714146,2.428,2.5160317963014696,0.0,0.005689412563537388,67.80855403265875,1214.0,20,0.0,0.47731718044027716,0.8011328471506086,11,0.12761444774754854
0,500.0,0.004574796174468987,0.811397055888615,2.354,2.426908321300992,0.0,0.004574796174468987,61.065538563088104,1177.0,20,0.0,0.6114151164745785,0.806822259714146,12,0.12292512443646586
0,500.0,0.004642555707683349,0.8160396115962983,2.4662,2.5472843500481055,0.0,0.004642555707683349,59.19957770119648,1233.1,20,0.0,0.5714137724679809,0.811397055888615,13,0.1186772893455427
0,500.0,0.0038258662427544943,0.8198654778390528,2.4144,2.4856935933457285,0.0,0.0038258662427544943,62.335864476238726,1207.2,20,0.0,0.5685697358009207,0.8160396115962983,14,0.11457726632688817
0,500.0,0.004237492011449406,0.8241029698505022,2.4078,2.486865328078704,0.0,0.004237492011449406,72.76943039491239,1203.9,20,0.0,0.5813399994777804,0.8198654778390528,15,0.1105132108876242
