DeltaOmega,ReturnsMean,Omega,RewardMean,ReturnsStd,Traj,TimestepsStd,ITERATIONS,OmegaBefore,TimestepsMean,ConfortViolation,RewardStd,Wins,Theta,NormDeltaOmega,NormDeltaVar
0.010857918626574592,1184.5,0.8108579186265746,2.369,60.056223657502805,20,0.0,0,0.8,500.0,0,2.453943560883176,0.0,0.21131878792657122,0.010857918626574592,0.9899999848503249
0.00752292602164395,1168.1,0.8183808446482186,2.3362,56.07664397946795,20,0.0,1,0.8108579186265746,500.0,0,2.4219350858352917,0.0,0.2199599592518365,0.00752292602164395,0.7299233701251744
0.0067100312258346895,1169.2,0.8250908758740533,2.3384,62.68779785572309,20,0.0,2,0.8183808446482186,500.0,0,2.415095327311119,0.0,0.2259880655778121,0.0067100312258346895,0.49706606215362825
0.0073141175383897306,1174.7,0.832404993412443,2.3494,52.07024102114374,20,0.0,3,0.8250908758740533,500.0,0,2.4327596757591983,0.0,0.2332377195122166,0.0073141175383897306,0.5855210234888482
0.0056306070413739695,1154.3,0.838035600453817,2.3086,48.36641396671869,20,0.0,4,0.832404993412443,500.0,0,2.376124163422442,0.0,0.23533319029718397,0.0056306070413739695,0.16686821744559666
0.005443574617238878,1153.2,0.8434791750710559,2.3064,46.209955637286654,20,0.0,5,0.838035600453817,500.0,0,2.363158699706814,0.0,0.23589597880088656,0.005443574617238878,0.044640883157885725
-0.00010216328936096808,1173.9,0.8433770117816949,2.3478,52.74646907613817,20,0.0,6,0.8434791750710559,500.0,0,2.4280517210306702,0.0,0.23178369833967408,0.00010216328936096808,0.32791058595892864
0.0003604286257733458,1176.5,0.8437374404074682,2.353,58.504273348192264,20,0.0,7,0.8433770117816949,500.0,0,2.4228477046649055,0.0,0.22777946198167992,0.0003604286257733458,0.32322224500637375
-0.0002934912703110859,1172.1,0.8434439491371571,2.3442,49.82960967135905,20,0.0,8,0.8437374404074682,500.0,0,2.426752224682199,0.0,0.2226297521957188,0.0002934912703110859,0.4216338185570372
1.6548158641938038e-05,1184.1,0.8434604972957991,2.3682,61.697568833787926,20,0.0,9,0.8434439491371571,500.0,0,2.4403337394708946,0.0,0.21796515251799348,1.6548158641938038e-05,0.38796348103232603
0.002824605052989093,1201.2,0.8462851023487882,2.4024,60.581845465452766,20,0.0,10,0.8434604972957991,500.0,0,2.4821914188877536,0.0,0.21493341152684733,0.002824605052989093,0.2553738794900191
0.0030923069809184467,1189.8,0.8493774093297066,2.3796,49.50111109864101,20,0.0,11,0.8462851023487882,500.0,0,2.451918399947274,0.0,0.2134931462798275,0.0030923069809184467,0.12223474722356897
0.003565202509856813,1172.0,0.8529426118395634,2.344,48.879443532020694,20,0.0,12,0.8493774093297066,500.0,0,2.4040099833403357,0.0,0.21204176903745792,0.003565202509856813,0.12378709700196211
0.0038233228203531366,1156.6,0.8567659346599166,2.3132,57.285600284888346,20,0.0,13,0.8529426118395634,500.0,0,2.3732479347931603,0.0,0.2104339735203571,0.0038233228203531366,0.13785312836954589
0.004349290827033059,1176.3,0.8611152254869496,2.3526,56.342790133254844,20,0.0,14,0.8567659346599166,500.0,0,2.420428317467799,0.0,0.20945123872268723,0.004349290827033059,0.08464078969619138
0.002485098827695653,1228.1,0.8636003243146453,2.4562,70.55345491186097,20,0.0,15,0.8611152254869496,500.0,0,2.5259219227838376,0.0,0.20784935985494316,0.002485098827695653,0.13859446830472777
0.003577567423243777,1182.9,0.8671778917378891,2.3658,50.897838853923844,20,0.0,16,0.8636003243146453,500.0,0,2.4380710325993378,0.0,0.20612497068960442,0.003577567423243777,0.15007751831437943
0.0042577332986555305,1189.0,0.8714356250365446,2.378,57.290487866660726,20,0.0,17,0.8671778917378891,500.0,0,2.4462861647812177,0.0,0.2055331404655029,0.0042577332986555305,0.05172239978724491
0.0029114655125923594,1201.7,0.874347090549137,2.4034,67.86243438014878,20,0.0,18,0.8714356250365446,500.0,0,2.4871004081057926,0.0,0.20383211822583314,0.0029114655125923594,0.1492768692869859
0.003188592483993946,1215.9,0.8775356830331309,2.4318,65.24254746712455,20,0.0,19,0.874347090549137,500.0,0,2.505902783429556,0.0,0.20226398639188314,0.003188592483993946,0.13843799977182414
0.0025522532479883564,1187.8,0.8800879362811193,2.3756,49.103564025435055,20,0.0,20,0.8775356830331309,500.0,0,2.4597001118022495,0.0,0.19984371899891734,0.0025522532479883564,0.2152482653377774
0.0019833621720267702,1197.9,0.882071298453146,2.3958,43.48551482965333,20,0.0,21,0.8800879362811193,500.0,0,2.4697656488015216,0.0,0.19789801691957692,0.0019833621720267702,0.17446464337987777
0.0022316036983338616,1200.8,0.8843029021514799,2.4016,41.61442057748732,20,0.0,22,0.882071298453146,500.0,0,2.487793689195308,0.0,0.195640530321254,0.0022316036983338616,0.20404850988010992
0.003379423751184718,1201.9,0.8876823259026646,2.4038,63.791770629133666,20,0.0,23,0.8843029021514799,500.0,0,2.468794353525623,0.0,0.19376903251452618,0.003379423751184718,0.1705148769636935
0.004028106954072297,1226.5,0.8917104328567369,2.453,46.090671507366864,20,0.0,24,0.8876823259026646,500.0,0,2.5325068608001833,0.0,0.19263102970958051,0.004028106954072297,0.10429734536860735
