RewardMean,Omega,RewardStd,Traj,ConfortViolation,OmegaBefore,ITERATIONS,TimestepsMean,TimestepsStd,Wins,NormDeltaOmega,ReturnsMean,ReturnsStd,NormDeltaVar,DeltaOmega,Theta
2.3892,0.7886812124041238,2.472189992698781,20,0,0.8,0,500.0,0.0,0.0,0.011318787595876234,1194.6,63.52983551056937,0.9899999706153828,-0.011318787595876234,0.18914208151998502
2.3228,0.7781331873602054,2.4110993675085233,20,0,0.7886812124041238,1,500.0,0.0,0.0,0.010548025043918385,1161.4,50.15216844763544,0.9836336446635485,-0.010548025043918385,0.17880735753582463
2.316,0.7739814837580139,2.3824659493894136,20,0,0.7781331873602054,2,500.0,0.0,0.0,0.0041517036021915255,1158.0,59.45418404115895,0.22068392297499173,-0.0041517036021915255,0.17655030822755713
2.343,0.7751864741190898,2.419163285104997,20,0,0.7739814837580139,3,500.0,0.0,0.0,0.0012049903610759083,1171.5,47.974472378547325,0.2845111039073309,0.0012049903610759083,0.1736735729148333
2.3482,0.7808458958598441,2.4066484496078773,20,0,0.7751864741190898,4,500.0,0.0,0.0,0.005659421740754289,1174.1,43.421077830933676,0.3806720549451228,0.005659421740754289,0.16988261641570462
2.3782,0.786988007867937,2.4500948471436774,20,0,0.7808458958598441,5,500.0,0.0,0.0,0.006142112008092893,1189.1,44.04304712437594,0.3081983411408764,0.006142112008092893,0.1668618439395807
2.3572,0.7947389994007903,2.4310508345158066,20,0,0.786988007867937,6,500.0,0.0,0.0,0.007750991532853302,1178.6,51.19804683774567,0.054146219976900056,0.007750991532853302,0.16633559443285556
2.3262,0.8011555820310243,2.3922361003880868,20,0,0.7947389994007903,7,500.0,0.0,0.0,0.006416582630234036,1163.1,64.99376893210611,0.14482836541974464,0.006416582630234036,0.16493453095133448
2.3734,0.8076508654115154,2.4482182173981144,20,0,0.8011555820310243,8,500.0,0.0,0.0,0.006495283380491101,1186.7,52.487236543754136,0.23580458380264702,0.006495283380491101,0.16267365227260783
2.3462,0.8139386485430263,2.4190381476942444,20,0,0.8076508654115154,9,500.0,0.0,0.0,0.0062877831315109045,1173.1,50.60227267623461,0.3114739867081404,0.0062877831315109045,0.1597256197980255
2.3634,0.8205973012488041,2.4609633154518984,20,0,0.8139386485430263,10,500.0,0.0,0.0,0.006658652705777812,1181.7,53.36768685262646,0.2951659615451696,0.006658652705777812,0.15697201252476242
2.3636,0.8280432967728654,2.4471606077247974,20,0,0.8205973012488041,11,500.0,0.0,0.0,0.007445995524061222,1181.8,54.00333323045902,0.04858052931459156,0.007445995524061222,0.15652252486984125
2.4232,0.8353338609443044,2.5085656778326535,20,0,0.8280432967728654,12,500.0,0.0,0.0,0.007290564171439029,1211.6,60.06196799972508,0.05904330437917338,0.007290564171439029,0.15597764304313388
2.3874,0.8429493860173284,2.461528232622978,20,0,0.8353338609443044,13,500.0,0.0,0.0,0.007615525073023988,1193.7,67.5611574797235,0.018903618965232738,0.007615525073023988,0.15615192682841297
2.385,0.8505240284429535,2.473575347548564,20,0,0.8429493860173284,14,500.0,0.0,0.0,0.007574642425625111,1192.5,56.596377975980054,0.08912170045469026,0.007574642425625111,0.15533164875841174
2.4244,0.8582368358976366,2.5021360154875674,20,0,0.8505240284429535,15,500.0,0.0,0.0,0.007712807454683057,1212.2,95.00084210153086,0.2241886344052304,0.007712807454683057,0.15328376079538694
2.4178,0.8656660070839066,2.5081154598622453,20,0,0.8582368358976366,16,500.0,0.0,0.0,0.007429171186270067,1208.9,56.364793976382096,0.0713383890771091,0.007429171186270067,0.15263676242078728
2.4098,0.8708053748184643,2.476381222671501,20,0,0.8656660070839066,17,500.0,0.0,0.0,0.005139367734557698,1204.9,45.753579094973546,0.0841248596596742,0.005139367734557698,0.15187667691930024
2.4202,0.8755905634595293,2.515359210927935,20,0,0.8708053748184643,18,500.0,0.0,0.0,0.00478518864106503,1210.1,60.93430889080469,0.03997863872664453,0.00478518864106503,0.1515165521797926
2.403,0.8810093736647919,2.4831413572328094,20,0,0.8755905634595293,19,500.0,0.0,0.0,0.005418810205262581,1201.5,51.27913805827863,0.12900528447016768,0.005418810205262581,0.1503592640404952
2.5192,0.886891991722506,2.5961570368527407,20,0,0.8810093736647919,20,500.0,0.0,0.0,0.005882618057714062,1259.6,71.91828696513842,0.10517602179546515,0.005882618057714062,0.1494211366187012
2.4492,0.8920255194943296,2.5390981391037255,20,0,0.886891991722506,21,500.0,0.0,0.0,0.005133527771823632,1224.6,64.56035935463804,0.14754253410756846,0.005133527771823632,0.14811325506872966
2.5018,0.8960530475646901,2.588705614781256,20,0,0.8920255194943296,22,500.0,0.0,0.0,0.004027528070360442,1250.9,68.61916641872007,0.26409998732289,0.004027528070360442,0.14579578656843462
2.45,0.9006175975755194,2.5433639141892375,20,0,0.8960530475646901,23,500.0,0.0,0.0,0.004564550010829338,1225.0,67.425514458549,0.1936240780252838,0.004564550010829338,0.14411590947367128
2.5174,0.904860492063628,2.6055128554662708,20,0,0.9006175975755194,24,500.0,0.0,0.0,0.004242894488108551,1258.7,47.346699990601245,0.30899449690807046,0.004242894488108551,0.14146845424934834
2.4732,0.9090804879241957,2.569218122308808,20,0,0.904860492063628,25,500.0,0.0,0.0,0.00421999586056776,1236.6,53.352038386550895,0.21006961378189004,0.00421999586056776,0.13969187043002787
2.4774,0.9137613450981082,2.5630624729022897,20,0,0.9090804879241957,26,500.0,0.0,0.0,0.004680857173912534,1238.7,59.07038174923199,0.016184803539541548,0.004680857173912534,0.13955577192979712
2.5046,0.9177087709937801,2.597879681586505,20,0,0.9137613450981082,27,500.0,0.0,0.0,0.003947425895671874,1252.3,69.97506698817801,0.1088796571250299,0.003947425895671874,0.13864308510898582
2.494,0.9218610782917311,2.591672047154115,20,0,0.9177087709937801,28,500.0,0.0,0.0,0.004152307297951019,1247.0,65.0061535548751,0.014093040833412118,0.004152307297951019,0.13876093764156852
2.4676,0.9238580094491576,2.5561983960561436,20,0,0.9218610782917311,29,500.0,0.0,0.0,0.001996931157426496,1233.8,63.930900197009585,0.06984376693376504,0.001996931157426496,0.13817769477446884
2.4756,0.9255907517372862,2.5812021695326384,20,0,0.9238580094491576,30,500.0,0.0,0.0,0.0017327422881285859,1237.8,64.97968913437492,0.10832143102413738,0.0017327422881285859,0.1372772104362122
2.547,0.9279271847758804,2.626707254339547,20,0,0.9255907517372862,31,500.0,0.0,0.0,0.00233643303859421,1273.5,69.1950142712609,0.21733889321117061,0.00233643303859421,0.13548533890398026
2.5626,0.930798713095441,2.639371372126325,20,0,0.9279271847758804,32,500.0,0.0,0.0,0.0028715283195606123,1281.3,52.181510135296,0.15506908258709373,0.0028715283195606123,0.13421894540548873
2.5322,0.9340749621340986,2.622282051953985,20,0,0.930798713095441,33,500.0,0.0,0.0,0.0032762490386575305,1266.1,63.90140843518239,0.2043352509061407,0.0032762490386575305,0.1325655010198015
2.4932,0.9373200480341481,2.585334361354446,20,0,0.9340749621340986,34,500.0,0.0,0.0,0.0032450859000495713,1246.6,74.22156020995517,0.11644136257244853,0.0032450859000495713,0.13163101803894614
2.565,0.9405000567095186,2.6443099288850394,20,0,0.9373200480341481,35,500.0,0.0,0.0,0.0031800086753704937,1282.5,52.51237949283959,0.15360005888630113,0.0031800086753704937,0.13040687805826529
2.629,0.9437943343677121,2.6840191877108484,20,0,0.9405000567095186,36,500.0,0.0,0.0,0.0032942776581934563,1314.5,60.53717865906868,0.10554265951668995,0.0032942776581934563,0.12957135882542448
2.555,0.9460226333637488,2.630204364683475,20,0,0.9437943343677121,37,500.0,0.0,0.0,0.002228298996036715,1277.5,59.46385456729155,0.21382566516786738,0.002228298996036715,0.1278925907588862
2.55,0.9480733723019997,2.628897107153492,20,0,0.9460226333637488,38,500.0,0.0,0.0,0.002050738938250918,1275.0,53.79405171577988,0.1962074173092283,0.002050738938250918,0.12636850948564146
2.5374,0.9501406171906804,2.6174035302184495,20,0,0.9480733723019997,39,500.0,0.0,0.0,0.002067244888680708,1268.7,67.34471025997513,0.22428463204821014,0.002067244888680708,0.12464538874931815
2.5814,0.9525063691682737,2.6596191531871627,20,0,0.9501406171906804,40,500.0,0.0,0.0,0.0023657519775932556,1290.7,81.35668380655643,0.16473829450310973,0.0023657519775932556,0.12339261605104256
2.6062,0.9544763326516124,2.68881415497613,20,0,0.9525063691682737,41,500.0,0.0,0.0,0.001969963483338666,1303.1,64.36295518386333,0.19183671788002954,0.001969963483338666,0.12194742003132059
2.576,0.9562967825138784,2.6628225626203483,20,0,0.9544763326516124,42,500.0,0.0,0.0,0.0018204498622660381,1288.0,57.187411202116856,0.0741162115357632,0.0018204498622660381,0.12139298273849998
2.6226,0.9577198625648077,2.690867748515337,20,0,0.9562967825138784,43,500.0,0.0,0.0,0.0014230800509292818,1311.3,80.19544874866652,0.06978773670295624,0.0014230800509292818,0.12087291246000792
2.5778,0.9585440592603234,2.666860918758232,20,0,0.9577198625648077,44,500.0,0.0,0.0,0.0008241966955156999,1288.9,71.10126581151702,0.2477875818770343,0.0008241966955156999,0.11904185980288327
2.61,0.9591016250481165,2.6910035302838233,20,0,0.9585440592603234,45,500.0,0.0,0.0,0.0005575657877930906,1305.0,79.0936154186923,0.17485293115585065,0.0005575657877930906,0.11776424419650693
2.6512,0.9597876796025273,2.72057688000174,20,0,0.9591016250481165,46,500.0,0.0,0.0,0.0006860545544108421,1325.6,79.30094576989609,0.13608600250434577,0.0006860545544108421,0.11677812853964949
2.5938,0.9603081019533716,2.6729387497658825,20,0,0.9597876796025273,47,500.0,0.0,0.0,0.0005204223508442629,1296.9,70.69222022259592,0.07716730669649863,0.0005204223508442629,0.11622214290416692
