Traj,LossReg,DualBefore,ReturnsMean,ConfortViolation,OmegaBefore,NormDeltaOmega,DeltaOmega,RewardStd,TimestepsMean,WeightMax,ITERATIONS,Wins,Primal,WeightMean,DualReg,NormDeltaVar,WeightMin,Eta,TimestepsStd,RewardMean,WeightMedian,Omega,ReturnsStd,Epsilon,DualAfter
2183,0.0,6.677368673878347,147.03533715751564,0,8.0,0.033963813310468716,-0.033963813310468716,1.3776217731401377,22.907339449541283,1.0,0,0.0,6.530158157989621,0.5961995301382977,0.0001,0.11649730234777561,0.5961995301382977,13.747377666938505,12.25735657346957,6.418776194249958,0.9727083282122291,7.966036186689531,82.6638257453269,0.001,6.511260525271374
2157,0.0,6.7040551570771205,149.54787292283729,0,7.966036186689531,0.03382359241896182,-0.03382359241896182,1.3748581699323315,23.195450324976786,1.0,1,0.0,6.558404265172992,0.594138510220582,0.0001,0.12024616448183396,0.594138510220582,13.716913848382534,12.225494986935018,6.447386653959382,0.972187223376132,7.9322125942705695,82.67061947898193,0.001,6.539590290032353
2130,0.0,6.730641444081402,151.98223738836788,0,7.9322125942705695,0.03302938237959374,-0.03302938237959374,1.3720475039309825,23.470615890926187,1.0,2,0.0,6.586472180803376,0.5932946675040515,0.0001,0.040085684088763784,0.5932946675040515,13.686314365785465,12.38274413734819,6.475821648027599,0.9737740652532044,7.899183211890976,84.07704496700892,0.001,6.567742056759829
2075,0.0,6.757839970865197,156.91647974970985,0,7.899183211890976,0.03205036976546882,-0.03205036976546882,1.360488157499083,24.110521235521237,1.0,3,0.0,6.617533769118443,0.5887914008988429,0.0001,0.10883700868361706,0.5887914008988429,13.582253425584423,13.251351111944023,6.508217491890258,0.9719241055550616,7.867132842125507,90.29861719321437,0.001,6.599087791786731
2051,0.0,6.785776411552001,159.48759558963985,0,7.867132842125507,0.03318644039357643,-0.03318644039357643,1.3579912221647252,24.39404296875,1.0,4,0.0,6.647063078152733,0.588469524039811,0.0001,0.07858231710420023,0.588469524039811,13.5531639427527,13.03501533064034,6.538085444447843,0.9744200156197247,7.8339464017319305,89.18605341314105,0.001,6.628696035667245
2063,0.0,6.809625089618168,159.09618130193022,0,7.8339464017319305,0.03214495789312988,-0.03214495789312988,1.366927193613279,24.254368932038837,1.0,5,0.0,6.669308704881637,0.5879856275833555,0.0001,0.04533387377009932,0.5879856275833555,13.621097665402981,13.329336771816912,6.559400003147003,0.9728900396890023,7.801801443838801,91.48175324328298,0.001,6.650757039222022
2026,0.0,6.83475138834605,162.68054365918576,0,7.801801443838801,0.03162105711408714,-0.03162105711408714,1.3600152100877394,24.69451309935739,1.0,6,0.0,6.696849847800243,0.5840172979050562,0.0001,0.14394757555623575,0.5840172979050562,13.556708553600368,13.94759645631664,6.587754060358419,0.9704157747774734,7.7701803867247135,96.08348615381395,0.001,6.678473186164825
1929,0.0,6.86275909475104,171.87863464646998,0,7.7701803867247135,0.03143663981754763,-0.03143663981754763,1.3334474768939513,25.939252336448597,1.0,7,0.0,6.7323909932153265,0.5792360397592721,0.0001,0.07403084759295361,0.5792360397592721,13.326051241818442,14.485246773994298,6.626266728461555,0.9728988947717248,7.738743746907166,100.16364016699728,0.001,6.714634430251302
1939,0.0,6.883617407425772,171.33671537584257,0,7.738743746907166,0.030223418637401522,-0.030223418637401522,1.3414521412950853,25.785123966942148,1.0,8,0.0,6.751662162458492,0.5783108784979893,0.0001,0.06395284758731135,0.5783108784979893,13.388063029943957,14.287785404375715,6.644703986697367,0.9705722742670955,7.708520328269764,99.10230808827798,0.001,6.733739931060383
1943,0.0,6.908037150793004,171.66832580841918,0,7.708520328269764,0.031049482334648104,-0.031049482334648104,1.3470697786384855,25.745876288659794,1.0,9,0.0,6.775366753941814,0.5790889222693798,0.0001,0.06194722753909158,0.5790889222693798,13.428333228282035,13.752220383241085,6.667846829512112,0.972166184959319,7.677470845935116,95.6544460758353,0.001,6.757336518159382
1902,0.0,6.932166850089339,176.2091809401495,0,7.677470845935116,0.029979101289313803,-0.029979101289313803,1.337990470298576,26.314902580305425,1.0,10,0.0,6.80247520655156,0.5766138468964763,0.0001,0.1464279954715949,0.5766138468964763,13.34516421214026,15.169147901424138,6.69600170653708,0.9727545529760386,7.647491744645802,105.8706931333045,0.001,6.784667647634886
1888,0.0,6.954969383053463,178.0225592314943,0,7.647491744645802,0.03016448185457854,-0.03016448185457854,1.3372755734219501,26.49389920424403,1.0,11,0.0,6.825988125006938,0.576151917113911,0.0001,0.06197698017912237,0.576151917113911,13.333107096665108,15.020607945271161,6.719639281499096,0.9742058755788737,7.617327262791224,105.24379580973492,0.001,6.808212731121445
1869,0.0,6.977499483474586,180.591176960069,0,7.617327262791224,0.029899463764763823,-0.029899463764763823,1.3344427116623117,26.779206859592712,1.0,12,0.0,6.849866831019615,0.5745456783894931,0.0001,0.3805605157016169,0.5745456783894931,13.302812999328419,15.266040765604615,6.7438767326620095,0.974236963916488,7.58742779902646,107.34714875570181,0.001,6.8321721255934404
1811,0.0,7.0018633275337,187.24477373238477,0,7.58742779902646,0.02819490666629143,-0.02819490666629143,1.3195830900716143,27.640486725663717,1.0,13,0.0,6.8784864722795875,0.5709841346047528,0.0001,0.11342601285779973,0.5709841346047528,13.170751498240875,16.563839967029494,6.774165766655507,0.9750352286007881,7.559232892360169,116.75328187516826,0.001,6.861141399009843
