NormDeltaOmega,ITERATIONS,RewardMean,OmegaBefore,Wins,RewardStd,Omega,Primal,DualBefore,ReturnsStd,DualAfter,Eta,Traj,TimestepsStd,TimestepsMean,Epsilon,WeightMax,WeightMin,WeightMean,DeltaOmega,ReturnsMean,NormDeltaVar,DualReg,WeightMedian,LossReg,ConfortViolation
0.0017386842928426294,1868,9.84433384927675,1.725922484872454,100.0,0.020244668835695156,1.7241838005796113,9.84494202663567,9.845737740047909,0.8318084808678907,9.845575039929871,0.666373168025238,249,0.0,201.0,0.001,1.0,0.702353993130038,0.702353993130038,-0.0017386842928426294,1978.707238027746,0.023792154562357285,0.0001,0.8998165982250431,0.0,0
0.0015569150928913533,1869,9.8440143106891,1.7241838005796113,99.2,0.06588463949180562,1.72262688548672,9.845067018707725,9.845798337929113,94.44548747203446,9.845659386597259,0.6856327362137975,250,9.462097139103417,200.30364372469634,0.001,1.0,5.204029186383382e-07,5.204029186383382e-07,-0.0015569150928913533,1971.7888011600678,0.02318418322671488,0.0001,0.8972422360636585,0.0,0
0.0009279957689505292,1870,9.844326260521534,1.72262688548672,99.20318725099602,0.06580030673570664,1.7216988897177694,9.84537393331836,9.846107373299297,136.95687465450771,9.845967675273695,0.6849532624556987,251,13.774023569246578,199.75806451612902,0.001,1.0,5.207357682153482e-07,5.207357682153482e-07,-0.0009279957689505292,1966.513047827843,0.03767717348053745,0.0001,0.911236636828023,0.0,0
0.0020522848909840796,1871,9.845244384847128,1.7216988897177694,100.0,0.019726122741570977,1.7196466048267853,9.845827737007694,9.846638270694559,0.6750829195991456,9.846470759404408,0.6618588153317916,249,0.0,201.0,0.001,1.0,0.7229768145020395,0.7229768145020395,-0.0020522848909840796,1978.9039703211984,0.12507510545539152,0.0001,0.8996074677762881,0.0,0
0.0008830702244300159,1872,9.845337312660742,1.7196466048267853,100.0,0.019703540870674753,1.7187635346023553,9.845919264604067,9.846730708225408,0.790846227853341,9.846562912424492,0.661579942669079,249,0.0,201.0,0.001,1.0,0.7194530750224553,0.7194530750224553,-0.0008830702244300159,1978.9080058423779,0.05436882352092836,0.0001,0.9023440168039563,0.0,0
0.0010374249584295114,1873,9.845228287603158,1.7187635346023553,99.6,0.04854753282253854,1.7177261096439258,9.846041528198224,9.846814593779008,61.8867278809871,9.846660752177652,0.6727258496346689,250,6.15945567899489,200.60728744939271,0.001,1.0,3.997710424698497e-07,3.997710424698497e-07,-0.0010374249584295114,1975.018921520785,0.053328198713475744,0.0001,0.9091222367826209,0.0,0
7.28397381086765e-05,1874,9.844355930663825,1.7177261096439258,98.80952380952381,0.07947432896514589,1.7177989493820345,9.845660080664251,9.846343600771212,145.75903310171668,9.846222528292863,0.7078712656992837,252,14.627559072780068,199.4417670682731,0.001,1.0,8.195309657660367e-07,8.195309657660367e-07,7.28397381086765e-05,1963.379074424564,0.11784558698473302,0.0001,0.9011609477404776,0.0,0
0.00032130641714434027,1875,9.843576815312293,1.7177989493820345,98.4126984126984,0.0911709246649742,1.7181202557991788,9.845131177897628,9.845767896087178,151.8561507816315,9.845662357431687,0.7236760913975648,252,15.192747198131478,199.10843373493975,0.001,1.0,1.1274935852029115e-06,1.1274935852029115e-06,0.00032130641714434027,1959.9489241842018,0.08368793103499933,0.0001,0.9147014451892452,0.0,0
0.0006209479173471255,1876,9.844310913142943,1.7181202557991788,98.80478087649402,0.07964325670043389,1.7174993078818317,9.84563726898679,9.846309445555127,77.70664480593086,9.846192000417377,0.711703431006594,251,7.642429032320016,200.15725806451613,0.001,1.0,8.938619997074755e-07,8.938619997074755e-07,-0.0006209479173471255,1970.403037410367,0.06716150491051194,0.0001,0.9120359741849339,0.0,0
0.0009352973603131698,1877,9.845233969133112,1.7174993078818317,99.6,0.04869295326999773,1.7165640105215185,9.846061769568204,9.846826305291728,96.04228854516923,9.846675197062263,0.6754546483906491,250,9.651930548528078,200.3846153846154,0.001,1.0,4.2224545115193535e-07,4.2224545115193535e-07,-0.0009352973603131698,1972.832945924604,0.2967865878545453,0.0001,0.90527368186965,0.0,0
0.0011121633377539908,1878,9.845826399567636,1.7165640105215185,100.0,0.02005136706534569,1.7154518471837645,9.846425528136502,9.847226577498216,0.775418614249413,9.847062137328802,0.6647409704622128,249,0.0,201.0,0.001,1.0,0.7323799568849823,0.7323799568849823,-0.0011121633377539908,1979.0183614654711,0.009567738578271583,0.0001,0.907717119773325,0.0,0
0.0009844002751275838,1879,9.845610829794936,1.7154518471837645,99.20318725099602,0.0656678306536288,1.714467446908637,9.846635937546484,9.84738298448073,131.04657945153355,9.847239015721762,0.6803965061606634,251,13.158688369460634,199.81451612903226,0.001,1.0,4.69356042468485e-07,4.69356042468485e-07,-0.0009844002751275838,1967.2940129922777,0.11265754430473253,0.0001,0.9057086957228584,0.0,0
0.0005120964007432338,1880,9.845691990985696,1.714467446908637,100.0,0.02067376700408075,1.7139553505078937,9.846320953747679,9.847104355221658,1.0490927632780087,9.846945653441868,0.670190741013062,249,0.0,201.0,0.001,1.0,0.680895487669898,0.680895487669898,-0.0005120964007432338,1978.9828633822374,0.4977438612056326,0.0001,0.9026065452281546,0.0,0
5.864632300922601e-05,1881,9.84540529429267,1.7139553505078937,99.6,0.04894304867119936,1.714013996830903,9.846259001538186,9.8470090488744,81.36688862322083,9.84686269185885,0.68011316865728,250,8.127941514549958,200.48178137651823,0.001,1.0,4.698666772448871e-07,4.698666772448871e-07,5.864632300922601e-05,1973.8308998351772,0.03447242219713534,0.0001,0.9120138701103018,0.0,0
0.0009534972001326025,1882,9.845739543499274,1.714013996830903,100.0,0.021141390566536546,1.7130604996307703,9.846391760167489,9.847161414920519,1.0668084425606725,9.847007167388696,0.6745325185406614,249,0.0,201.0,0.001,1.0,0.6813783729234678,0.6813783729234678,-0.0009534972001326025,1978.993827049286,0.003093534908682061,0.0001,0.9015319992908317,0.0,0
0.0013143522755874049,1883,9.84583792357172,1.7130604996307703,99.6,0.048842402399928715,1.711746147355183,9.846680580300314,9.847436917377806,86.29545460998646,9.84728851621106,0.6780712155363438,250,8.63593785920933,200.4493927125506,0.001,1.0,4.4476367835157206e-07,4.4476367835157206e-07,-0.0013143522755874049,1973.5897574966118,0.05411133516845376,0.0001,0.9022808906421457,0.0,0
