ReturnsMean,DeltaOmega,WeightMin,NormDeltaVar,Primal,WeightMean,TimestepsMean,RewardStd,RewardMean,DualBefore,DualAfter,ConfortViolation,OmegaBefore,DualReg,Eta,LossReg,Wins,ITERATIONS,Epsilon,WeightMedian,TimestepsStd,Omega,NormDeltaOmega,ReturnsStd,Traj,WeightMax
1182.6060606060605,[[0.18799563]],0.000528501397989136,43.20162198833316,8.450090990912619,0.000528501397989136,500.0,2.447545933052125,2.36584,8.511839427834952,8.450091440698259,0,[[0.8]],0.0,1.3252993496873975,0.0,0.0,0,1.9901,0.0023902146963498483,0.0,[[0.98799563]],0.18799563445715428,66.53894100705061,100,1.0
1452.7474747474748,[[0.01200242]],2.340305799713682e-12,124.83219983310855,8.252376931137682,2.340305799713682e-12,500.0,2.941582940119146,2.90508,8.55174401193718,8.252377313519203,0,[[0.98799563]],0.0,0.3734026835114537,0.0,0.0,1,1.9901,4.959273810146388e-10,0.0,[[0.99999805]],0.012002417458074732,77.76036011191185,100,1.0
1498.7878787878788,[[1.93773667e-06]],0.0,74.82572779880945,7.999999999999709,0.0,500.0,3.000025469491884,2.99732,8.60820526485183,8.001875322629427,0,[[0.99999805]],0.0,0.0031103733421475634,0.0,0.0,2,1.9901,0.0,0.0,[[0.99999999]],1.9377366702322263e-06,90.82642706325188,100,1.0
1506.3232323232323,[[0.]],0.0,0.0,7.999999999999702,0.0,500.0,3.0062926428410126,3.01116,8.615891819747725,8.0018918972639,0,[[0.99999999]],0.0,0.003098108310413324,0.0,0.0,3,1.9901,0.0,0.0,[[0.99999999]],0.0,79.38435185126232,100,1.0
1489.2525252525252,[[0.]],0.0,0.0,8.000000000000085,0.0,500.0,2.992351311995301,2.98016,8.598693163328004,8.00185465626318,0,[[0.99999999]],0.0,0.0031257311397438195,0.0,0.0,4,1.9901,0.0,0.0,[[0.99999999]],0.0,71.13088568029717,100,1.0
1499.030303030303,[[0.]],0.0,0.0,7.999999999999857,0.0,500.0,2.998425760561699,2.99828,8.607735616182463,8.001874271529704,0,[[0.99999999]],0.0,0.0031111095981283658,0.0,0.0,5,1.9901,0.0,0.0,[[0.99999999]],0.0,85.15481499052059,100,1.0
1489.010101010101,[[0.]],0.0,0.0,7.999999999999495,0.0,500.0,2.986336791187491,2.97736,8.59476841620004,8.00184599719761,0,[[0.99999999]],0.0,0.0031320889123715298,0.0,0.0,6,1.9901,0.0,0.0,[[0.99999999]],0.0,73.46565128120498,100,1.0
1494.7676767676767,[[0.]],0.0,0.0,8.000000000000435,0.0,500.0,2.9938718420132817,2.99044,8.60287278098227,8.00186370590707,0,[[0.99999999]],0.0,0.0031189324845147907,0.0,0.0,7,1.9901,0.0,0.0,[[0.99999999]],0.0,82.77300446606952,100,1.0
1504.3838383838383,[[0.]],0.0,0.0,8.000000000000329,0.0,500.0,3.003478056120936,3.00892,8.613765033629159,8.001887291700893,0,[[0.99999999]],0.0,0.0031014734957972292,0.0,0.0,8,1.9901,0.0,0.0,[[0.99999999]],0.0,67.37123251897204,100,1.0
1499.090909090909,[[0.]],0.0,0.0,7.999999999999394,0.0,500.0,2.995541426854251,2.9966,8.605752068933594,8.00186993808571,0,[[0.99999999]],0.0,0.0031142797675437085,0.0,0.0,9,1.9901,0.0,0.0,[[0.99999999]],0.0,74.41150813965537,100,1.0
1498.7272727272727,[[0.]],0.0,0.0,8.000000000000384,0.0,500.0,2.9965309008918966,3.0016,8.607907729642182,8.001874586078804,0,[[0.99999999]],0.0,0.0031108044787972497,0.0,0.0,10,1.9901,0.0,0.0,[[0.99999999]],0.0,73.66067686903513,100,1.0
1505.090909090909,[[0.]],0.0,0.0,7.999999999999641,0.0,500.0,3.007308162726261,3.00988,8.615964730981243,8.001892081299037,0,[[0.99999999]],0.0,0.0030980066140322425,0.0,0.0,11,1.9901,0.0,0.0,[[0.99999999]],0.0,76.13824360712292,100,1.0
1492.4444444444443,[[0.]],0.0,0.0,7.999999999999439,0.0,500.0,2.9958578070395796,2.986,8.602377440295493,8.001862696869953,0,[[0.99999999]],0.0,0.0031197662574035468,0.0,0.0,12,1.9901,0.0,0.0,[[0.99999999]],0.0,73.92737662456545,100,1.0
1510.2424242424242,[[0.]],0.0,0.0,7.999999999999625,0.0,500.0,3.0144605981170165,3.01968,8.622719667121917,8.001906600133962,0,[[0.99999999]],0.0,0.0030873578612954727,0.0,0.0,13,1.9901,0.0,0.0,[[0.99999999]],0.0,83.7110338610308,100,1.0
1496.888888888889,[[0.]],0.0,0.0,8.000000000000126,0.0,500.0,2.9977270191930416,2.99428,8.606058628946824,8.00187065788705,0,[[0.99999999]],0.0,0.003113813746197037,0.0,0.0,14,1.9901,0.0,0.0,[[0.99999999]],0.0,75.16673572379935,100,1.0
1495.4545454545455,[[0.]],0.0,0.0,8.000000000000242,0.0,500.0,2.994299605851091,2.99052,8.603111179735322,8.001864230765985,0,[[0.99999999]],0.0,0.0031185505860077184,0.0,0.0,15,1.9901,0.0,0.0,[[0.99999999]],0.0,73.84221134492479,100,1.0
1498.5050505050506,[[0.]],0.0,0.0,7.999999999999947,0.0,500.0,3.0005066236220848,2.99996,8.609321058401122,8.001877723433495,0,[[0.99999999]],0.0,0.0031085788922980756,0.0,0.0,16,1.9901,0.0,0.0,[[0.99999999]],0.0,89.3443428016235,100,1.0
1492.969696969697,[[0.]],0.0,0.0,7.9999999999995275,0.0,500.0,2.996752279118179,2.98924,8.603898802758472,8.001865993660317,0,[[0.99999999]],0.0,0.003117304334854999,0.0,0.0,17,1.9901,0.0,0.0,[[0.99999999]],0.0,80.70515667570187,100,1.0
1497.0707070707072,[[0.]],0.0,0.0,7.999999999999394,0.0,500.0,2.9982036688657425,2.9926,8.605734955812421,8.0018699772376,0,[[0.99999999]],0.0,0.003114344972880975,0.0,0.0,18,1.9901,0.0,0.0,[[0.99999999]],0.0,81.27683737350664,100,1.0
1490.8686868686868,[[0.]],0.0,0.0,8.000000000000412,0.0,500.0,2.991200696442818,2.98456,8.599588350879039,8.001856555382336,0,[[0.99999999]],0.0,0.0031242516089109466,0.0,0.0,19,1.9901,0.0,0.0,[[0.99999999]],0.0,85.81359248890261,100,1.0
