ConfortViolation,DualAfter,NormDeltaVar,DualBefore,ITERATIONS,Primal,Traj,ReturnsMean,WeightMax,DeltaOmega,OmegaBefore,Omega,WeightMedian,LossReg,RewardStd,WeightMean,Wins,TimestepsMean,DualReg,NormDeltaOmega,WeightMin,RewardMean,ReturnsStd,Eta,TimestepsStd,Epsilon
0,-23.396861154963624,0.35213542902308226,-2.4767762838629404,0,-23.10006085025853,4199,-289.5404735144544,1.0,0.04646384732152242,27.0,27.046463847321522,0.6147436145544268,0.0,7.365427840691544,0.601270105464169,0.0,11.907098618389709,0.0001,0.04646384732152242,0.601270105464169,-24.318502478279786,190.4288794190781,54.479432877566346,7.177789980196046,0.001
0,-24.56549421171245,0.6232041858476288,-1.9547796750928277,28,-24.100019497531505,7072,-183.88871144184824,1.0,0.05426654595279601,28.353847429905947,28.408113975858743,0.6420998517164527,0.0,10.558551402585461,0.6282449672471615,0.0,7.070994201668788,0.0001,0.05426654595279601,0.6282449672471615,-26.005984681069485,82.0492503143115,68.2256542945104,2.7138128558330163,0.001
0,-27.270147208870103,0.9093415371688739,-1.7786318469039488,58,-26.65028593805022,8434,-172.97637538142834,1.0,0.0,30.0,30.0,0.6410460004210492,0.0,13.145062292596439,0.6298413329355171,0.0,5.928732360962884,0.0001,0.0,0.6298413329355171,-29.17609311548254,66.92934891571731,78.7312703302995,1.910302354872585,0.001
0,-26.907438523850193,0.40002024969547606,-1.726088444968779,88,-26.27314833812653,8889,-162.35562043918824,1.0,0.0,30.0,30.0,0.6443107105023739,0.0,13.42264631877057,0.6330142662599553,0.0,5.6254500450045,0.0001,0.0,0.6330142662599553,-28.86083723157661,56.965586016171684,79.6422410938938,1.6260468206069678,0.001
0,-26.648048733514248,0.017140050164361664,-1.689764906130163,118,-26.003743068085527,9218,-155.3281591368397,1.0,0.0,30.0,30.0,0.6465112844993521,0.0,13.615904567332588,0.6344364792151371,0.0,5.4245416078984485,0.0001,0.0,0.6344364792151371,-28.63453145878146,50.844852339612444,80.2685772633069,1.4518330154427783,0.001
0,-26.591529352314012,0.9630543966578909,-1.6823151158304162,148,-25.945249759357967,9286,-153.91366419260905,1.0,0.0,30.0,30.0,0.6469634049690232,0.0,13.65440637955622,0.6341130162675965,0.0,5.384491114701131,0.0001,0.0,0.6341130162675965,-28.58457888134508,49.83603543018776,80.39144449812645,1.4224663526978636,0.001
0,-26.536497914320933,0.33243871338773107,-1.674905151706547,178,-25.888200231250234,9356,-152.51157415337826,1.0,0.0,30.0,30.0,0.6474229683811011,0.0,13.693581216099341,0.6362762811574905,0.0,5.3445216461785146,0.0001,0.0,0.6362762811574905,-28.536247024924172,50.5761045395416,80.51686672857387,1.4439318735351234,0.001
0,-26.445493301201708,1.02094752813065,-1.6623118001266075,208,-25.793657877904998,9474,-150.1952502795085,1.0,0.0,30.0,30.0,0.6481485595143683,0.0,13.761810548648775,0.6358342855515529,0.0,5.277947851789296,0.0001,0.0,0.6358342855515529,-28.45695393811143,47.588211316200415,80.73626329950183,1.358287498414017,0.001
0,-26.43047101431108,0.6893838740755848,-1.6604990240797937,238,-25.77819275056954,9491,-149.84812988538167,1.0,0.0,30.0,30.0,0.6482545772165269,0.0,13.770618050950743,0.636836027293624,0.0,5.268282402528978,0.0001,0.0,0.636836027293624,-28.443422661651507,47.927083674758734,80.7636844982698,1.3681979180694628,0.001
0,-26.442722641765343,0.8147283813571833,-1.6620607191316072,268,-25.790851661135495,9476,-150.13984432838484,1.0,0.0,30.0,30.0,0.6481668102236682,0.0,13.762627290633151,0.6357687627319982,0.0,5.276517150395779,0.0001,0.0,0.6357687627319982,-28.454313016455284,49.25889668084478,80.73846539037314,1.4057373980554178,0.001
0,-26.460222258721245,0.5339162323472736,-1.664299303117728,298,-25.8089367045375,9455,-150.52887973164653,1.0,0.0,30.0,30.0,0.6480254488490448,0.0,13.751149015068838,0.6364784016474734,0.0,5.2874973556166704,0.0001,0.0,0.6364784016474734,-28.469856868317425,49.31102068237328,80.7022017748055,1.4076381361798762,0.001
0,-26.378278288593584,0.3824550914244586,-1.653544500272513,328,-25.72409682971549,9558,-148.55864915451633,1.0,0.0,30.0,30.0,0.6486840654509592,0.0,13.807577724074601,0.636647257218482,0.0,5.231453384953437,0.0001,0.0,0.636647257218482,-28.397558025426793,46.728041842317296,80.88142672429044,1.3336394699837764,0.001
0,-26.27680555469694,0.801013570393886,-1.6400982231839702,358,-25.618934819296005,9687,-146.12473365626184,1.0,0.0,30.0,30.0,0.6494760859428156,0.0,13.879260420885355,0.6364837602736879,0.0,5.161883130291142,0.0001,0.0,0.6364837602736879,-28.30836321037731,44.588168035103145,81.10917883325573,1.2724209420870136,0.001
0,-26.187304345426035,0.6801543648466003,-1.62844061975162,388,-25.526261401645613,9800,-144.02813963754173,1.0,0.0,30.0,30.0,0.6501445179238151,0.0,13.941069288522826,0.6379024434591032,0.0,5.102051229717318,0.0001,0.0,0.6379024434591032,-28.22944311420272,42.159441830670055,81.30450009996184,1.2032861750945445,0.001
0,-26.1821771170029,0.5190541776604783,-1.6276846244343626,418,-25.52090382419324,9808,-143.90055437449604,1.0,0.0,30.0,30.0,0.6501627769193743,0.0,13.945448336433824,0.6379655225165984,0.0,5.098297134699704,0.0001,0.0,0.6379655225165984,-28.225074558381557,40.736200715506406,81.31866502306138,1.1624123028416566,0.001
