NormDeltaVar,Epsilon,Traj,DualBefore,TimestepsMean,WeightMax,WeightMedian,ReturnsStd,Wins,OmegaBefore,DualAfter,Eta,WeightMin,ITERATIONS,DeltaOmega,Omega,RewardStd,Primal,NormDeltaOmega,ConfortViolation,TimestepsStd,RewardMean,ReturnsMean,LossReg,DualReg,WeightMean
0.3588304750317184,0.001,3176,-2.607421483779535,15.742992125984252,1.0,0.7256629413687092,41.0354434451262,0.0,17.0,-4.1758310622594434,14.103392069079092,0.674926534432134,0,-0.03833114363752799,16.961668856362472,1.1268973971689098,-4.155942002578493,0.03833114363752799,0,9.054798729047489,-4.259153341331824,-67.0507134244441,0.0,0.0001,0.674926534432134
0.19769190385360152,0.001,3260,-2.575775529493144,15.33875421908561,1.0,0.7285175972454137,39.506600308795285,0.0,16.961668856362472,-4.106123551314051,14.062386558796925,0.6823382827115989,1,-0.0391934653779451,16.922475390984527,1.1240770676436536,-4.086349995327491,0.0391934653779451,0,8.839158311222448,-4.18911144531839,-64.25615563958206,0.0,0.0001,0.6823382827115989
0.13904057777855006,0.001,3290,-2.5582502525084068,15.200364852538765,1.0,0.7300689703583556,38.13096895518071,0.0,16.922475390984527,-4.0407665753176225,13.940481080849182,0.6859086905654262,2,-0.03980197243396333,16.882673418550564,1.1115673650274696,-4.021334414953089,0.03980197243396333,0,8.669025873550249,-4.122587658843533,-62.66508161043845,0.0,0.0001,0.6859086905654262
0.2768524556375861,0.001,3438,-2.5113375011774584,14.544079138783824,1.0,0.7341074919778308,35.17833433719887,0.0,16.882673418550564,-3.964996067197039,13.967600418988232,0.6880153929526853,3,-0.04065617272092226,16.84201724582964,1.1169041176944075,-3.9454882162645,0.04065617272092226,0,8.135536689929562,-4.047185459974614,-58.861898525233514,0.0,0.0001,0.6880153929526853
0.07090437454742998,0.001,3444,-2.498685158584991,14.520476328783039,1.0,0.7352508772886408,35.1193000590598,0.0,16.84201724582964,-3.900292306641722,13.81131304558412,0.6899090069770487,4,-0.04207865415918732,16.799938591670454,1.10050744265833,-3.881218637415032,0.04207865415918732,0,8.257919502529601,-3.9809769676783016,-57.80629281090702,0.0,0.0001,0.6899090069770487
0.1823801755171351,0.001,3508,-2.471528063475304,14.25491873396065,1.0,0.737599458611369,32.385832784598804,0.0,16.799938591670454,-3.8276910524135928,13.712266879240206,0.689307626666904,5,-0.04289538405882709,16.757043207611627,1.0909989903944606,-3.8088900139470745,0.04289538405882709,0,7.7582907749727585,-3.9074649314185437,-55.70090007786529,0.0,0.0001,0.689307626666904
0.06437216998336284,0.001,3540,-2.4521132916211963,14.12404634077423,1.0,0.7391625220084034,31.18504643967946,0.0,16.757043207611627,-3.761018140298735,13.579785193104689,0.6951131543308515,6,-0.041966060856520215,16.715077146755107,1.077462622875436,-3.7425786982397176,0.041966060856520215,0,7.597692717544884,-3.839545168801891,-54.229327036345765,0.0,0.0001,0.6951131543308515
0.23101535785119212,0.001,3649,-2.415676700943333,13.705592105263158,1.0,0.742304454086628,28.497257057592705,0.0,16.715077146755107,-3.6898785344437295,13.53922021964324,0.6935770650066967,7,-0.04285745402407315,16.672219692731034,1.0748052680524414,-3.671549108419494,0.04285745402407315,0,7.053247625150563,-3.768088106123655,-51.6438649081222,0.0,0.0001,0.6935770650066967
0.243182803857284,0.001,3623,-2.4070247036333168,13.801214798453893,1.0,0.7429617617478401,28.20639131590327,0.0,16.672219692731034,-3.623843404536354,13.325825128287349,0.6970159035702875,8,-0.043290284608474394,16.62892940812256,1.0519872473041556,-3.6060873069645374,0.043290284608474394,0,7.123484361350643,-3.700020109302733,-51.06383665075679,0.0,0.0001,0.6970159035702875
0.09203034951557247,0.001,3733,-2.369423509000059,13.395766345123258,1.0,0.7460676752816151,26.47513160557545,0.0,16.62892940812256,-3.54955504649536,13.269481581046954,0.6938930510445465,9,-0.04378040897829294,16.585148999144266,1.0476294224929945,-3.5319488066678395,0.04378040897829294,0,6.809190346886485,-3.6252682154249607,-48.56342338703533,0.0,0.0001,0.6938930510445465
0.07674966217114342,0.001,3726,-2.355883929914033,13.416912751677852,1.0,0.7470400558988861,25.856899546461023,0.0,16.585148999144266,-3.4847397207472035,13.083319109502217,0.6924717351730936,10,-0.043871158771128904,16.541277840373137,1.028141504484286,-3.467624624721936,0.043871158771128904,0,6.779430684193452,-3.558716267685494,-47.746238782404504,0.0,0.0001,0.6924717351730936
0.24446024852858964,0.001,3820,-2.321022694815808,13.091647028017805,1.0,0.7498636079773222,24.578026239487233,0.0,16.541277840373137,-3.4107082309132597,12.996425535487793,0.6997043055457828,11,-0.04488702124116983,16.496390819131967,1.0203088319709135,-3.3938197523173574,0.04488702124116983,0,6.572932099246301,-3.4839320097673747,-45.61052859608975,0.0,0.0001,0.6997043055457828
0.5108944619990646,0.001,3845,-2.2987461323654674,13.002341311134234,1.0,0.7515114403201301,23.189563392619913,0.0,16.496390819131967,-3.340193453524862,12.829630088944239,0.6962665252993828,12,-0.045647362337263075,16.450743456794704,1.00330091504715,-3.3237357217662233,0.045647362337263075,0,6.342729967960323,-3.4118984691832197,-44.36161942687472,0.0,0.0001,0.6962665252993828
0.15773621136324475,0.001,3884,-2.273403257639613,12.875869173319598,1.0,0.7533661353289761,22.281266230240558,0.0,16.450743456794704,-3.269229730261385,12.6750941289672,0.703700223315823,13,-0.04639248868143042,16.404350968113274,0.9877968115552599,-3.2531661140214534,0.04639248868143042,0,6.21459674533004,-3.339548330372438,-42.99981985202319,0.0,0.0001,0.703700223315823
