DeltaOmega,ReturnsMean,RewardStd,ITERATIONS,NormDeltaOmega,Omega,ConfortViolation,TimestepsMean,RewardMean,Eta,DualAfter,DualBefore,WeightMin,DualReg,OmegaBefore,Traj,WeightMean,TimestepsStd,ReturnsStd,LossReg,Primal,WeightMedian,Wins,WeightMax,Epsilon,NormDeltaVar
-0.0399745030142693,94.8528830303329,1.0719601405943835,0,0.0399745030142693,9.96002549698573,0,20.320325203252033,4.667941594120554,11.617990134421916,4.73685725959344,4.8716193957238,0.6275028743848318,0.0001,10.0,2461,0.6275028743848318,11.274036359228322,55.63872574344412,0.0,4.750352912892374,0.9583570074667032,0.0,1.0,0.001,0.09568329338259757
-0.02487367270157037,201.90882957562232,0.9609081868913109,28,0.02487367270157037,9.056574646798405,0,35.93314162473041,5.619072558486395,10.356658546934625,5.677950765110931,5.762857505183469,0.5491223721641391,0.0001,9.081448319499975,1392,0.5491223721641391,22.64254760447508,131.03655265125496,0.0,5.688673978146767,0.9607845668491546,0.0,1.0,0.001,0.1066460257429813
-0.01943236470088472,352.7874444652384,0.855796260900063,58,0.01943236470088472,8.36371484981778,0,56.13820224719101,6.284410443931985,9.188049670773145,6.334450165871701,6.390216775085835,0.47829780263629473,0.0001,8.383147214518665,891,0.47829780263629473,32.59234074778567,208.91724198485687,0.0,6.342888641614832,0.9614735875594437,0.11223344556677892,1.0,0.001,0.145105955752224
-0.01856659025836649,484.85813859038285,0.8117430861716114,88,0.01856659025836649,7.801800669228902,0,71.69296987087517,6.762907651599533,8.62774116674786,6.809149537737085,6.8532510467794365,0.43204459971652354,0.0001,7.820367259487268,698,0.43204459971652354,38.420319370539374,264.0438386992828,0.0,6.816589300108853,0.9586765582561675,0.7163323782234957,1.0,0.001,0.2900949753788115
-0.01604070787078893,631.2975375219403,0.7566760167399874,118,0.01604070787078893,7.326817631329133,0,88.30851063829788,7.149164483194708,7.970665151600489,7.190974012254729,7.2246999085403,0.387265075310143,0.0001,7.342858339199922,565,0.387265075310143,48.31072445929374,350.49777259978225,0.0,7.197323486005673,0.9610177738196314,4.424778761061947,1.0,0.001,0.0703582693968556
-0.012077247434925553,742.4794240203586,0.7391443258960508,148,0.012077247434925553,6.924029702642908,0,99.73852295409182,7.4441446441279675,7.708300775642526,7.4844011083273685,7.514122034514987,0.3616208296568769,0.0001,6.936106950077834,502,0.3616208296568769,50.680848416552074,382.3966841680687,0.0,7.490338654922182,0.9610198557661502,5.179282868525896,1.0,0.001,0.03455087824582515
-0.011451540995883747,767.3895037854314,0.7659523237348007,178,0.011451540995883747,6.543673378078291,0,99.656,7.7007099560510195,7.898587130476285,7.742634154067824,7.773270433574338,0.3584483543158761,0.0001,6.555124919074175,501,0.3584483543158761,49.237522927133526,384.1564945801073,0.0,7.748868150075058,0.961690568746555,4.39121756487026,1.0,0.001,0.030352230121624916
-0.007947406545279811,897.3140241739866,0.7076965628101941,208,0.007947406545279811,6.2790007759885365,0,113.76082004555809,7.887893318655164,7.255785017769292,7.925483525621623,7.949428655692069,0.3209445765652707,0.0001,6.286948182533816,440,0.3209445765652707,54.538024312498415,435.98763772120293,0.0,7.930742484152514,0.9626401683840962,11.363636363636363,1.0,0.001,0.007745793862870179
-0.007787420809852286,1055.3950502436194,0.637754969889306,238,0.007787420809852286,6.0583374853427525,0,131.25526315789475,8.041022133985134,6.478308194044234,8.073615698814884,8.090983079222593,0.27494937833875654,0.0001,6.066124906152605,381,0.27494937833875654,53.07180437546466,432.55533649855323,0.0,8.07780456508772,0.9612744165055996,20.209973753280842,1.0,0.001,0.12088918123785396
-0.007839037914108005,1304.9706441276194,0.504806312138742,268,0.007839037914108005,5.836252759656066,0,159.07324840764332,8.203636026363654,4.964212309010786,8.22731534511815,8.235785008672542,0.17853518652973513,0.0001,5.844091797570174,315,0.17853518652973513,50.82251229219081,422.3316389931899,0.0,8.229750614617291,0.9405609065576658,42.22222222222222,1.0,0.001,0.013382475055715824
-0.009162504720173992,1572.2388978473175,0.3629184287283436,298,0.009162504720173992,5.548209910068503,0,187.2406015037594,8.396972146674617,3.23043064924188,8.411927394304179,8.414808853845631,0.06849493641195598,0.0001,5.557372414788677,267,0.06849493641195598,29.90867060037611,255.13937162630177,0.0,8.412941759396928,0.9291086545371494,67.04119850187266,1.0,0.001,0.030860068573565602
-0.01104189621578211,1653.4263705808307,0.2907551427001066,328,0.01104189621578211,5.207410454397762,0,192.45945945945945,8.590915291568832,2.38764278372034,8.601839215555634,8.603215075150809,0.02467238053534186,0.0001,5.2184523506135445,260,0.02467238053534186,26.0212509176964,226.9133878417611,0.0,8.602360572169792,0.9086502691467385,79.61538461538461,1.0,0.001,0.004594583527714071
-0.014524097804751612,1733.4144656600283,0.211919374193394,358,0.014524097804751612,4.84509127751621,0,197.32806324110672,8.784500032268244,1.7110259584837249,8.79161166312144,8.792103061397277,0.005203142323573129,0.0001,4.859615375320962,254,0.005203142323573129,16.753711257897354,150.31786618025544,0.0,8.791803278088715,0.8893974381335963,89.76377952755905,1.0,0.001,0.15494706929960755
-0.01359379784626924,1756.688610196904,0.21873743390366002,388,0.01359379784626924,4.435781519827124,0,195.68627450980392,8.977122242444935,1.664188612849875,8.984341894983764,8.984752143310212,0.003966527459560371,0.0001,4.449375317673393,256,0.003966527459560371,18.76844472760787,172.63837993059585,0.0,8.98450607873161,0.8798431177665393,89.453125,1.0,0.001,0.262414450827729
-0.010786203409304917,1713.8725801443522,0.30783691555954024,418,0.010786203409304917,4.066183060390537,0,187.83834586466165,9.12430840870305,2.2934044075762983,9.135638690853495,9.136696053942241,0.01724458177556664,0.0001,4.076969263799842,267,0.01724458177556664,31.835222423245614,295.72165429659594,0.0,9.136106199875034,0.9302595127482811,79.7752808988764,1.0,0.001,0.02842865284411686
-0.008269218179703497,1639.5856909760028,0.39855821333321634,448,0.008269218179703497,3.7767177317057494,0,177.6832740213523,9.22766990551097,3.2711324143172726,9.243947760049634,9.246395106704007,0.05607420115951557,0.0001,3.784986949885453,282,0.05607420115951557,39.54729640096754,372.0941184490647,0.0,9.244989887368606,0.9506916934079456,68.08510638297872,1.0,0.001,0.18868618808999113
-0.007674325786549918,1687.969094526868,0.40661550306585653,478,0.007674325786549918,3.5264914617198033,0,181.10507246376812,9.320083162429139,3.3183928344778164,9.33674044181179,9.339194331600051,0.05685858570585728,0.0001,3.5341657875063532,277,0.05685858570585728,34.74670002569896,330.60803840396056,0.0,9.337814541757188,0.9521925883639285,66.78700361010831,1.0,0.001,0.025727647630254865
-0.006045490712726753,1603.7662152882522,0.4863745115050893,508,0.006045490712726753,3.325662099416845,0,170.99657534246575,9.378748008812384,4.266469088531485,9.40018017126663,9.404732409958523,0.10613877948111333,0.0001,3.3317075901295716,293,0.10613877948111333,42.25619013482021,403.93012551917866,0.0,9.401983167539331,0.965550584120112,55.2901023890785,1.0,0.001,0.034020609459985134
-0.00551735013437149,1632.3248597273976,0.4831122951330176,538,0.00551735013437149,3.161340461775803,0,173.0,9.435191043131447,4.189735370366241,9.456347735256342,9.460553227171486,0.10065815609581218,0.0001,3.1668578119101745,290,0.10065815609581218,40.06819446409405,385.23965868806727,0.0,9.45808545628189,0.9661018257066832,55.86206896551724,1.0,0.001,0.15757275612899
-0.004923030986968779,1573.274234548375,0.5296281828254129,568,0.004923030986968779,3.0007228914715918,0,165.96345514950167,9.479871404180269,4.727815306409772,9.503915898456297,9.50964470695973,0.12980823871492553,0.0001,3.0056459224585605,302,0.12980823871492553,44.366287147315155,428.23464542512437,0.0,9.506137677463203,0.9735265825313801,49.337748344370866,1.0,0.001,0.015542730233750555
-0.0056166109388646746,1603.2494089722848,0.516301758667343,598,0.0056166109388646746,2.851675892372178,0,168.2996632996633,9.52627800765996,4.551785227029676,9.549435196060397,9.554585699719814,0.11866209832605044,0.0001,2.857292503311043,298,0.11866209832605044,42.41522858653775,411.6210390882987,0.0,9.551494263433266,0.9716819030114734,51.67785234899329,1.0,0.001,0.04863075592190873
-0.004956591851108971,1614.1445976616399,0.5278592276993892,628,0.004956591851108971,2.7183120556025187,0,168.8141891891892,9.5614547716419,4.684795782805317,9.585329900279275,9.59093835914158,0.1253438918481253,0.0001,2.7232686474536276,297,0.1253438918481253,41.6074309730897,405.54747219037324,0.0,9.58751091262545,0.9746883863772037,49.831649831649834,1.0,0.001,0.054280757114339516
-0.003964369684324787,1652.94219717036,0.514834746739681,658,0.003964369684324787,2.5920352714376578,0,172.1551724137931,9.60130942999613,4.487357419724288,9.624276275500428,9.629025367485761,0.11328003196577535,0.0001,2.5959996411219826,291,0.11328003196577535,39.21567320562371,383.8156446373704,0.0,9.626273958396311,0.9718195839908779,51.546391752577314,1.0,0.001,0.16314953011244188
-0.004752383943541272,1615.8945347470724,0.5462609142467422,688,0.004752383943541272,2.477805839220291,0,167.8922558922559,9.624843061771086,4.860128039807556,9.649809726550519,9.655768785309673,0.13376024678547838,0.0001,2.4825582231638323,298,0.13376024678547838,41.30198192668926,405.07638675418104,0.0,9.652160174530477,0.9788698133228328,46.97986577181208,1.0,0.001,0.2539928270467242
-0.0032839194381537595,1679.146896974485,0.5037047058111563,718,0.0032839194381537595,2.3597177731100807,0,173.8432055749129,9.658847931556988,4.34635874788861,9.681089514817883,9.685536790835979,0.10467813146469734,0.0001,2.3630016925482344,288,0.10467813146469734,37.883920644289525,373.2558850556459,0.0,9.68296234638997,0.9758571977080185,53.81944444444444,1.0,0.001,0.019513684450761154
-0.002250869812657541,1591.3846772725767,0.5660924120919861,748,0.002250869812657541,2.2565948690174076,0,164.4983498349835,9.674333853863832,5.0743965486516185,9.700541129980932,9.70721086199017,0.14431088846458467,0.0001,2.258845738830065,304,0.14431088846458467,42.44871684319081,418.5305988069832,0.0,9.703105492048909,0.9810749681076794,44.73684210526316,1.0,0.001,0.021368073384953116
-0.0020378825671309997,1497.8679225292478,0.6514384593832683,778,0.0020378825671309997,2.203997917682631,0,154.88509316770185,9.671075959907663,6.044387366020427,9.7029691995729,9.713895474762706,0.1965469790847385,0.0001,2.206035800249762,323,0.1965469790847385,42.97213991462668,422.95824959176,0.0,9.706613128824928,0.9841201966533986,30.959752321981426,1.0,0.001,0.015554316917419975
-0.0007578304133168956,1524.490400084074,0.6181175545322909,808,0.0007578304133168956,2.150821380066413,0,157.3249211356467,9.690344005149615,5.66350357971407,9.719967686017341,9.728990945319724,0.17543758376008123,0.0001,2.15157921047973,318,0.17543758376008123,44.126414799278045,435.5006951060638,0.0,9.723166167596279,0.9812244220851811,37.10691823899371,1.0,0.001,0.018326234896721066
-0.0016326425860366811,1421.7668681363855,0.6999314693599368,838,0.0016326425860366811,2.1067587927321596,0,146.86176470588236,9.680934733401202,6.56833501998257,9.71615175598607,9.730023773898429,0.22329900021400495,0.0001,2.1083914353181963,341,0.22329900021400495,44.217926326892794,435.5467914888621,0.0,9.720459251068297,0.9861279854643177,24.633431085043988,1.0,0.001,0.03317379894859126
-0.0008390460376332953,1442.7067717470186,0.6909875674075843,868,0.0008390460376332953,2.0810878358046208,0,148.93432835820894,9.687190626657664,6.473873464599867,9.721790392361234,9.73517955381873,0.21801399617996298,0.0001,2.081926881842254,336,0.21801399617996298,43.540701672812276,429.1627413368186,0.0,9.725974447144301,0.984819352200933,25.595238095238095,1.0,0.001,0.020868725637629218
-0.0004871735565146196,1409.6740592603476,0.7111113880958958,898,0.0004871735565146196,2.0641984842063557,0,145.50728862973762,9.688329225864786,6.68458585201984,9.724315407010005,9.738874837386414,0.22898543327770396,0.0001,2.0646856577628703,344,0.22898543327770396,44.33577591057901,437.0869926691416,0.0,9.728777096607576,0.9868622307349436,22.96511627906977,1.0,0.001,0.009942042693380698
-0.0006902546666598397,1351.0132966197905,0.7555147800102466,928,0.0006902546666598397,2.052060040786687,0,139.56022408963585,9.680557253226901,7.153197856974087,9.719675105492756,9.737367614876195,0.25184939159895237,0.0001,2.0527502954533468,358,0.25184939159895237,42.95682006231083,422.6997608256205,0.0,9.724785901697347,0.9864433502332102,16.480446927374302,1.0,0.001,0.008530595948079592
0.001966943733378912,1315.868724472269,0.7709702131195498,958,0.001966943733378912,2.0467754696328515,0,135.94550408719346,9.679804297346317,7.3114924289658925,9.720018881194617,9.738795834442708,0.2591874463469588,0.0001,2.0448085258994726,368,0.2591874463469588,43.84481271943777,431.51038683313146,0.0,9.725358105053965,0.9858321067894134,15.217391304347828,1.0,0.001,0.03401188488140785
-0.000588265639658303,1283.1655880027113,0.780659953563056,988,0.000588265639658303,2.0483510373168103,0,132.58090185676392,9.67833111857781,7.41082545302986,9.719239174117972,9.738742488983036,0.2642594198367199,0.0001,2.0489393029564686,378,0.2642594198367199,44.107409967496004,434.133920070687,0.0,9.72472503076433,0.9873085727797282,15.343915343915343,1.0,0.001,0.0113274744962004
0.0004520140809751716,1365.335053268653,0.7313507854620818,1018,0.0004520140809751716,2.039978999404579,0,140.93785310734464,9.687474444344328,6.900944988171579,9.724884057080814,9.740904315773971,0.23953552466745653,0.0001,2.039526985323604,355,0.23953552466745653,44.71651550862008,440.6719378244228,0.0,9.729640360625082,0.9867502730148937,21.12676056338028,1.0,0.001,0.04505863541648802
0.0002808558742639633,1403.5279896443267,0.7090312193665684,1048,0.0002808558742639633,2.0281954236988198,0,144.75652173913045,9.695694683526991,6.660109413267077,9.731528913601952,9.745927171419895,0.22739911904218724,0.0001,2.027914567824556,346,0.22739911904218724,44.94607228655979,443.32192322957576,0.0,9.735957913027777,0.9863238108418837,23.98843930635838,1.0,0.001,0.053368552387708025
-0.0012165417874752116,1523.733408725932,0.6413904031988771,1078,0.0012165417874752116,2.0066347239122613,0,156.85220125786162,9.714253787491588,5.9182659538228055,9.745425828152491,9.755675497892227,0.18884763878271285,0.0001,2.0078512656997365,319,0.18884763878271285,42.723038629592565,422.5868743439558,0.0,9.748919901742763,0.9856353388450492,32.9153605015674,1.0,0.001,0.29790747091893705
-0.0016494274158700417,1518.3349111032808,0.6538237811821225,1108,0.0016494274158700417,1.9821075440611342,0,156.234375,9.718294418607112,6.052547644620998,9.75030167109521,9.761182262938394,0.19578209966649632,0.0001,1.9837569714770042,321,0.19578209966649632,42.43375063978407,419.97902845830794,0.0,9.753956838769668,0.9859565713590507,30.529595015576323,1.0,0.001,0.04752265545235413
-0.0007907196725751575,1574.7932076157074,0.5992144807857076,1138,0.0007907196725751575,1.9550442398114565,0,161.7922077922078,9.733701593787872,5.43733408571268,9.762034711452634,9.77009226771135,0.162541330727037,0.0001,1.9558349594840316,309,0.162541330727037,41.654371829716155,413.56100359253304,0.0,9.764981581831627,0.9840972172082644,39.80582524271845,1.0,0.001,0.09419348983081853
-9.161654967049238e-05,1581.712600052786,0.5947561792420697,1168,9.161654967049238e-05,1.9264380941495414,0,162.3973941368078,9.739612059636498,5.380811331390244,9.767638239920723,9.775412693147661,0.15934171605750005,0.0001,1.9265297106992119,308,0.15934171605750005,41.53251220136711,412.21983200447846,0.0,9.770524024385026,0.9840096114150676,40.58441558441558,1.0,0.001,0.007893759329459857
-0.001731242717965209,1591.3913051562083,0.590049654580087,1198,0.001731242717965209,1.9126659352925195,0,163.33770491803278,9.743206490698665,5.3263100762219855,9.770920408719277,9.77848388845036,0.15630887867856386,0.0001,1.9143971780104847,306,0.15630887867856386,41.57955899092894,412.98436324579217,0.0,9.77374768908465,0.9840079366722758,41.17647058823529,1.0,0.001,0.06477182444375208
-0.0007569740955684079,1682.4591901728495,0.5387045758675181,1228,0.0007569740955684079,1.8821299089501478,0,172.3551724137931,9.76140367235726,4.698167675359504,9.785726841507566,9.790862500004001,0.12182932552179902,0.0001,1.8828868830457162,291,0.12182932552179902,36.58492327690698,364.6304979963911,0.0,9.787920483268135,0.9824743258230382,48.45360824742268,1.0,0.001,0.00527714073101569
-0.0004915387978499108,1627.5707180610266,0.5674963015483661,1258,0.0004915387978499108,1.8433586829329696,0,166.7190635451505,9.762244233847905,5.048499880460784,9.788444900453557,9.794830395661656,0.14075530012497184,0.0001,1.8438502217308195,300,0.14075530012497184,40.56154336882221,403.8038647565163,0.0,9.79098184606838,0.9833227231586695,44.666666666666664,1.0,0.001,0.020088120164932097
-0.00030479416507600554,1645.5166839441517,0.5523996690149351,1288,0.00030479416507600554,1.8086025725419312,0,168.4189189189189,9.7701769771366,4.872241690536012,9.795399023175799,9.801223133496766,0.1311416777467026,0.0001,1.8089073667070072,297,0.1311416777467026,39.84946564691649,397.1292323967946,0.0,9.797760241768954,0.9841924567893238,47.13804713804714,1.0,0.001,0.14451314400367504
0.0014678442326423458,1517.7724957208595,0.6667845429285637,1318,0.0014678442326423458,1.8117445134962527,0,155.6760124610592,9.749399652800799,6.182612628629469,9.782257554749823,9.793743732373425,0.20165241637986944,0.0001,1.8102766692636103,322,0.20165241637986944,42.0903310352158,417.69319494927305,0.0,9.786072186020789,0.9868008903642961,28.57142857142857,1.0,0.001,0.02521735352780325
