Traj,DualReg,Primal,NormDeltaOmega,NormDeltaVar,ITERATIONS,ReturnsMean,TimestepsMean,ReturnsStd,Epsilon,Eta,RewardStd,Wins,DeltaOmega,DualAfter,LossReg,TimestepsStd,OmegaBefore,WeightMean,WeightMax,Omega,WeightMedian,DualBefore,ConfortViolation,RewardMean,WeightMin
2976,0.0001,-1.2378735299938908,0.04439838657058104,0.05693142666523729,0,-21.209828199614666,16.801344537815126,12.94236222918996,0.001,5.833726974286712,0.36629023566193397,0.0,-0.04439838657058104,-1.241267958814076,0.0,9.75549135808116,15.0,0.6880236215444406,1.0,14.955601613429419,0.7981790445720296,-1.171718976185833,0,-1.2625636793619506,0.6880236215444406
2964,0.0001,-1.177955321929852,0.04372190510938445,0.5123956724655354,1,-20.270728297877326,16.872089098886264,12.360340657110928,0.001,5.643575283336094,0.3519620193049818,0.0,-0.04372190510938445,-1.1811308550745667,0.0,9.78324867809398,14.955601613429419,0.6975755092148446,1.0,14.911879708320035,0.8009563813115659,-1.119281944153987,0,-1.2014439076838637,0.6975755092148446
3050,0.0001,-1.1173872843661607,0.04399264054250729,0.10854554872389346,2,-18.694195953875308,16.397179403082976,11.315737527846206,0.001,5.511628124148285,0.3425220369258422,0.0,-0.04399264054250729,-1.1204147182349689,0.0,9.443866990102725,14.911879708320035,0.6842562009190167,1.0,14.867887067777527,0.8061880975747736,-1.0639298454480544,0,-1.1400705715078172,0.6842562009190167
3055,0.0001,-1.0539196947176845,0.045544759958970005,0.09045151715316858,3,-17.605684868948686,16.3713163064833,10.383493304464022,0.001,5.32100926822424,0.3285897576142528,0.0,-0.045544759958970005,-1.056740340718395,0.0,9.182978176071366,14.867887067777527,0.6880700491448154,1.0,14.822342307818557,0.8102445862042109,-1.0069497262460911,0,-1.0754500480189608,0.6880700491448154
3114,0.0001,-0.9900978151649626,0.04638145655129655,0.09191104212646416,4,-16.230766845168247,16.058785737230966,9.332604013282642,0.001,5.1608401849987615,0.3172397701851336,0.0,-0.04638145655129655,-0.9927500459671105,0.0,8.827144752843944,14.822342307818557,0.6889049683715295,1.0,14.77596085126726,0.8159064590290042,-0.9482875384431484,0,-1.0106873516198462,0.6889049683715295
3070,0.0001,-0.9271183757665641,0.046314980499186476,0.12459873867255213,5,-15.420250025834653,16.291300097751712,9.07368257118089,0.001,4.955529870638569,0.3025370148407454,0.0,-0.046314980499186476,-0.9295618495393573,0.0,9.111695614637584,14.77596085126726,0.6859459609320354,1.0,14.729645870768074,0.820328440233145,-0.8910615920242966,0,-0.9465190696630875,0.6859459609320354
3073,0.0001,-0.8647711153178689,0.045783896761387055,0.09003431350958675,6,-14.371304143069567,16.272786458333332,8.51801499129204,0.001,4.772647577099673,0.2896924129674918,0.0,-0.045783896761387055,-0.8670357520829244,0.0,9.168017270552557,14.729645870768074,0.6984022969607282,1.0,14.683861974006687,0.8257398708288148,-0.8333849296587525,0,-0.8831422796532523,0.6984022969607282
3133,0.0001,-0.8027808753143109,0.04618227202105096,0.23834314360737452,7,-13.090193933170735,15.958812260536398,7.532433093145265,0.001,4.607573296308411,0.27820806647891383,0.0,-0.04618227202105096,-0.8048905149664696,0.0,8.78866546950496,14.683861974006687,0.6870187774092333,1.0,14.637679701985636,0.8319240991316006,-0.7752095679321029,0,-0.8202446397603262,0.6870187774092333
3193,0.0001,-0.7388980300631066,0.04668242935058586,0.08569968286322512,8,-11.831028928031156,15.660714285714286,6.690670014676648,0.001,4.439261961643676,0.2667170610880376,0.0,-0.04668242935058586,-0.7408535576001447,0.0,8.437473727266783,14.637679701985636,0.68938298657612,1.0,14.59099727263505,0.8391410347071482,-0.7148970730471133,0,-0.7554576956071359,0.68938298657612
3159,0.0001,-0.6763055279360706,0.046640211907483575,0.12443508361420096,9,-10.951385337459584,15.82932235592147,6.274051659000645,0.001,4.249932810540079,0.2537553023152295,0.0,-0.046640211907483575,-0.6780938878177516,0.0,8.649955150942272,14.59099727263505,0.6720069358915354,1.0,14.544357060727567,0.8459808485123863,-0.6558358409975599,0,-0.6918666992754088,0.6720069358915354
