ConfortViolation,DualAfter,NormDeltaVar,DualBefore,ITERATIONS,Primal,Traj,ReturnsMean,WeightMax,DeltaOmega,OmegaBefore,Omega,WeightMedian,LossReg,RewardStd,WeightMean,Wins,TimestepsMean,DualReg,NormDeltaOmega,WeightMin,RewardMean,ReturnsStd,Eta,TimestepsStd,Epsilon
0,-26.106046190317752,1.0314573436826875,-1.618348246487674,1251,-25.442370548257724,9900,-142.21585430564608,1.0,0.0,30.0,30.0,0.6507259305574009,0.0,13.992917565980243,0.638779431714349,0.0,5.050813213455904,0.0001,0.0,0.638779431714349,-28.157022713050587,35.16958268876728,81.46624649590481,1.0037529814881831,0.001
0,-26.117306154405938,0.9967508648351925,-1.6195611029128831,1252,-25.453893055792648,9888,-142.44093713896058,1.0,0.0,30.0,30.0,0.6506609262654723,0.0,13.987506858227722,0.6388695183103019,0.0,5.056943461110549,0.0001,0.0,0.6388695183103019,-28.167379091611753,35.26708831826849,81.45013091707591,1.0066503267206126,0.001
0,-26.10695155036821,1.0419794961067925,-1.6187934263736172,1253,-25.443490309772482,9895,-142.28043828354458,1.0,0.0,30.0,30.0,0.6507234828737849,0.0,13.989131902350305,0.6389439063830122,0.0,5.053062462098241,0.0001,0.0,0.6389439063830122,-28.15724815011966,35.40419518645401,81.45308621238422,1.0103138132046172,0.001
0,-26.09145343590615,0.650045416765806,-1.6165517141613748,1254,-25.427310703075545,9918,-141.89490518895377,1.0,0.0,30.0,30.0,0.6508258670621887,0.0,14.00213747623187,0.6389973772195561,0.0,5.041746495916104,0.0001,0.0,0.6389973772195561,-28.144000395361875,34.78103921605622,81.49490983558813,0.9925972314891579,0.001
0,-26.092096684988906,0.8014972627172422,-1.6163500809315354,1255,-25.427819786286072,9920,-141.8717489191046,1.0,0.0,30.0,30.0,0.6508401239313002,0.0,14.004404624356921,0.6402931604808232,0.0,5.040729912289545,0.0001,0.0,0.6402931604808232,-28.145059891902743,34.9744909375649,81.50314116168,0.9982111793442819,0.001
0,-26.100309911889514,0.747471598497614,-1.617480493801033,1256,-25.43636165866444,9908,-142.07171709497678,1.0,0.0,30.0,30.0,0.6507617718630268,0.0,13.998080092754307,0.6389632180951017,0.0,5.046532754617947,0.0001,0.0,0.6389632180951017,-28.152182982978545,35.25409246080214,81.48297669607092,1.0059652702625346,0.001
0,-26.075800878253034,0.0020677619045540584,-1.6144972114480387,1257,-25.411089009285835,9938,-141.53788752732845,1.0,0.0,30.0,30.0,0.6509348741487626,0.0,14.013188044082936,0.6394437281551584,0.0,5.031498440173091,0.0001,0.0,0.6394437281551584,-28.130244870433664,34.6670308252185,81.52982163610308,0.9891807284098108,0.001
0,-26.071304486323875,1.3137296346015979,-1.6137530931222106,1258,-25.406342710041177,9945,-141.41068755982295,1.0,0.0,30.0,30.0,0.6509581230025924,0.0,14.017862215799818,0.6381328462984124,0.0,5.027654867256637,0.0001,0.0,0.6381328462984124,-28.126565194415875,34.39795746720893,81.54514666584059,0.9814958800016533,0.001
0,-26.085974415303347,0.008820915234393621,-1.6157054274629183,1259,-25.421562720143026,9926,-141.7517206795634,1.0,0.0,30.0,30.0,0.6508798550839973,0.0,14.007209138064708,0.6382325412353431,0.0,5.037481108312343,0.0001,0.0,0.6382325412353431,-28.13940405995014,33.96098539597943,81.51141032175185,0.9691491517606924,0.001
0,-26.10752650428892,0.36369048329995596,-1.6181662452890857,1260,-25.44369609662179,9902,-142.2000295502015,1.0,0.0,30.0,30.0,0.650735576768304,0.0,13.995484267742993,0.6391485407173491,0.0,5.04989395010605,0.0001,0.0,0.6391485407173491,-28.15897865145701,34.72346482684536,81.47574492432027,0.9907843406109118,0.001
0,-26.09165226647933,0.7167330164985181,-1.6164917171612068,1261,-25.427468831487236,9918,-141.88819136087767,1.0,0.0,30.0,30.0,0.6508360807535066,0.0,14.002828212655013,0.6380917851357213,0.0,5.041443985076132,0.0001,0.0,0.6380917851357213,-28.14432575539186,35.00912249947161,81.49740707682467,0.9991408289630693,0.001
0,-26.092762334642714,0.02349816246885163,-1.6163100833313861,1262,-25.428439051857268,9920,-141.87003861714058,1.0,0.0,30.0,30.0,0.6508476303225204,0.0,14.005156484867408,0.63951181449392,0.0,5.040528279060389,0.0001,0.0,0.63951181449392,-28.14586651160446,34.12384264623584,81.50598671900038,0.9737821117432258,0.001
0,-26.11064903894895,0.4337236618863968,-1.6188944926226294,1263,-25.447107199724616,9894,-142.31456028868888,1.0,0.0,30.0,30.0,0.6507001762177009,0.0,13.990255704921095,0.6371737791596608,0.0,5.053573233599515,0.0001,0.0,0.6371737791596608,-28.16117376841671,34.49516899178185,81.45803373608666,0.9840333634513361,0.001
0,-26.073456105036357,0.8641524079819785,-1.6139542194302097,1264,-25.408525242911473,9943,-141.44931642997153,1.0,0.0,30.0,30.0,0.6509683708879255,0.0,14.0171749985438,0.6399264519057548,0.0,5.028666264333133,0.0001,0.0,0.6399264519057548,-28.128605723062716,34.57764141538206,81.54325108098996,0.9865740295069354,0.001
0,-26.042659988361066,0.6698833783788951,-1.6101195311808993,1265,-25.376718114977713,9982,-140.77065946017106,1.0,0.0,30.0,30.0,0.6511999748085536,0.0,14.037055102257932,0.6392707296979998,0.0,5.009417893998597,0.0001,0.0,0.6392707296979998,-28.10120305574515,33.319237352788306,81.60522119998281,0.9504882876542203,0.001
0,-26.03329809539884,0.5197290871692328,-1.6090982308049417,1266,-25.367128285464112,9992,-140.58756160707216,1.0,0.0,30.0,30.0,0.6512597546578058,0.0,14.041727912349439,0.6385848716451187,0.0,5.004403963567211,0.0001,0.0,0.6385848716451187,-28.092623807373595,32.762048012997,81.61918610367012,0.9350762286350385,0.001
0,-25.99820026533481,0.5307176866495354,-1.604724373724141,1267,-25.330871203741115,10036,-139.8149702807283,1.0,0.0,30.0,30.0,0.6514920093698968,0.0,14.064514159442457,0.6387928009592051,0.0,4.982461385151968,0.0001,0.0,0.6387928009592051,-28.061417332478708,31.87634177805167,81.69017260575038,0.9096127947382031,0.001
0,-26.01304221907432,0.2109886470358906,-1.606319906571598,1268,-25.346061822383938,10020,-140.1061778085659,1.0,0.0,30.0,30.0,0.6514043072111991,0.0,14.057328419884644,0.6398990039485689,0.0,4.990418205409721,0.0001,0.0,0.6398990039485689,-28.07505830571362,32.20368294516875,81.66882869347357,0.9190772975772938,0.001
