NormDeltaOmega,LossReg,WeightMax,Omega,ReturnsMean,Wins,DualBefore,ITERATIONS,Traj,TimestepsMean,DeltaOmega,Eta,Epsilon,TimestepsStd,WeightMean,ReturnsStd,NormDeltaVar,WeightMin,Primal,DualReg,ConfortViolation,RewardStd,WeightMedian,DualAfter,OmegaBefore,RewardMean
0.038007277427173136,0.0,1.0,16.961992722572827,-67.97093645991434,0.0,-2.6186060274818805,0,3134,15.95435684647303,-0.038007277427173136,14.038339279621889,0.001,10.076985389731384,0.6760042151899336,45.70484569068468,0.19085972680141233,0.6760042151899336,-4.158064413804136,0.0001,0,1.1191561820473495,0.7247655620203562,-4.17777039015975,17.0,-4.26042266612089
0.039456911390413296,0.0,1.0,16.922535811182414,-64.59808568418434,0.0,-2.58006726424631,1,3244,15.414431082331175,-0.039456911390413296,14.04067600828168,0.001,8.703762103448243,0.682702539603991,38.87099815013844,0.2244489179748609,0.682702539603991,-4.0882573011136785,0.0001,0,1.1214457586058086,0.7281570860317614,-4.107969839292062,16.961992722572827,-4.190732233569661
0.04031389932541174,0.0,1.0,16.882221911857002,-62.7735875527896,0.0,-2.5598115471860585,2,3284,15.223880597014926,-0.04031389932541174,13.934346803882978,0.001,8.709206247274633,0.6851255194872219,38.269347492404606,0.14839217240141905,0.6851255194872219,-4.022235733318428,0.0001,0,1.110846375347457,0.7299040120688401,-4.041650793214255,16.922535811182414,-4.123409367167197
0.040194844938000074,0.0,1.0,16.842027066919,-60.3465296536749,0.0,-2.5306980320264776,3,3359,14.888921977367481,-0.040194844938000074,13.87003283136536,0.001,8.181050751154128,0.6814762201961381,35.3836326245234,0.09008773022949793,0.6814762201961381,-3.952725029658199,0.0001,0,1.10534375474541,0.7325741888503372,-3.971961255234486,16.882221911857002,-4.0531535230456495
0.04115837435538694,0.0,1.0,16.800868692563615,-58.2969301015612,0.0,-2.5053581814886616,4,3417,14.634660421545668,-0.04115837435538694,13.778000673922296,0.001,8.056410749129613,0.685523150902688,34.262660792552616,0.17918682781299095,0.685523150902688,-3.8841671101879864,0.0001,0,1.0965219539145343,0.7347282184137991,-3.9031488659830758,16.842027066919,-3.983493252195835
0.041882129807724766,0.0,1.0,16.75898656275589,-56.69412505919879,0.0,-2.4854941492922853,5,3452,14.481599536366272,-0.041882129807724766,13.65247230685595,0.001,7.697361343464215,0.6894271784155451,32.13057317358967,0.06508484046575297,0.6894271784155451,-3.8172977534773183,0.0001,0,1.0838156411181479,0.7364819130406721,-3.8359351534381307,16.800868692563615,-3.915099770613183
0.041537209604666,0.0,1.0,16.717449353151224,-55.62504084722436,0.0,-2.4710813428946716,6,3460,14.45157559988436,-0.041537209604666,13.495249544756698,0.001,7.843301996840359,0.6882996207879079,32.29534895889477,0.0984981873813323,0.6882996207879079,-3.7531649916746144,0.0001,0,1.0673847620118213,0.7376128035482168,-3.7713755362259525,16.75898656275589,-3.8490497485969004
0.042085934693535165,0.0,1.0,16.67536341845769,-53.60129526273316,0.0,-2.443275151671512,7,3526,14.18241134751773,-0.042085934693535165,13.406627156381433,0.001,7.6416497699567305,0.6868610097303168,30.88815472795129,0.39716152288831175,0.6868610097303168,-3.684548336913654,0.0001,0,1.0591387319301278,0.7400341379401729,-3.7025204534272023,16.717449353151224,-3.779401786690791
0.042169683094726906,0.0,1.0,16.633193735362962,-51.568577423518875,0.0,-2.4143073935392296,8,3597,13.901835372636263,-0.042169683094726906,13.317596349658741,0.001,7.406186495839986,0.6915413546027617,29.43706492661599,0.21956937537265375,0.6915413546027617,-3.6156733634313185,0.0001,0,1.05080913078219,0.7423296022971456,-3.6334075350668313,16.67536341845769,-3.7094936148685154
0.043119645164331644,0.0,1.0,16.59007409019863,-50.807977325495834,0.0,-2.402302563153816,9,3586,13.943375174337518,-0.043119645164331644,13.130797328792234,0.001,7.465952567722628,0.6904169307157118,29.132853681753552,0.19827114416939207,0.6904169307157118,-3.5523209244908016,0.0001,0,1.0311607900888833,0.7432485868270837,-3.569560490600736,16.633193735362962,-3.6438968237141904
0.04416740814894382,0.0,1.0,16.545906682049687,-48.52114413068404,0.0,-2.3678449737589817,10,3678,13.591514821865651,-0.04416740814894382,13.051438042025055,0.001,6.903122611161363,0.697853162859768,26.371861416219133,0.38757824824243076,0.697853162859768,-3.479447243765645,0.0001,0,1.024142433730642,0.7459678626720538,-3.496479024054481,16.59007409019863,-3.5701320571719064
0.043756160126811494,0.0,1.0,16.502150521922875,-47.79299909452284,0.0,-2.35410120924437,11,3666,13.641473396998636,-0.043756160126811494,12.858353569319846,0.001,7.039372724977795,0.6869911656226237,26.39621819668895,0.2689920036819349,0.6869911656226237,-3.4150801015437993,0.0001,0,1.0039769791193363,0.7469460098465374,-3.4316116236585534,16.545906682049687,-3.503483716405067
0.045134534450792074,0.0,1.0,16.457015987472083,-46.386065097035704,0.0,-2.329841832171393,12,3700,13.516355771830224,-0.045134534450792074,12.70804183258727,0.001,6.72251064395974,0.6980795035080927,24.697364206418037,0.4006269569857768,0.6980795035080927,-3.3451784338803616,0.0001,0,0.9889569213990406,0.7487697741062235,-3.3613256841194183,16.502150521922875,-3.431850166396558
0.044646371477899294,0.0,1.0,16.412369615994184,-45.21452896252073,0.0,-2.308107064999314,13,3718,13.448748991121873,-0.044646371477899294,12.540393812924234,0.001,6.703519742579029,0.6990556192065277,24.131719121974264,0.47082479118953063,0.6990556192065277,-3.2772681039617564,0.0001,0,0.9719842530632056,0.7503060045627857,-3.2929920935566512,16.457015987472083,-3.3620153876798824
